owner,sensor,date,latitude,longitude,vertical_datum,sea_water_temperature,qcFlag 
NDBC,ioos:station:wmo:42019:1,2017-06-01T00:50:00Z,27.9070,-95.3530,-0.6,27.0,2 
NDBC,ioos:station:wmo:42019:1,2017-06-01T01:50:00Z,27.9070,-95.3530,-0.6,27.0,2 
NDBC,ioos:station:wmo:42019:1,2017-06-01T02:50:00Z,27.9070,-95.3530,-0.6,27.0,2 
NDBC,ioos:station:wmo:42019:1,2017-06-01T03:50:00Z,27.9070,-95.3530,-0.6,27.0,2 
NDBC,ioos:station:wmo:42019:1,2017-06-01T04:50:00Z,27.9070,-95.3530,-0.6,27.0,2 
NDBC,ioos:station:wmo:42019:1,2017-06-01T05:50:00Z,27.9070,-95.3530,-0.6,27.1,2 
NDBC,ioos:station:wmo:42019:1,2017-06-01T06:50:00Z,27.9070,-95.3530,-0.6,26.8,2 
NDBC,ioos:station:wmo:42019:1,2017-06-01T07:50:00Z,27.9070,-95.3530,-0.6,26.5,2 
NDBC,ioos:station:wmo:42019:1,2017-06-01T08:50:00Z,27.9070,-95.3530,-0.6,26.3,2 
NDBC,ioos:station:wmo:42019:1,2017-06-01T09:50:00Z,27.9070,-95.3530,-0.6,26.4,2 
NDBC,ioos:station:wmo:42019:1,2017-06-01T10:50:00Z,27.9070,-95.3530,-0.6,26.5,2 
NDBC,ioos:station:wmo:42019:1,2017-06-01T11:50:00Z,27.9070,-95.3530,-0.6,26.5,2 
NDBC,ioos:station:wmo:42019:1,2017-06-01T12:50:00Z,27.9070,-95.3530,-0.6,26.6,2 
NDBC,ioos:station:wmo:42019:1,2017-06-01T13:50:00Z,27.9070,-95.3530,-0.6,26.8,2 
NDBC,ioos:station:wmo:42019:1,2017-06-01T14:50:00Z,27.9070,-95.3530,-0.6,26.8,2 
NDBC,ioos:station:wmo:42019:1,2017-06-01T15:50:00Z,27.9070,-95.3530,-0.6,26.8,2 
NDBC,ioos:station:wmo:42019:1,2017-06-01T16:50:00Z,27.9070,-95.3530,-0.6,26.9,2 
NDBC,ioos:station:wmo:42019:1,2017-06-01T17:50:00Z,27.9070,-95.3530,-0.6,26.9,2 
NDBC,ioos:station:wmo:42019:1,2017-06-01T18:50:00Z,27.9070,-95.3530,-0.6,27.0,2 
NDBC,ioos:station:wmo:42019:1,2017-06-01T19:50:00Z,27.9070,-95.3530,-0.6,27.1,2 
NDBC,ioos:station:wmo:42019:1,2017-06-01T20:50:00Z,27.9070,-95.3530,-0.6,27.1,2 
NDBC,ioos:station:wmo:42019:1,2017-06-01T21:50:00Z,27.9070,-95.3530,-0.6,27.1,2 
NDBC,ioos:station:wmo:42019:1,2017-06-01T22:50:00Z,27.9070,-95.3530,-0.6,27.1,2 
NDBC,ioos:station:wmo:42019:1,2017-06-01T23:50:00Z,27.9070,-95.3530,-0.6,27.2,2 
NDBC,ioos:station:wmo:42019:1,2017-06-02T00:50:00Z,27.9070,-95.3530,-0.6,27.0,2 
NDBC,ioos:station:wmo:42019:1,2017-06-02T01:50:00Z,27.9070,-95.3530,-0.6,27.0,2 
NDBC,ioos:station:wmo:42019:1,2017-06-02T02:50:00Z,27.9070,-95.3530,-0.6,26.4,2 
NDBC,ioos:station:wmo:42019:1,2017-06-02T03:50:00Z,27.9070,-95.3530,-0.6,26.5,2 
NDBC,ioos:station:wmo:42019:1,2017-06-02T04:50:00Z,27.9070,-95.3530,-0.6,26.6,2 
NDBC,ioos:station:wmo:42019:1,2017-06-02T05:50:00Z,27.9070,-95.3530,-0.6,26.7,2 
NDBC,ioos:station:wmo:42019:1,2017-06-02T06:50:00Z,27.9070,-95.3530,-0.6,26.7,2 
NDBC,ioos:station:wmo:42019:1,2017-06-02T07:50:00Z,27.9070,-95.3530,-0.6,26.7,2 
NDBC,ioos:station:wmo:42019:1,2017-06-02T08:50:00Z,27.9070,-95.3530,-0.6,26.7,2 
NDBC,ioos:station:wmo:42019:1,2017-06-02T09:50:00Z,27.9070,-95.3530,-0.6,26.7,2 
NDBC,ioos:station:wmo:42019:1,2017-06-02T10:50:00Z,27.9070,-95.3530,-0.6,26.7,2 
NDBC,ioos:station:wmo:42019:1,2017-06-02T11:50:00Z,27.9070,-95.3530,-0.6,26.6,2 
NDBC,ioos:station:wmo:42019:1,2017-06-02T12:50:00Z,27.9070,-95.3530,-0.6,26.6,2 
NDBC,ioos:station:wmo:42019:1,2017-06-02T13:50:00Z,27.9070,-95.3530,-0.6,26.6,2 
NDBC,ioos:station:wmo:42019:1,2017-06-02T14:50:00Z,27.9070,-95.3530,-0.6,26.7,2 
NDBC,ioos:station:wmo:42019:1,2017-06-02T15:50:00Z,27.9070,-95.3530,-0.6,26.9,2 
NDBC,ioos:station:wmo:42019:1,2017-06-02T16:50:00Z,27.9070,-95.3530,-0.6,27.1,2 
NDBC,ioos:station:wmo:42019:1,2017-06-02T17:50:00Z,27.9070,-95.3530,-0.6,27.3,2 
NDBC,ioos:station:wmo:42019:1,2017-06-02T18:50:00Z,27.9070,-95.3530,-0.6,27.5,2 
NDBC,ioos:station:wmo:42019:1,2017-06-02T19:50:00Z,27.9070,-95.3530,-0.6,27.7,2 
NDBC,ioos:station:wmo:42019:1,2017-06-02T20:50:00Z,27.9070,-95.3530,-0.6,27.7,2 
NDBC,ioos:station:wmo:42019:1,2017-06-02T21:50:00Z,27.9070,-95.3530,-0.6,27.8,2 
NDBC,ioos:station:wmo:42019:1,2017-06-02T22:50:00Z,27.9070,-95.3530,-0.6,27.7,2 
NDBC,ioos:station:wmo:42019:1,2017-06-02T23:50:00Z,27.9070,-95.3530,-0.6,27.6,2 
NDBC,ioos:station:wmo:42019:1,2017-06-03T00:50:00Z,27.9070,-95.3530,-0.6,27.5,2 
NDBC,ioos:station:wmo:42019:1,2017-06-03T01:50:00Z,27.9070,-95.3530,-0.6,27.5,2 
NDBC,ioos:station:wmo:42019:1,2017-06-03T02:50:00Z,27.9070,-95.3530,-0.6,27.4,2 
NDBC,ioos:station:wmo:42019:1,2017-06-03T04:50:00Z,27.9070,-95.3530,-0.6,27.4,2 
NDBC,ioos:station:wmo:42019:1,2017-06-03T05:50:00Z,27.9070,-95.3530,-0.6,27.4,2 
NDBC,ioos:station:wmo:42019:1,2017-06-03T06:50:00Z,27.9070,-95.3530,-0.6,27.2,2 
NDBC,ioos:station:wmo:42019:1,2017-06-03T07:50:00Z,27.9070,-95.3530,-0.6,27.2,2 
NDBC,ioos:station:wmo:42019:1,2017-06-03T08:50:00Z,27.9070,-95.3530,-0.6,27.0,2 
NDBC,ioos:station:wmo:42019:1,2017-06-03T09:50:00Z,27.9070,-95.3530,-0.6,26.9,2 
NDBC,ioos:station:wmo:42019:1,2017-06-03T10:50:00Z,27.9070,-95.3530,-0.6,26.7,2 
NDBC,ioos:station:wmo:42019:1,2017-06-03T11:50:00Z,27.9070,-95.3530,-0.6,26.7,2 
NDBC,ioos:station:wmo:42019:1,2017-06-03T12:50:00Z,27.9070,-95.3530,-0.6,26.7,2 
NDBC,ioos:station:wmo:42019:1,2017-06-03T13:50:00Z,27.9070,-95.3530,-0.6,26.8,2 
NDBC,ioos:station:wmo:42019:1,2017-06-03T14:50:00Z,27.9070,-95.3530,-0.6,26.7,2 
NDBC,ioos:station:wmo:42019:1,2017-06-03T15:50:00Z,27.9070,-95.3530,-0.6,26.9,2 
NDBC,ioos:station:wmo:42019:1,2017-06-03T16:50:00Z,27.9070,-95.3530,-0.6,27.1,2 
NDBC,ioos:station:wmo:42019:1,2017-06-03T17:50:00Z,27.9070,-95.3530,-0.6,27.5,2 
NDBC,ioos:station:wmo:42019:1,2017-06-03T18:50:00Z,27.9070,-95.3530,-0.6,27.7,2 
NDBC,ioos:station:wmo:42019:1,2017-06-03T19:50:00Z,27.9070,-95.3530,-0.6,28.0,2 
NDBC,ioos:station:wmo:42019:1,2017-06-03T20:50:00Z,27.9070,-95.3530,-0.6,28.1,2 
NDBC,ioos:station:wmo:42019:1,2017-06-03T21:50:00Z,27.9070,-95.3530,-0.6,28.0,2 
NDBC,ioos:station:wmo:42019:1,2017-06-03T22:50:00Z,27.9070,-95.3530,-0.6,28.3,2 
NDBC,ioos:station:wmo:42019:1,2017-06-03T23:50:00Z,27.9070,-95.3530,-0.6,28.3,2 
NDBC,ioos:station:wmo:42019:1,2017-06-04T00:50:00Z,27.9070,-95.3530,-0.6,28.2,2 
NDBC,ioos:station:wmo:42019:1,2017-06-04T01:50:00Z,27.9070,-95.3530,-0.6,28.1,2 
NDBC,ioos:station:wmo:42019:1,2017-06-04T02:50:00Z,27.9070,-95.3530,-0.6,27.9,2 
NDBC,ioos:station:wmo:42019:1,2017-06-04T03:50:00Z,27.9070,-95.3530,-0.6,27.8,2 
NDBC,ioos:station:wmo:42019:1,2017-06-04T04:50:00Z,27.9070,-95.3530,-0.6,27.7,2 
NDBC,ioos:station:wmo:42019:1,2017-06-04T05:50:00Z,27.9070,-95.3530,-0.6,27.7,2 
NDBC,ioos:station:wmo:42019:1,2017-06-04T06:50:00Z,27.9070,-95.3530,-0.6,27.6,2 
NDBC,ioos:station:wmo:42019:1,2017-06-04T07:50:00Z,27.9070,-95.3530,-0.6,27.5,2 
NDBC,ioos:station:wmo:42019:1,2017-06-04T08:50:00Z,27.9070,-95.3530,-0.6,27.4,2 
NDBC,ioos:station:wmo:42019:1,2017-06-04T09:50:00Z,27.9070,-95.3530,-0.6,27.3,2 
NDBC,ioos:station:wmo:42019:1,2017-06-04T10:50:00Z,27.9070,-95.3530,-0.6,27.2,2 
NDBC,ioos:station:wmo:42019:1,2017-06-04T11:50:00Z,27.9070,-95.3530,-0.6,27.0,2 
NDBC,ioos:station:wmo:42019:1,2017-06-04T12:50:00Z,27.9070,-95.3530,-0.6,26.8,2 
NDBC,ioos:station:wmo:42019:1,2017-06-04T13:50:00Z,27.9070,-95.3530,-0.6,26.7,2 
NDBC,ioos:station:wmo:42019:1,2017-06-04T14:50:00Z,27.9070,-95.3530,-0.6,26.7,2 
NDBC,ioos:station:wmo:42019:1,2017-06-04T15:50:00Z,27.9070,-95.3530,-0.6,26.7,2 
NDBC,ioos:station:wmo:42019:1,2017-06-04T16:50:00Z,27.9070,-95.3530,-0.6,26.8,2 
NDBC,ioos:station:wmo:42019:1,2017-06-04T17:50:00Z,27.9070,-95.3530,-0.6,26.8,2 
NDBC,ioos:station:wmo:42019:1,2017-06-04T18:50:00Z,27.9070,-95.3530,-0.6,26.8,2 
NDBC,ioos:station:wmo:42019:1,2017-06-04T19:50:00Z,27.9070,-95.3530,-0.6,26.8,2 
NDBC,ioos:station:wmo:42019:1,2017-06-04T20:50:00Z,27.9070,-95.3530,-0.6,26.8,2 
NDBC,ioos:station:wmo:42019:1,2017-06-04T21:50:00Z,27.9070,-95.3530,-0.6,26.8,2 
NDBC,ioos:station:wmo:42019:1,2017-06-04T22:50:00Z,27.9070,-95.3530,-0.6,27.4,2 
NDBC,ioos:station:wmo:42019:1,2017-06-04T23:50:00Z,27.9070,-95.3530,-0.6,27.5,2 
NDBC,ioos:station:wmo:42019:1,2017-06-05T00:50:00Z,27.9070,-95.3530,-0.6,27.1,2 
