owner,sensor,date,latitude,longitude,vertical_datum,wind_speed,wind_to_direction,wind_speed_of_gust,qcFlag 
NDBC,ioos:station:wmo:42019:1,2017-09-01T00:50:00Z,27.907,-95.353,5,2,130,3,'1111122
NDBC,ioos:station:wmo:42019:1,2017-09-01T01:50:00Z,27.907,-95.353,5,4,140,5,'1111122
NDBC,ioos:station:wmo:42019:1,2017-09-01T02:50:00Z,27.907,-95.353,5,4,140,5,'1111122
NDBC,ioos:station:wmo:42019:1,2017-09-01T03:50:00Z,27.907,-95.353,5,4,140,4,'1111122
NDBC,ioos:station:wmo:42019:1,2017-09-01T04:50:00Z,27.907,-95.353,5,4,160,5,'1111122
NDBC,ioos:station:wmo:42019:1,2017-09-01T05:50:00Z,27.907,-95.353,5,5,160,6,'1111122
NDBC,ioos:station:wmo:42019:1,2017-09-01T06:50:00Z,27.907,-95.353,5,5,170,5,'1111122
NDBC,ioos:station:wmo:42019:1,2017-09-01T07:50:00Z,27.907,-95.353,5,4,180,5,'1111122
NDBC,ioos:station:wmo:42019:1,2017-09-01T08:50:00Z,27.907,-95.353,5,5,190,6,'1111122
NDBC,ioos:station:wmo:42019:1,2017-09-01T09:50:00Z,27.907,-95.353,5,5,200,6,'1111122
NDBC,ioos:station:wmo:42019:1,2017-09-01T10:50:00Z,27.907,-95.353,5,5,230,6,'1111122
NDBC,ioos:station:wmo:42019:1,2017-09-01T11:50:00Z,27.907,-95.353,5,4,220,4,'1111122
NDBC,ioos:station:wmo:42019:1,2017-09-01T12:50:00Z,27.907,-95.353,5,1,240,1,'1111122
NDBC,ioos:station:wmo:42019:1,2017-09-01T13:50:00Z,27.907,-95.353,5,1,210,2,'1111122
NDBC,ioos:station:wmo:42019:1,2017-09-01T14:50:00Z,27.907,-95.353,5,1,270,2,'1111122
NDBC,ioos:station:wmo:42019:1,2017-09-01T15:50:00Z,27.907,-95.353,5,0,-9999,1,'1114422
NDBC,ioos:station:wmo:42019:1,2017-09-01T16:50:00Z,27.907,-95.353,5,0,-9999,1,'1114422
NDBC,ioos:station:wmo:42019:1,2017-09-01T17:50:00Z,27.907,-95.353,5,1,180,2,'1111122
NDBC,ioos:station:wmo:42019:1,2017-09-01T18:50:00Z,27.907,-95.353,5,1,160,2,'1111122
NDBC,ioos:station:wmo:42019:1,2017-09-01T19:50:00Z,27.907,-95.353,5,2,130,3,'1111122
NDBC,ioos:station:wmo:42019:1,2017-09-01T20:50:00Z,27.907,-95.353,5,6,60,8,'1111122
NDBC,ioos:station:wmo:42019:1,2017-09-01T21:50:00Z,27.907,-95.353,5,4,80,5,'1111122
NDBC,ioos:station:wmo:42019:1,2017-09-01T23:50:00Z,27.907,-95.353,5,4,110,5,'1111122
NDBC,ioos:station:wmo:42019:1,2017-09-02T00:50:00Z,27.907,-95.353,5,4,120,5,'1111122
NDBC,ioos:station:wmo:42019:1,2017-09-02T01:50:00Z,27.907,-95.353,5,4,120,5,'1111122
NDBC,ioos:station:wmo:42019:1,2017-09-02T02:50:00Z,27.907,-95.353,5,2,130,2,'1111122
NDBC,ioos:station:wmo:42019:1,2017-09-02T03:50:00Z,27.907,-95.353,5,1,120,2,'1111122
NDBC,ioos:station:wmo:42019:1,2017-09-02T04:50:00Z,27.907,-95.353,5,3,100,4,'1111122
NDBC,ioos:station:wmo:42019:1,2017-09-02T05:50:00Z,27.907,-95.353,5,3,110,3,'1111122
NDBC,ioos:station:wmo:42019:1,2017-09-02T06:50:00Z,27.907,-95.353,5,4,100,5,'1111122
NDBC,ioos:station:wmo:42019:1,2017-09-02T07:50:00Z,27.907,-95.353,5,4,90,4,'1111122
NDBC,ioos:station:wmo:42019:1,2017-09-02T08:50:00Z,27.907,-95.353,5,4,110,5,'1111122
NDBC,ioos:station:wmo:42019:1,2017-09-02T09:50:00Z,27.907,-95.353,5,3,110,4,'1111122
NDBC,ioos:station:wmo:42019:1,2017-09-02T10:50:00Z,27.907,-95.353,5,3,120,4,'1111122
NDBC,ioos:station:wmo:42019:1,2017-09-02T11:50:00Z,27.907,-95.353,5,3,110,3,'1111122
NDBC,ioos:station:wmo:42019:1,2017-09-02T12:50:00Z,27.907,-95.353,5,3,120,4,'1111122
NDBC,ioos:station:wmo:42019:1,2017-09-02T13:50:00Z,27.907,-95.353,5,2,90,3,'1111122
NDBC,ioos:station:wmo:42019:1,2017-09-02T14:50:00Z,27.907,-95.353,5,2,80,3,'1111122
NDBC,ioos:station:wmo:42019:1,2017-09-02T15:50:00Z,27.907,-95.353,5,1,70,2,'1111122
NDBC,ioos:station:wmo:42019:1,2017-09-02T16:50:00Z,27.907,-95.353,5,2,60,3,'1111122
NDBC,ioos:station:wmo:42019:1,2017-09-02T17:50:00Z,27.907,-95.353,5,3,40,3,'1111122
NDBC,ioos:station:wmo:42019:1,2017-09-02T18:50:00Z,27.907,-95.353,5,3,40,4,'1111122
