owner,sensor,date,latitude,longitude,air_temperature,qcFlag 
TABS,ioos:station:wmo:42043:1,2017-08-22T12:30:00Z,28.9818,-94.9186,28.8,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-22T13:00:00Z,28.9818,-94.9186,31.4,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-22T13:30:00Z,28.9818,-94.9186,32.1,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-22T14:00:00Z,28.9818,-94.9186,32.3,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-22T14:30:00Z,28.9818,-94.9186,30.9,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-22T15:00:00Z,28.9818,-94.9186,31.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-22T15:30:00Z,28.9818,-94.9186,32.0,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-22T16:00:00Z,28.9818,-94.9186,32.5,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-22T16:30:00Z,28.9818,-94.9186,33.9,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-22T17:00:00Z,28.9818,-94.9186,33.5,1111122 
TABS,ioos:station:wmo:42043:1,2017-08-22T17:30:00Z,28.9818,-94.9186,34.4,1111122 
TABS,ioos:station:wmo:42043:1,2017-08-22T20:00:00Z,28.9818,-94.9186,29.8,11144222 
TABS,ioos:station:wmo:42043:1,2017-08-22T20:30:00Z,28.9818,-94.9186,28.9,11144222 
TABS,ioos:station:wmo:42043:1,2017-08-22T21:00:00Z,28.9818,-94.9186,28.5,11144222 
TABS,ioos:station:wmo:42043:1,2017-08-22T21:30:00Z,28.9818,-94.9186,28.6,11144222 
TABS,ioos:station:wmo:42043:1,2017-08-22T22:00:00Z,28.9818,-94.9186,28.3,11144222 
TABS,ioos:station:wmo:42043:1,2017-08-22T22:30:00Z,28.9818,-94.9186,28.3,11144222 
TABS,ioos:station:wmo:42043:1,2017-08-22T23:00:00Z,28.9818,-94.9186,28.3,11144222 
TABS,ioos:station:wmo:42043:1,2017-08-22T23:30:00Z,28.9818,-94.9186,28.2,11144222 
TABS,ioos:station:wmo:42043:1,2017-08-23T00:00:00Z,28.9818,-94.9186,28.1,11144222 
TABS,ioos:station:wmo:42043:1,2017-08-23T00:30:00Z,28.9818,-94.9186,27.8,11144222 
TABS,ioos:station:wmo:42043:1,2017-08-23T01:00:00Z,28.9818,-94.9186,27.4,11144222 
TABS,ioos:station:wmo:42043:1,2017-08-23T01:30:00Z,28.9818,-94.9186,27.3,11144222 
TABS,ioos:station:wmo:42043:1,2017-08-23T02:00:00Z,28.9818,-94.9186,27.3,11144222 
TABS,ioos:station:wmo:42043:1,2017-08-23T02:30:00Z,28.9818,-94.9186,27.3,11144222 
TABS,ioos:station:wmo:42043:1,2017-08-23T03:00:00Z,28.9818,-94.9186,27.3,11144222 
TABS,ioos:station:wmo:42043:1,2017-08-23T03:30:00Z,28.9818,-94.9186,27.3,11144222 
TABS,ioos:station:wmo:42043:1,2017-08-23T04:00:00Z,28.9818,-94.9186,27.5,11144222 
TABS,ioos:station:wmo:42043:1,2017-08-23T04:30:00Z,28.9818,-94.9186,27.2,11144222 
TABS,ioos:station:wmo:42043:1,2017-08-23T05:00:00Z,28.9818,-94.9186,27.2,11144222 
TABS,ioos:station:wmo:42043:1,2017-08-23T05:30:00Z,28.9818,-94.9186,27.0,11144222 
TABS,ioos:station:wmo:42043:1,2017-08-23T06:00:00Z,28.9818,-94.9186,27.1,11144222 
TABS,ioos:station:wmo:42043:1,2017-08-23T06:30:00Z,28.9818,-94.9186,27.2,11144222 
TABS,ioos:station:wmo:42043:1,2017-08-23T07:00:00Z,28.9818,-94.9186,27.1,11144222 
TABS,ioos:station:wmo:42043:1,2017-08-23T07:30:00Z,28.9818,-94.9186,27.0,11144222 
TABS,ioos:station:wmo:42043:1,2017-08-23T08:00:00Z,28.9818,-94.9186,27.1,11144222 
TABS,ioos:station:wmo:42043:1,2017-08-23T08:30:00Z,28.9818,-94.9186,27.2,11144222 
TABS,ioos:station:wmo:42043:1,2017-08-23T09:00:00Z,28.9818,-94.9186,27.3,11144222 
TABS,ioos:station:wmo:42043:1,2017-08-23T09:30:00Z,28.9818,-94.9186,27.3,11144222 
TABS,ioos:station:wmo:42043:1,2017-08-23T10:00:00Z,28.9818,-94.9186,27.5,11144222 
TABS,ioos:station:wmo:42043:1,2017-08-23T10:30:00Z,28.9818,-94.9186,27.3,11144222 
TABS,ioos:station:wmo:42043:1,2017-08-23T11:00:00Z,28.9818,-94.9186,27.3,11144222 
TABS,ioos:station:wmo:42043:1,2017-08-23T11:30:00Z,28.9818,-94.9186,27.2,11144222 
