owner,sensor,date,latitude,longitude,vertical_datum,sea_water_practical_salinity,qcFlag 
TABS,ioos:station:wmo:42043:1,2017-08-22T20:00:00Z,28.9818,-94.9186,2.0,34.42,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-22T20:30:00Z,28.9818,-94.9186,2.0,34.48,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-22T21:00:00Z,28.9818,-94.9186,2.0,34.48,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-22T21:30:00Z,28.9818,-94.9186,2.0,34.48,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-22T22:00:00Z,28.9818,-94.9186,2.0,34.48,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-22T22:30:00Z,28.9818,-94.9186,2.0,34.47,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-22T23:00:00Z,28.9818,-94.9186,2.0,34.5,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-22T23:30:00Z,28.9818,-94.9186,2.0,34.5,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T00:00:00Z,28.9818,-94.9186,2.0,34.51,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T00:30:00Z,28.9818,-94.9186,2.0,34.5,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T01:00:00Z,28.9818,-94.9186,2.0,34.51,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T01:30:00Z,28.9818,-94.9186,2.0,34.5,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T02:00:00Z,28.9818,-94.9186,2.0,34.51,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T02:30:00Z,28.9818,-94.9186,2.0,34.5,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T03:00:00Z,28.9818,-94.9186,2.0,34.51,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T03:30:00Z,28.9818,-94.9186,2.0,34.5,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T04:00:00Z,28.9818,-94.9186,2.0,34.51,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T04:30:00Z,28.9818,-94.9186,2.0,34.51,11111222 
TABS,ioos:station:wmo:42043:1,2017-08-23T05:00:00Z,28.9818,-94.9186,2.0,34.5,11111222 
