owner,sensor,date,latitude,longitude,air_pressure(mBar),qcFlag 
TABS,ioos:station:wmo:42043:1,2017-07-01T00:00:00Z,28.9818,-94.9186,1014.78,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T00:30:00Z,28.9818,-94.9186,1015.01,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T01:00:00Z,28.9818,-94.9186,1015.07,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T01:30:00Z,28.9818,-94.9186,1014.71,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T02:00:00Z,28.9818,-94.9186,1014.64,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T02:30:00Z,28.9818,-94.9186,1014.62,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T03:00:00Z,28.9818,-94.9186,1014.43,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T03:30:00Z,28.9818,-94.9186,1014.51,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T04:00:00Z,28.9818,-94.9186,1014.77,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T04:30:00Z,28.9818,-94.9186,1015.32,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T05:00:00Z,28.9818,-94.9186,1015.61,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T05:30:00Z,28.9818,-94.9186,1015.93,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T06:00:00Z,28.9818,-94.9186,1016.03,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T06:30:00Z,28.9818,-94.9186,1016.13,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T07:00:00Z,28.9818,-94.9186,1015.89,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T07:30:00Z,28.9818,-94.9186,1015.86,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T08:00:00Z,28.9818,-94.9186,1015.52,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T08:30:00Z,28.9818,-94.9186,1015.51,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T09:00:00Z,28.9818,-94.9186,1015.72,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T09:30:00Z,28.9818,-94.9186,1015.88,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T10:00:00Z,28.9818,-94.9186,1016.11,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T10:30:00Z,28.9818,-94.9186,1016.35,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T11:00:00Z,28.9818,-94.9186,1016.85,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T11:30:00Z,28.9818,-94.9186,1017.58,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T12:00:00Z,28.9818,-94.9186,1017.86,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T12:30:00Z,28.9818,-94.9186,1018.36,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T13:00:00Z,28.9818,-94.9186,1018.69,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T13:30:00Z,28.9818,-94.9186,1019.01,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T14:00:00Z,28.9818,-94.9186,1019.25,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T14:30:00Z,28.9818,-94.9186,1019.44,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T15:00:00Z,28.9818,-94.9186,1019.61,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T15:30:00Z,28.9818,-94.9186,1019.93,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T16:00:00Z,28.9818,-94.9186,1020.06,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T16:30:00Z,28.9818,-94.9186,1019.88,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T17:00:00Z,28.9818,-94.9186,1019.92,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T17:30:00Z,28.9818,-94.9186,1019.69,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T18:00:00Z,28.9818,-94.9186,1019.61,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T18:30:00Z,28.9818,-94.9186,1019.53,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T19:00:00Z,28.9818,-94.9186,1019.35,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T19:30:00Z,28.9818,-94.9186,1019.35,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T20:00:00Z,28.9818,-94.9186,1019.44,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T20:30:00Z,28.9818,-94.9186,1018.95,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T21:00:00Z,28.9818,-94.9186,1018.77,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T21:30:00Z,28.9818,-94.9186,1018.24,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T22:00:00Z,28.9818,-94.9186,1017.35,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T22:30:00Z,28.9818,-94.9186,1017.22,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T23:00:00Z,28.9818,-94.9186,1017.14,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T23:30:00Z,28.9818,-94.9186,1017.71,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-02T00:00:00Z,28.9818,-94.9186,1017.64,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-02T00:30:00Z,28.9818,-94.9186,1017.77,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-02T01:00:00Z,28.9818,-94.9186,1017.94,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-02T01:30:00Z,28.9818,-94.9186,1018.01,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-02T02:00:00Z,28.9818,-94.9186,1018.25,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-02T02:30:00Z,28.9818,-94.9186,1018.47,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-02T03:00:00Z,28.9818,-94.9186,1018.67,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-02T03:30:00Z,28.9818,-94.9186,1019.03,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-02T04:00:00Z,28.9818,-94.9186,1019.24,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-02T04:30:00Z,28.9818,-94.9186,1019.37,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-02T05:00:00Z,28.9818,-94.9186,1019.33,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-02T05:30:00Z,28.9818,-94.9186,1019.19,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-02T06:00:00Z,28.9818,-94.9186,1018.97,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-02T06:30:00Z,28.9818,-94.9186,1018.76,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-02T07:00:00Z,28.9818,-94.9186,1018.66,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-02T07:30:00Z,28.9818,-94.9186,1018.5,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-02T08:00:00Z,28.9818,-94.9186,1018.53,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-02T08:30:00Z,28.9818,-94.9186,1018.45,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-02T09:00:00Z,28.9818,-94.9186,1018.53,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-02T09:30:00Z,28.9818,-94.9186,1018.62,11111222 
