owner,sensor,date,latitude,longitude,vertical_datum,sea_water_temperature,qcFlag 
TABS,ioos:station:wmo:42043:1,2017-07-01T00:00:00Z,28.9818,-94.9186,-2.0,28.91,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T00:30:00Z,28.9818,-94.9186,-2.0,28.91,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T01:00:00Z,28.9818,-94.9186,-2.0,28.89,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T01:30:00Z,28.9818,-94.9186,-2.0,28.89,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T02:00:00Z,28.9818,-94.9186,-2.0,28.87,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T02:30:00Z,28.9818,-94.9186,-2.0,28.85,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T03:00:00Z,28.9818,-94.9186,-2.0,28.86,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T03:30:00Z,28.9818,-94.9186,-2.0,28.87,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T04:00:00Z,28.9818,-94.9186,-2.0,28.87,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T04:30:00Z,28.9818,-94.9186,-2.0,28.86,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T05:00:00Z,28.9818,-94.9186,-2.0,28.84,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T05:30:00Z,28.9818,-94.9186,-2.0,28.83,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T06:00:00Z,28.9818,-94.9186,-2.0,28.79,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T06:30:00Z,28.9818,-94.9186,-2.0,28.75,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T07:00:00Z,28.9818,-94.9186,-2.0,28.7,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T07:30:00Z,28.9818,-94.9186,-2.0,28.65,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T08:00:00Z,28.9818,-94.9186,-2.0,28.61,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T08:30:00Z,28.9818,-94.9186,-2.0,28.62,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T09:00:00Z,28.9818,-94.9186,-2.0,28.65,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T09:30:00Z,28.9818,-94.9186,-2.0,28.68,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T10:00:00Z,28.9818,-94.9186,-2.0,28.68,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T10:30:00Z,28.9818,-94.9186,-2.0,28.62,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T11:00:00Z,28.9818,-94.9186,-2.0,28.6,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T11:30:00Z,28.9818,-94.9186,-2.0,28.57,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T12:00:00Z,28.9818,-94.9186,-2.0,28.56,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T12:30:00Z,28.9818,-94.9186,-2.0,28.57,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T13:00:00Z,28.9818,-94.9186,-2.0,28.57,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T13:30:00Z,28.9818,-94.9186,-2.0,28.59,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T14:00:00Z,28.9818,-94.9186,-2.0,28.6,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T14:30:00Z,28.9818,-94.9186,-2.0,28.6,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T15:00:00Z,28.9818,-94.9186,-2.0,28.61,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T15:30:00Z,28.9818,-94.9186,-2.0,28.63,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T16:00:00Z,28.9818,-94.9186,-2.0,28.64,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T16:30:00Z,28.9818,-94.9186,-2.0,28.67,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T17:00:00Z,28.9818,-94.9186,-2.0,28.72,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T17:30:00Z,28.9818,-94.9186,-2.0,28.77,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T18:00:00Z,28.9818,-94.9186,-2.0,28.88,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T18:30:00Z,28.9818,-94.9186,-2.0,28.99,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T19:00:00Z,28.9818,-94.9186,-2.0,29.17,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T19:30:00Z,28.9818,-94.9186,-2.0,29.12,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T20:00:00Z,28.9818,-94.9186,-2.0,29.28,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T20:30:00Z,28.9818,-94.9186,-2.0,29.34,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T21:00:00Z,28.9818,-94.9186,-2.0,29.38,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T21:30:00Z,28.9818,-94.9186,-2.0,29.39,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T22:00:00Z,28.9818,-94.9186,-2.0,29.4,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T22:30:00Z,28.9818,-94.9186,-2.0,29.38,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T23:00:00Z,28.9818,-94.9186,-2.0,29.36,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-01T23:30:00Z,28.9818,-94.9186,-2.0,29.25,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-02T00:00:00Z,28.9818,-94.9186,-2.0,29.07,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-02T00:30:00Z,28.9818,-94.9186,-2.0,29.04,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-02T01:00:00Z,28.9818,-94.9186,-2.0,28.92,11111222 
TABS,ioos:station:wmo:42043:1,2017-07-02T01:30:00Z,28.9818,-94.9186,-2.0,28.92,11111222 
