owner,sensor,date,latitude,longitude,air_temperature,qcFlag 
TABS,ioos:station:wmo:42043:1,2017-06-07T00:00:00Z,28.9818,-94.9186,26.6,11144222 
TABS,ioos:station:wmo:42043:1,2017-06-07T00:30:00Z,28.9818,-94.9186,26.3,11144222 
TABS,ioos:station:wmo:42043:1,2017-06-07T01:00:00Z,28.9818,-94.9186,25.9,11144222 
TABS,ioos:station:wmo:42043:1,2017-06-07T01:30:00Z,28.9818,-94.9186,26.1,11144222 
TABS,ioos:station:wmo:42043:1,2017-06-07T02:00:00Z,28.9818,-94.9186,26.0,11144222 
TABS,ioos:station:wmo:42043:1,2017-06-07T02:30:00Z,28.9818,-94.9186,24.5,11144222 
TABS,ioos:station:wmo:42043:1,2017-06-07T03:00:00Z,28.9818,-94.9186,25.0,11144222 
TABS,ioos:station:wmo:42043:1,2017-06-07T03:30:00Z,28.9818,-94.9186,25.6,11144222 
TABS,ioos:station:wmo:42043:1,2017-06-07T04:00:00Z,28.9818,-94.9186,25.3,11144222 
TABS,ioos:station:wmo:42043:1,2017-06-07T04:30:00Z,28.9818,-94.9186,25.3,11144222 
TABS,ioos:station:wmo:42043:1,2017-06-07T05:00:00Z,28.9818,-94.9186,25.3,11144222 
TABS,ioos:station:wmo:42043:1,2017-06-07T05:30:00Z,28.9818,-94.9186,25.0,11144222 
TABS,ioos:station:wmo:42043:1,2017-06-07T06:00:00Z,28.9818,-94.9186,25.1,11144222 
TABS,ioos:station:wmo:42043:1,2017-06-07T06:30:00Z,28.9818,-94.9186,24.9,11144222 
TABS,ioos:station:wmo:42043:1,2017-06-07T07:00:00Z,28.9818,-94.9186,24.9,11144222 
TABS,ioos:station:wmo:42043:1,2017-06-07T07:30:00Z,28.9818,-94.9186,24.8,11144222 
TABS,ioos:station:wmo:42043:1,2017-06-07T08:00:00Z,28.9818,-94.9186,24.6,11144222 
TABS,ioos:station:wmo:42043:1,2017-06-07T08:30:00Z,28.9818,-94.9186,24.5,11144222 
TABS,ioos:station:wmo:42043:1,2017-06-07T09:00:00Z,28.9818,-94.9186,24.6,11144222 
TABS,ioos:station:wmo:42043:1,2017-06-07T09:30:00Z,28.9818,-94.9186,24.4,11144222 
