owner,sensor,date,latitude,longitude,vertical_datum,sea_water_practical_salinity,qcFlag 
TABS,ioos:station:wmo:42043:1,2017-06-07T00:00:00Z,28.9818,-94.9186,2.0,0.02,11111222 
TABS,ioos:station:wmo:42043:1,2017-06-07T00:30:00Z,28.9818,-94.9186,2.0,0.03,11111222 
TABS,ioos:station:wmo:42043:1,2017-06-07T01:00:00Z,28.9818,-94.9186,2.0,0.03,11111222 
TABS,ioos:station:wmo:42043:1,2017-06-07T01:30:00Z,28.9818,-94.9186,2.0,0.04,11111222 
TABS,ioos:station:wmo:42043:1,2017-06-07T02:00:00Z,28.9818,-94.9186,2.0,0.04,11111222 
TABS,ioos:station:wmo:42043:1,2017-06-07T02:30:00Z,28.9818,-94.9186,2.0,0.05,11111222 
TABS,ioos:station:wmo:42043:1,2017-06-07T03:00:00Z,28.9818,-94.9186,2.0,0.05,11111222 
TABS,ioos:station:wmo:42043:1,2017-06-07T03:30:00Z,28.9818,-94.9186,2.0,0.05,11111222 
TABS,ioos:station:wmo:42043:1,2017-06-07T04:00:00Z,28.9818,-94.9186,2.0,0.05,11111222 
TABS,ioos:station:wmo:42043:1,2017-06-07T04:30:00Z,28.9818,-94.9186,2.0,0.05,11111222 
TABS,ioos:station:wmo:42043:1,2017-06-07T05:00:00Z,28.9818,-94.9186,2.0,0.05,11111222 
TABS,ioos:station:wmo:42043:1,2017-06-07T05:30:00Z,28.9818,-94.9186,2.0,0.05,11111222 
TABS,ioos:station:wmo:42043:1,2017-06-07T06:00:00Z,28.9818,-94.9186,2.0,0.05,11111222 
TABS,ioos:station:wmo:42043:1,2017-06-07T06:30:00Z,28.9818,-94.9186,2.0,0.05,11111222 
TABS,ioos:station:wmo:42043:1,2017-06-07T07:00:00Z,28.9818,-94.9186,2.0,0.05,11111222 
TABS,ioos:station:wmo:42043:1,2017-06-07T07:30:00Z,28.9818,-94.9186,2.0,0.05,11111222 
TABS,ioos:station:wmo:42043:1,2017-06-07T08:00:00Z,28.9818,-94.9186,2.0,0.05,11111222 
TABS,ioos:station:wmo:42043:1,2017-06-07T08:30:00Z,28.9818,-94.9186,2.0,0.06,11111222 
TABS,ioos:station:wmo:42043:1,2017-06-07T09:00:00Z,28.9818,-94.9186,2.0,0.06,11111222 
TABS,ioos:station:wmo:42043:1,2017-06-07T09:30:00Z,28.9818,-94.9186,2.0,0.06,11111222 
TABS,ioos:station:wmo:42043:1,2017-06-07T10:00:00Z,28.9818,-94.9186,2.0,0.06,11111222 
TABS,ioos:station:wmo:42043:1,2017-06-07T10:30:00Z,28.9818,-94.9186,2.0,0.06,11111222 
TABS,ioos:station:wmo:42043:1,2017-06-07T11:00:00Z,28.9818,-94.9186,2.0,0.06,11111222 
TABS,ioos:station:wmo:42043:1,2017-06-07T11:30:00Z,28.9818,-94.9186,2.0,0.06,11111222 
TABS,ioos:station:wmo:42043:1,2017-06-07T12:00:00Z,28.9818,-94.9186,2.0,24.65,11111222 
TABS,ioos:station:wmo:42043:1,2017-06-07T12:30:00Z,28.9818,-94.9186,2.0,24.82,11111222 
TABS,ioos:station:wmo:42043:1,2017-06-07T13:00:00Z,28.9818,-94.9186,2.0,24.67,11111222 
TABS,ioos:station:wmo:42043:1,2017-06-07T13:30:00Z,28.9818,-94.9186,2.0,24.74,11111222 
TABS,ioos:station:wmo:42043:1,2017-06-07T14:00:00Z,28.9818,-94.9186,2.0,24.79,11111222 
TABS,ioos:station:wmo:42043:1,2017-06-07T14:30:00Z,28.9818,-94.9186,2.0,24.51,11111222 
TABS,ioos:station:wmo:42043:1,2017-06-07T15:00:00Z,28.9818,-94.9186,2.0,24.53,11111222 
TABS,ioos:station:wmo:42043:1,2017-06-07T15:30:00Z,28.9818,-94.9186,2.0,24.63,11111222 
TABS,ioos:station:wmo:42043:1,2017-06-07T16:00:00Z,28.9818,-94.9186,2.0,24.29,11111222 
TABS,ioos:station:wmo:42043:1,2017-06-07T16:30:00Z,28.9818,-94.9186,2.0,24.58,11111222 
TABS,ioos:station:wmo:42043:1,2017-06-07T17:00:00Z,28.9818,-94.9186,2.0,24.66,11111222 
