owner,sensor,date,latitude,longitude,air_pressure(mBar),qcFlag 
TABS,ioos:station:wmo:42044:1,2017-06-01T00:00:00Z,26.1914,-97.0507,1012.26,11111222 
TABS,ioos:station:wmo:42044:1,2017-06-01T00:30:00Z,26.1914,-97.0507,1012.3,11111222 
TABS,ioos:station:wmo:42044:1,2017-06-01T01:00:00Z,26.1914,-97.0507,1012.61,11111222 
TABS,ioos:station:wmo:42044:1,2017-06-01T01:30:00Z,26.1914,-97.0507,1011.83,11111222 
TABS,ioos:station:wmo:42044:1,2017-06-01T02:00:00Z,26.1914,-97.0507,1012.6,11111222 
TABS,ioos:station:wmo:42044:1,2017-06-01T02:30:00Z,26.1914,-97.0507,1012.85,11111222 
TABS,ioos:station:wmo:42044:1,2017-06-01T03:00:00Z,26.1914,-97.0507,1013.36,11111222 
TABS,ioos:station:wmo:42044:1,2017-06-01T03:30:00Z,26.1914,-97.0507,1013.65,11111222 
TABS,ioos:station:wmo:42044:1,2017-06-01T04:00:00Z,26.1914,-97.0507,1013.71,11111222 
TABS,ioos:station:wmo:42044:1,2017-06-01T04:30:00Z,26.1914,-97.0507,1014.0,11111222 
TABS,ioos:station:wmo:42044:1,2017-06-01T05:00:00Z,26.1914,-97.0507,1013.88,11111222 
TABS,ioos:station:wmo:42044:1,2017-06-01T05:30:00Z,26.1914,-97.0507,1013.52,11111222 
TABS,ioos:station:wmo:42044:1,2017-06-01T06:00:00Z,26.1914,-97.0507,1013.82,11111222 
TABS,ioos:station:wmo:42044:1,2017-06-01T06:30:00Z,26.1914,-97.0507,1013.5,11111222 
TABS,ioos:station:wmo:42044:1,2017-06-01T07:00:00Z,26.1914,-97.0507,1013.33,11111222 
TABS,ioos:station:wmo:42044:1,2017-06-01T07:30:00Z,26.1914,-97.0507,1013.2,11111222 
TABS,ioos:station:wmo:42044:1,2017-06-01T08:00:00Z,26.1914,-97.0507,1012.91,11111222 
TABS,ioos:station:wmo:42044:1,2017-06-01T08:30:00Z,26.1914,-97.0507,1012.72,11111222 
TABS,ioos:station:wmo:42044:1,2017-06-01T09:00:00Z,26.1914,-97.0507,1012.72,11111222 
TABS,ioos:station:wmo:42044:1,2017-06-01T09:30:00Z,26.1914,-97.0507,1012.84,11111222 
TABS,ioos:station:wmo:42044:1,2017-06-01T10:00:00Z,26.1914,-97.0507,1012.68,11111222 
TABS,ioos:station:wmo:42044:1,2017-06-01T10:30:00Z,26.1914,-97.0507,1012.54,11111222 
TABS,ioos:station:wmo:42044:1,2017-06-01T11:00:00Z,26.1914,-97.0507,1012.99,11111222 
TABS,ioos:station:wmo:42044:1,2017-06-01T11:30:00Z,26.1914,-97.0507,1012.93,11111222 
TABS,ioos:station:wmo:42044:1,2017-06-01T12:00:00Z,26.1914,-97.0507,1013.45,11111222 
TABS,ioos:station:wmo:42044:1,2017-06-01T12:30:00Z,26.1914,-97.0507,1013.51,11111222 
TABS,ioos:station:wmo:42044:1,2017-06-01T13:00:00Z,26.1914,-97.0507,1013.48,11111222 
TABS,ioos:station:wmo:42044:1,2017-06-01T13:30:00Z,26.1914,-97.0507,1013.78,11111222 
