owner,sensor,date,latitude,longitude,vertical_datum,wind_speed,wind_to_direction,wind_speed_of_gust,qcFlag 
TABS,ioos:station:wmo:42047:1,2017-08-01T00:00:00Z,27.8966,-93.5973,4,5.490537314,3.550077998,6.91,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-01T00:30:00Z,27.8966,-93.5973,4,4.032716206,355.4485389,4.74,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-01T01:00:00Z,27.8966,-93.5973,4,1.292942381,28.1504123,2.35,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-01T01:30:00Z,27.8966,-93.5973,4,5.954376542,79.25581714,7.05,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-01T02:00:00Z,27.8966,-93.5973,4,6.156370684,87.392797,7.37,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-01T02:30:00Z,27.8966,-93.5973,4,6.041001573,88.95623068,7.68,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-01T03:00:00Z,27.8966,-93.5973,4,6.607215752,99.32015935,8.01,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-01T03:30:00Z,27.8966,-93.5973,4,6.735532644,99.14107443,7.71,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-01T04:00:00Z,27.8966,-93.5973,4,6.64398224,91.98426607,7.62,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-01T04:30:00Z,27.8966,-93.5973,4,6.89890571,96.82668658,7.77,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-01T05:00:00Z,27.8966,-93.5973,4,6.237315128,99.59863556,6.95,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-01T05:30:00Z,27.8966,-93.5973,4,6.678001198,94.20828475,7.89,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-01T06:00:00Z,27.8966,-93.5973,4,6.046767732,104.6571378,7.35,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-01T06:30:00Z,27.8966,-93.5973,4,5.481788029,104.7971486,6.67,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-01T07:00:00Z,27.8966,-93.5973,4,5.690351483,100.2241901,6.72,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-01T07:30:00Z,27.8966,-93.5973,4,5.253341794,103.8779183,6.17,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-01T08:00:00Z,27.8966,-93.5973,4,4.720021186,99.88180393,5.74,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-01T08:30:00Z,27.8966,-93.5973,4,5.754598161,92.2910256,8.21,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-01T09:00:00Z,27.8966,-93.5973,4,4.625235129,115.3465376,5.99,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-01T09:30:00Z,27.8966,-93.5973,4,5.460494483,100.4460185,6.84,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-01T10:00:00Z,27.8966,-93.5973,4,3.574185222,99.98980498,4.68,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-01T10:30:00Z,27.8966,-93.5973,4,7.529867197,95.10528101,9.36,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-01T11:00:00Z,27.8966,-93.5973,4,5.117860881,104.7154582,6.52,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-01T11:30:00Z,27.8966,-93.5973,4,4.051530575,199.4637331,5.21,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-01T12:00:00Z,27.8966,-93.5973,4,2.985632261,223.0999987,3.66,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-01T12:30:00Z,27.8966,-93.5973,4,2.155945268,184.2562272,2.89,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-01T13:00:00Z,27.8966,-93.5973,4,2.079639392,174.4815292,2.65,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-01T13:30:00Z,27.8966,-93.5973,4,1.849783771,174.1047072,2.95,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-01T14:00:00Z,27.8966,-93.5973,4,3.193900437,161.5653047,3.65,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-01T14:30:00Z,27.8966,-93.5973,4,3.206524598,153.5151316,4.11,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-01T15:00:00Z,27.8966,-93.5973,4,3.000416638,166.7050501,4.47,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-01T15:30:00Z,27.8966,-93.5973,4,2.091602257,173.9625421,2.92,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-01T16:00:00Z,27.8966,-93.5973,4,1.993313824,173.3743512,2.73,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-01T16:30:00Z,27.8966,-93.5973,4,1.382244551,142.0526052,2.03,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-01T17:00:00Z,27.8966,-93.5973,4,0.988989383,155.5083667,1.93,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-01T17:30:00Z,27.8966,-93.5973,4,0.759605161,200.8210546,1.29,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-01T18:00:00Z,27.8966,-93.5973,4,0.715122367,200.4624341,1.18,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-01T18:30:00Z,27.8966,-93.5973,4,0.825651258,168.8263983,1.59,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-01T19:00:00Z,27.8966,-93.5973,4,0.800562302,92.14800132,2.27,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-01T19:30:00Z,27.8966,-93.5973,4,2.128966886,62.59206774,2.93,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-01T20:00:00Z,27.8966,-93.5973,4,2.401499532,77.00499268,3.39,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-01T20:30:00Z,27.8966,-93.5973,4,4.498677583,81.56329747,5.65,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-01T21:00:00Z,27.8966,-93.5973,4,4.5484283,82.54646502,5.42,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-01T21:30:00Z,27.8966,-93.5973,4,4.193626116,110.8122719,5.45,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-01T22:00:00Z,27.8966,-93.5973,4,4.2276471,118.0808143,5.16,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-01T22:30:00Z,27.8966,-93.5973,4,3.821727358,106.7283457,4.73,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-01T23:00:00Z,27.8966,-93.5973,4,3.630316791,108.6349622,4.24,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-01T23:30:00Z,27.8966,-93.5973,4,3.104834939,111.9388501,4.12,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-02T00:00:00Z,27.8966,-93.5973,4,2.758731593,110.143177,3.47,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-02T00:30:00Z,27.8966,-93.5973,4,3.253459697,96.88514291,4.31,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-02T01:00:00Z,27.8966,-93.5973,4,3.439840113,85.66475873,4.08,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-02T01:30:00Z,27.8966,-93.5973,4,3.61134324,108.2346422,4.19,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-02T02:00:00Z,27.8966,-93.5973,4,3.874854836,113.2572042,4.63,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-02T02:30:00Z,27.8966,-93.5973,4,4.195724014,115.4049959,5.19,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-02T03:00:00Z,27.8966,-93.5973,4,4.901632381,95.38532859,9.39,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-02T03:30:00Z,27.8966,-93.5973,4,4.018084121,53.50051579,5.37,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-02T04:00:00Z,27.8966,-93.5973,4,5.746529387,105.0281415,6.86,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-02T04:30:00Z,27.8966,-93.5973,4,5.54862145,111.5716777,6.57,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-02T05:00:00Z,27.8966,-93.5973,4,4.9979996,123.2452804,5.81,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-02T05:30:00Z,27.8966,-93.5973,4,7.593681584,110.3444746,8.99,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-02T06:00:00Z,27.8966,-93.5973,4,6.812811461,124.7167691,8.14,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-02T06:30:00Z,27.8966,-93.5973,4,4.218554255,108.0917287,5.03,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-02T07:00:00Z,27.8966,-93.5973,4,6.220554638,109.0470007,7.42,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-02T07:30:00Z,27.8966,-93.5973,4,6.488335688,111.4246241,7.73,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-02T08:00:00Z,27.8966,-93.5973,4,5.962725887,119.1016224,6.95,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-02T08:30:00Z,27.8966,-93.5973,4,5.708003153,126.8100057,6.95,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-02T09:00:00Z,27.8966,-93.5973,4,5.750521715,129.1425187,6.74,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-02T09:30:00Z,27.8966,-93.5973,4,4.334466519,169.3643398,7.93,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-02T10:00:00Z,27.8966,-93.5973,4,3.600013889,213.557775,4.45,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-02T10:30:00Z,27.8966,-93.5973,4,1.686475615,152.0676806,2.85,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-02T11:00:00Z,27.8966,-93.5973,4,3.582680561,137.9417738,5.65,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-02T11:30:00Z,27.8966,-93.5973,4,4.981244824,119.8593673,6.15,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-02T12:00:00Z,27.8966,-93.5973,4,3.127459033,137.073461,4.01,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-02T12:30:00Z,27.8966,-93.5973,4,2.963848849,166.3390887,3.91,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-02T13:00:00Z,27.8966,-93.5973,4,3.40812265,205.7381545,4.29,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-02T13:30:00Z,27.8966,-93.5973,4,4.018855558,204.3969123,5.01,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-02T14:00:00Z,27.8966,-93.5973,4,5.236764268,209.8943,6.24,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-02T14:30:00Z,27.8966,-93.5973,4,5.443418044,210.7111744,6.27,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-02T15:00:00Z,27.8966,-93.5973,4,6.174026239,216.7029797,7.09,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-02T15:30:00Z,27.8966,-93.5973,4,6.292002861,216.9246585,7.4,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-02T16:00:00Z,27.8966,-93.5973,4,5.374030145,225.1508829,6.26,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-02T16:30:00Z,27.8966,-93.5973,4,5.758376507,221.6914934,6.91,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-02T17:00:00Z,27.8966,-93.5973,4,7.916470173,205.7559928,9.19,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-02T17:30:00Z,27.8966,-93.5973,4,6.590174505,213.111475,7.6,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-02T18:00:00Z,27.8966,-93.5973,4,5.619412781,215.5852157,6.46,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-02T18:30:00Z,27.8966,-93.5973,4,6.33025276,214.7697002,7.39,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-02T19:00:00Z,27.8966,-93.5973,4,4.239339571,253.2749043,5.32,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-02T19:30:00Z,27.8966,-93.5973,4,3.492806894,267.702839,4.42,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-02T20:00:00Z,27.8966,-93.5973,4,2.360444873,262.453495,3.44,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-02T20:30:00Z,27.8966,-93.5973,4,4.007056276,296.3731517,4.81,'11111222
TABS,ioos:station:wmo:42047:1,2017-08-02T21:00:00Z,27.8966,-93.5973,4,2.549078265,284.3087854,3.33,'11111222
