owner,sensor,date,latitude,longitude,vertical_datum,sea_water_practical_salinity,qcFlag 
TABS,ioos:station:wmo:42048:1,2017-09-01T00:00:00Z,27.9396,-96.8429,2.0,32.7484,11111222 
TABS,ioos:station:wmo:42048:1,2017-09-01T00:30:00Z,27.9396,-96.8429,2.0,32.7665,11111222 
TABS,ioos:station:wmo:42048:1,2017-09-01T01:00:00Z,27.9396,-96.8429,2.0,32.8023,11111222 
TABS,ioos:station:wmo:42048:1,2017-09-01T01:30:00Z,27.9396,-96.8429,2.0,32.7652,11111222 
TABS,ioos:station:wmo:42048:1,2017-09-01T02:00:00Z,27.9396,-96.8429,2.0,32.7526,11111222 
TABS,ioos:station:wmo:42048:1,2017-09-01T02:30:00Z,27.9396,-96.8429,2.0,32.7742,11111222 
TABS,ioos:station:wmo:42048:1,2017-09-01T03:00:00Z,27.9396,-96.8429,2.0,32.7464,11111222 
TABS,ioos:station:wmo:42048:1,2017-09-01T03:30:00Z,27.9396,-96.8429,2.0,32.7852,11111222 
TABS,ioos:station:wmo:42048:1,2017-09-01T04:00:00Z,27.9396,-96.8429,2.0,32.7841,11111222 
TABS,ioos:station:wmo:42048:1,2017-09-01T04:30:00Z,27.9396,-96.8429,2.0,32.7908,11111222 
TABS,ioos:station:wmo:42048:1,2017-09-01T05:00:00Z,27.9396,-96.8429,2.0,32.8479,11111222 
TABS,ioos:station:wmo:42048:1,2017-09-01T05:30:00Z,27.9396,-96.8429,2.0,32.8909,11111222 
TABS,ioos:station:wmo:42048:1,2017-09-01T06:00:00Z,27.9396,-96.8429,2.0,32.9129,11111222 
TABS,ioos:station:wmo:42048:1,2017-09-01T06:30:00Z,27.9396,-96.8429,2.0,32.9806,11111222 
TABS,ioos:station:wmo:42048:1,2017-09-01T07:00:00Z,27.9396,-96.8429,2.0,33.0268,11111222 
TABS,ioos:station:wmo:42048:1,2017-09-01T07:30:00Z,27.9396,-96.8429,2.0,33.0984,11111222 
TABS,ioos:station:wmo:42048:1,2017-09-01T08:00:00Z,27.9396,-96.8429,2.0,33.1328,11111222 
TABS,ioos:station:wmo:42048:1,2017-09-01T08:30:00Z,27.9396,-96.8429,2.0,33.1592,11111222 
TABS,ioos:station:wmo:42048:1,2017-09-01T09:00:00Z,27.9396,-96.8429,2.0,33.042,11111222 
TABS,ioos:station:wmo:42048:1,2017-09-01T09:30:00Z,27.9396,-96.8429,2.0,33.0318,11111222 
TABS,ioos:station:wmo:42048:1,2017-09-01T10:00:00Z,27.9396,-96.8429,2.0,33.0202,11111222 
TABS,ioos:station:wmo:42048:1,2017-09-01T10:30:00Z,27.9396,-96.8429,2.0,33.0806,11111222 
TABS,ioos:station:wmo:42048:1,2017-09-01T11:00:00Z,27.9396,-96.8429,2.0,33.0156,11111222 
TABS,ioos:station:wmo:42048:1,2017-09-01T11:30:00Z,27.9396,-96.8429,2.0,33.0379,11111222 
TABS,ioos:station:wmo:42048:1,2017-09-01T12:00:00Z,27.9396,-96.8429,2.0,33.0477,11111222 
TABS,ioos:station:wmo:42048:1,2017-09-01T12:30:00Z,27.9396,-96.8429,2.0,33.0481,11111222 
TABS,ioos:station:wmo:42048:1,2017-09-01T13:00:00Z,27.9396,-96.8429,2.0,33.0363,11111222 
TABS,ioos:station:wmo:42048:1,2017-09-01T13:30:00Z,27.9396,-96.8429,2.0,32.4455,11111222 
TABS,ioos:station:wmo:42048:1,2017-09-01T14:00:00Z,27.9396,-96.8429,2.0,32.7442,11111222 
TABS,ioos:station:wmo:42048:1,2017-09-01T14:30:00Z,27.9396,-96.8429,2.0,32.8622,11111222 
TABS,ioos:station:wmo:42048:1,2017-09-01T15:00:00Z,27.9396,-96.8429,2.0,33.0675,11111222 
TABS,ioos:station:wmo:42048:1,2017-09-01T15:30:00Z,27.9396,-96.8429,2.0,33.1362,11111222 
TABS,ioos:station:wmo:42048:1,2017-09-01T16:00:00Z,27.9396,-96.8429,2.0,33.1857,11111222 
TABS,ioos:station:wmo:42048:1,2017-09-01T16:30:00Z,27.9396,-96.8429,2.0,33.1916,11111222 
TABS,ioos:station:wmo:42048:1,2017-09-01T17:00:00Z,27.9396,-96.8429,2.0,33.2382,11111222 
TABS,ioos:station:wmo:42048:1,2017-09-01T17:30:00Z,27.9396,-96.8429,2.0,33.2689,11111222 
TABS,ioos:station:wmo:42048:1,2017-09-01T18:00:00Z,27.9396,-96.8429,2.0,33.2973,11111222 
TABS,ioos:station:wmo:42048:1,2017-09-01T18:30:00Z,27.9396,-96.8429,2.0,33.248,11111222 
TABS,ioos:station:wmo:42048:1,2017-09-01T19:00:00Z,27.9396,-96.8429,2.0,33.33,11111222 
TABS,ioos:station:wmo:42048:1,2017-09-01T19:30:00Z,27.9396,-96.8429,2.0,33.3593,11111222 
TABS,ioos:station:wmo:42048:1,2017-09-01T20:00:00Z,27.9396,-96.8429,2.0,33.3503,11111222 
TABS,ioos:station:wmo:42048:1,2017-09-01T20:30:00Z,27.9396,-96.8429,2.0,33.3844,11111222 
TABS,ioos:station:wmo:42048:1,2017-09-01T21:00:00Z,27.9396,-96.8429,2.0,33.2442,11111222 
TABS,ioos:station:wmo:42048:1,2017-09-01T21:30:00Z,27.9396,-96.8429,2.0,33.2577,11111222 
