owner,sensor,date,latitude,longitude,vertical_datum,sea_water_temperature,qcFlag 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-08-01T00:42:00Z,29.2675,-91.3839,0.0,30.2,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-08-01T01:42:00Z,29.2675,-91.3839,0.0,30.3,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-08-01T01:48:00Z,29.2675,-91.3839,0.0,30.3,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-08-01T02:42:00Z,29.2675,-91.3839,0.0,30.0,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-08-01T02:48:00Z,29.2675,-91.3839,0.0,29.9,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-08-01T02:54:00Z,29.2675,-91.3839,0.0,29.9,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-08-01T03:42:00Z,29.2675,-91.3839,0.0,29.9,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-08-01T03:48:00Z,29.2675,-91.3839,0.0,29.9,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-08-01T03:54:00Z,29.2675,-91.3839,0.0,29.9,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-08-01T04:42:00Z,29.2675,-91.3839,0.0,29.8,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-08-01T04:48:00Z,29.2675,-91.3839,0.0,29.7,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-08-01T04:54:00Z,29.2675,-91.3839,0.0,29.6,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-08-01T05:42:00Z,29.2675,-91.3839,0.0,29.4,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-08-01T05:48:00Z,29.2675,-91.3839,0.0,29.3,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-08-01T05:54:00Z,29.2675,-91.3839,0.0,29.3,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-08-01T06:42:00Z,29.2675,-91.3839,0.0,29.3,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-08-01T06:48:00Z,29.2675,-91.3839,0.0,29.3,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-08-01T06:54:00Z,29.2675,-91.3839,0.0,29.2,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-08-01T07:42:00Z,29.2675,-91.3839,0.0,29.3,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-08-01T07:48:00Z,29.2675,-91.3839,0.0,29.4,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2017-08-01T07:54:00Z,29.2675,-91.3839,0.0,29.3,2 
