owner,sensor,date,latitude,longitude,vertical_datum,sea_water_practical_salinity,qcFlag 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T00:00:00Z,29.6817,-94.9850,1.0,10.09,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T00:42:00Z,29.6817,-94.9850,1.0,9.82,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T00:48:00Z,29.6817,-94.9850,1.0,9.8,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T00:54:00Z,29.6817,-94.9850,1.0,9.8,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T01:00:00Z,29.6817,-94.9850,1.0,9.71,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T01:42:00Z,29.6817,-94.9850,1.0,9.53,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T01:48:00Z,29.6817,-94.9850,1.0,9.61,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T01:54:00Z,29.6817,-94.9850,1.0,9.59,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T02:00:00Z,29.6817,-94.9850,1.0,9.57,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T02:42:00Z,29.6817,-94.9850,1.0,9.45,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T02:48:00Z,29.6817,-94.9850,1.0,9.42,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T02:54:00Z,29.6817,-94.9850,1.0,9.38,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T03:00:00Z,29.6817,-94.9850,1.0,9.39,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T03:42:00Z,29.6817,-94.9850,1.0,9.44,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T03:48:00Z,29.6817,-94.9850,1.0,9.41,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T03:54:00Z,29.6817,-94.9850,1.0,9.43,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T04:00:00Z,29.6817,-94.9850,1.0,9.44,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T04:42:00Z,29.6817,-94.9850,1.0,9.35,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T04:48:00Z,29.6817,-94.9850,1.0,9.34,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T04:54:00Z,29.6817,-94.9850,1.0,9.37,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T05:00:00Z,29.6817,-94.9850,1.0,9.37,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T05:42:00Z,29.6817,-94.9850,1.0,9.44,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T05:48:00Z,29.6817,-94.9850,1.0,9.45,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T05:54:00Z,29.6817,-94.9850,1.0,9.54,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T06:00:00Z,29.6817,-94.9850,1.0,9.49,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T06:42:00Z,29.6817,-94.9850,1.0,9.21,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T06:48:00Z,29.6817,-94.9850,1.0,9.22,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T06:54:00Z,29.6817,-94.9850,1.0,9.19,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T07:00:00Z,29.6817,-94.9850,1.0,9.19,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T07:42:00Z,29.6817,-94.9850,1.0,9.52,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T07:48:00Z,29.6817,-94.9850,1.0,9.51,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T07:54:00Z,29.6817,-94.9850,1.0,9.48,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T08:00:00Z,29.6817,-94.9850,1.0,9.58,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T08:42:00Z,29.6817,-94.9850,1.0,9.48,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T08:48:00Z,29.6817,-94.9850,1.0,9.56,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T08:54:00Z,29.6817,-94.9850,1.0,9.65,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T09:00:00Z,29.6817,-94.9850,1.0,9.7,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T09:42:00Z,29.6817,-94.9850,1.0,9.97,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T09:48:00Z,29.6817,-94.9850,1.0,9.96,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T09:54:00Z,29.6817,-94.9850,1.0,9.94,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T10:00:00Z,29.6817,-94.9850,1.0,9.92,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T10:42:00Z,29.6817,-94.9850,1.0,9.96,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T10:48:00Z,29.6817,-94.9850,1.0,9.95,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T10:54:00Z,29.6817,-94.9850,1.0,9.73,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T11:00:00Z,29.6817,-94.9850,1.0,9.66,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T11:42:00Z,29.6817,-94.9850,1.0,9.92,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T11:48:00Z,29.6817,-94.9850,1.0,9.92,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T11:54:00Z,29.6817,-94.9850,1.0,9.93,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T12:00:00Z,29.6817,-94.9850,1.0,9.87,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T12:42:00Z,29.6817,-94.9850,1.0,9.56,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T12:48:00Z,29.6817,-94.9850,1.0,9.5,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T12:54:00Z,29.6817,-94.9850,1.0,9.45,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T13:00:00Z,29.6817,-94.9850,1.0,9.41,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T13:06:00Z,29.6817,-94.9850,1.0,9.43,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T13:42:00Z,29.6817,-94.9850,1.0,9.38,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T13:48:00Z,29.6817,-94.9850,1.0,9.38,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T13:54:00Z,29.6817,-94.9850,1.0,9.38,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T14:00:00Z,29.6817,-94.9850,1.0,9.4,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T14:42:00Z,29.6817,-94.9850,1.0,9.45,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T14:48:00Z,29.6817,-94.9850,1.0,9.41,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T14:54:00Z,29.6817,-94.9850,1.0,9.39,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T15:00:00Z,29.6817,-94.9850,1.0,9.44,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T15:06:00Z,29.6817,-94.9850,1.0,9.44,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T15:42:00Z,29.6817,-94.9850,1.0,9.46,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T15:48:00Z,29.6817,-94.9850,1.0,9.48,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T15:54:00Z,29.6817,-94.9850,1.0,9.48,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T16:00:00Z,29.6817,-94.9850,1.0,9.44,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T16:42:00Z,29.6817,-94.9850,1.0,9.41,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T16:48:00Z,29.6817,-94.9850,1.0,9.39,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T16:54:00Z,29.6817,-94.9850,1.0,9.39,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T17:00:00Z,29.6817,-94.9850,1.0,9.39,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T17:42:00Z,29.6817,-94.9850,1.0,9.38,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T17:48:00Z,29.6817,-94.9850,1.0,9.37,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T17:54:00Z,29.6817,-94.9850,1.0,9.36,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T18:00:00Z,29.6817,-94.9850,1.0,9.37,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T18:42:00Z,29.6817,-94.9850,1.0,9.36,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T18:48:00Z,29.6817,-94.9850,1.0,9.47,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T18:54:00Z,29.6817,-94.9850,1.0,9.48,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T19:00:00Z,29.6817,-94.9850,1.0,9.36,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T19:42:00Z,29.6817,-94.9850,1.0,9.66,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T19:48:00Z,29.6817,-94.9850,1.0,9.66,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T19:54:00Z,29.6817,-94.9850,1.0,9.55,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T20:00:00Z,29.6817,-94.9850,1.0,9.57,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T20:42:00Z,29.6817,-94.9850,1.0,9.76,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T20:48:00Z,29.6817,-94.9850,1.0,9.75,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T20:54:00Z,29.6817,-94.9850,1.0,9.7,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T21:00:00Z,29.6817,-94.9850,1.0,9.76,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T21:42:00Z,29.6817,-94.9850,1.0,9.74,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T21:48:00Z,29.6817,-94.9850,1.0,9.74,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T21:54:00Z,29.6817,-94.9850,1.0,9.77,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T22:00:00Z,29.6817,-94.9850,1.0,9.78,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T22:42:00Z,29.6817,-94.9850,1.0,9.89,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T22:48:00Z,29.6817,-94.9850,1.0,9.9,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T22:54:00Z,29.6817,-94.9850,1.0,9.89,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T23:00:00Z,29.6817,-94.9850,1.0,9.88,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T23:42:00Z,29.6817,-94.9850,1.0,9.84,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T23:48:00Z,29.6817,-94.9850,1.0,9.83,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01T23:54:00Z,29.6817,-94.9850,1.0,9.82,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T00:00:00Z,29.6817,-94.9850,1.0,9.77,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T00:42:00Z,29.6817,-94.9850,1.0,9.21,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T00:48:00Z,29.6817,-94.9850,1.0,9.21,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T00:54:00Z,29.6817,-94.9850,1.0,9.21,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T01:00:00Z,29.6817,-94.9850,1.0,9.22,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T01:42:00Z,29.6817,-94.9850,1.0,9.15,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T01:48:00Z,29.6817,-94.9850,1.0,9.1,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T01:54:00Z,29.6817,-94.9850,1.0,9.03,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T02:00:00Z,29.6817,-94.9850,1.0,9.01,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T02:06:00Z,29.6817,-94.9850,1.0,9.06,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T02:42:00Z,29.6817,-94.9850,1.0,9.02,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T02:48:00Z,29.6817,-94.9850,1.0,9.04,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T02:54:00Z,29.6817,-94.9850,1.0,9.01,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T03:00:00Z,29.6817,-94.9850,1.0,9.02,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T03:42:00Z,29.6817,-94.9850,1.0,8.76,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T03:48:00Z,29.6817,-94.9850,1.0,8.76,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T03:54:00Z,29.6817,-94.9850,1.0,8.73,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T04:00:00Z,29.6817,-94.9850,1.0,8.7,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T04:42:00Z,29.6817,-94.9850,1.0,8.6,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T04:48:00Z,29.6817,-94.9850,1.0,8.6,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T04:54:00Z,29.6817,-94.9850,1.0,8.6,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T05:00:00Z,29.6817,-94.9850,1.0,8.58,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T05:36:00Z,29.6817,-94.9850,1.0,8.55,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T05:42:00Z,29.6817,-94.9850,1.0,8.55,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T05:48:00Z,29.6817,-94.9850,1.0,8.55,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T05:54:00Z,29.6817,-94.9850,1.0,8.57,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T06:00:00Z,29.6817,-94.9850,1.0,8.55,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T06:42:00Z,29.6817,-94.9850,1.0,8.64,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T06:48:00Z,29.6817,-94.9850,1.0,8.62,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T06:54:00Z,29.6817,-94.9850,1.0,8.61,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T07:00:00Z,29.6817,-94.9850,1.0,8.64,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T07:42:00Z,29.6817,-94.9850,1.0,8.65,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T07:48:00Z,29.6817,-94.9850,1.0,8.75,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T07:54:00Z,29.6817,-94.9850,1.0,8.65,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T08:00:00Z,29.6817,-94.9850,1.0,8.65,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T08:06:00Z,29.6817,-94.9850,1.0,8.63,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T08:42:00Z,29.6817,-94.9850,1.0,8.65,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T08:48:00Z,29.6817,-94.9850,1.0,8.66,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T08:54:00Z,29.6817,-94.9850,1.0,8.66,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T09:00:00Z,29.6817,-94.9850,1.0,8.69,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T09:42:00Z,29.6817,-94.9850,1.0,8.76,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T09:48:00Z,29.6817,-94.9850,1.0,9.0,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T09:54:00Z,29.6817,-94.9850,1.0,8.86,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T10:00:00Z,29.6817,-94.9850,1.0,8.87,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T10:42:00Z,29.6817,-94.9850,1.0,9.12,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T10:48:00Z,29.6817,-94.9850,1.0,9.17,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T10:54:00Z,29.6817,-94.9850,1.0,9.17,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T11:00:00Z,29.6817,-94.9850,1.0,9.19,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T11:42:00Z,29.6817,-94.9850,1.0,9.29,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T11:48:00Z,29.6817,-94.9850,1.0,9.32,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T11:54:00Z,29.6817,-94.9850,1.0,9.33,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T12:00:00Z,29.6817,-94.9850,1.0,9.36,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T12:06:00Z,29.6817,-94.9850,1.0,9.13,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T12:42:00Z,29.6817,-94.9850,1.0,9.41,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T12:48:00Z,29.6817,-94.9850,1.0,9.4,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T12:54:00Z,29.6817,-94.9850,1.0,9.38,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T13:00:00Z,29.6817,-94.9850,1.0,9.4,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T13:42:00Z,29.6817,-94.9850,1.0,9.44,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T13:48:00Z,29.6817,-94.9850,1.0,9.47,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T13:54:00Z,29.6817,-94.9850,1.0,9.45,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T14:00:00Z,29.6817,-94.9850,1.0,9.49,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T14:42:00Z,29.6817,-94.9850,1.0,9.51,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T14:48:00Z,29.6817,-94.9850,1.0,9.51,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T14:54:00Z,29.6817,-94.9850,1.0,9.49,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T15:00:00Z,29.6817,-94.9850,1.0,9.47,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T15:42:00Z,29.6817,-94.9850,1.0,9.42,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T15:48:00Z,29.6817,-94.9850,1.0,9.44,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T15:54:00Z,29.6817,-94.9850,1.0,9.41,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T16:00:00Z,29.6817,-94.9850,1.0,9.41,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T16:42:00Z,29.6817,-94.9850,1.0,9.37,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T16:48:00Z,29.6817,-94.9850,1.0,9.38,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T16:54:00Z,29.6817,-94.9850,1.0,9.36,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T17:00:00Z,29.6817,-94.9850,1.0,9.36,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T17:42:00Z,29.6817,-94.9850,1.0,9.37,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T17:48:00Z,29.6817,-94.9850,1.0,9.37,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T17:54:00Z,29.6817,-94.9850,1.0,9.41,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T18:00:00Z,29.6817,-94.9850,1.0,9.38,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T18:42:00Z,29.6817,-94.9850,1.0,9.38,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T18:48:00Z,29.6817,-94.9850,1.0,9.38,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T18:54:00Z,29.6817,-94.9850,1.0,9.36,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-02T19:00:00Z,29.6817,-94.9850,1.0,9.38,1111122 
