owner,sensor,date,latitude,longitude,vertical_datum,wind_speed,wind_to_direction,wind_speed_of_gust,qcFlag 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-06-01T00:42:00Z,29.6817,-94.985,0,2.6,131,3.5,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-06-01T01:42:00Z,29.6817,-94.985,0,2.6,155,4.2,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-06-01T02:42:00Z,29.6817,-94.985,0,3,156,4.3,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-06-01T03:42:00Z,29.6817,-94.985,0,4.2,174,5.4,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-06-01T04:42:00Z,29.6817,-94.985,0,2.8,219,4.6,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-06-01T05:42:00Z,29.6817,-94.985,0,1.3,247,1.7,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-06-01T06:42:00Z,29.6817,-94.985,0,1.7,269,2.1,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-06-01T07:42:00Z,29.6817,-94.985,0,1.5,43,1.9,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-06-01T08:42:00Z,29.6817,-94.985,0,2,19,2.7,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-06-01T09:42:00Z,29.6817,-94.985,0,3.6,43,4.3,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-06-01T10:42:00Z,29.6817,-94.985,0,5.4,46,6.3,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-06-01T11:42:00Z,29.6817,-94.985,0,5.1,81,6.9,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-06-01T12:42:00Z,29.6817,-94.985,0,4,69,5.3,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-06-01T13:42:00Z,29.6817,-94.985,0,5.5,81,6.9,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-06-01T14:42:00Z,29.6817,-94.985,0,6,99,6.9,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-06-01T15:36:00Z,29.6817,-94.985,0,5.9,96,8.2,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-06-01T16:42:00Z,29.6817,-94.985,0,5.9,97,7.2,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-06-01T17:42:00Z,29.6817,-94.985,0,6.6,99,8.2,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-06-01T18:42:00Z,29.6817,-94.985,0,5.3,103,7.1,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-06-01T19:42:00Z,29.6817,-94.985,0,4.2,102,6.6,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-06-01T20:42:00Z,29.6817,-94.985,0,4.7,114,7.1,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-06-01T21:42:00Z,29.6817,-94.985,0,5.4,113,7.4,'1111122
