owner,sensor,date,latitude,longitude,vertical_datum,sea_water_temperature,qcFlag 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T00:42:00Z,29.6817,-94.9850,0.0,24.6,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T00:48:00Z,29.6817,-94.9850,0.0,24.6,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T00:54:00Z,29.6817,-94.9850,0.0,24.6,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T01:42:00Z,29.6817,-94.9850,0.0,24.6,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T01:48:00Z,29.6817,-94.9850,0.0,24.6,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T01:54:00Z,29.6817,-94.9850,0.0,24.6,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T02:42:00Z,29.6817,-94.9850,0.0,24.5,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T02:48:00Z,29.6817,-94.9850,0.0,24.5,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T02:54:00Z,29.6817,-94.9850,0.0,24.5,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T03:42:00Z,29.6817,-94.9850,0.0,24.4,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T03:48:00Z,29.6817,-94.9850,0.0,24.5,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T03:54:00Z,29.6817,-94.9850,0.0,24.5,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T04:42:00Z,29.6817,-94.9850,0.0,24.4,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T04:48:00Z,29.6817,-94.9850,0.0,24.4,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T04:54:00Z,29.6817,-94.9850,0.0,24.4,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T05:42:00Z,29.6817,-94.9850,0.0,24.3,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T05:48:00Z,29.6817,-94.9850,0.0,24.4,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T05:54:00Z,29.6817,-94.9850,0.0,24.4,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T06:42:00Z,29.6817,-94.9850,0.0,24.3,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T06:48:00Z,29.6817,-94.9850,0.0,24.3,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T06:54:00Z,29.6817,-94.9850,0.0,24.3,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T07:42:00Z,29.6817,-94.9850,0.0,24.3,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T07:48:00Z,29.6817,-94.9850,0.0,24.3,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T07:54:00Z,29.6817,-94.9850,0.0,24.3,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T08:42:00Z,29.6817,-94.9850,0.0,24.2,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T08:48:00Z,29.6817,-94.9850,0.0,24.2,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T08:54:00Z,29.6817,-94.9850,0.0,24.2,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T09:42:00Z,29.6817,-94.9850,0.0,24.2,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T09:48:00Z,29.6817,-94.9850,0.0,24.2,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T09:54:00Z,29.6817,-94.9850,0.0,24.2,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T10:42:00Z,29.6817,-94.9850,0.0,24.2,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T10:48:00Z,29.6817,-94.9850,0.0,24.2,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T10:54:00Z,29.6817,-94.9850,0.0,24.2,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T11:42:00Z,29.6817,-94.9850,0.0,24.1,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T11:48:00Z,29.6817,-94.9850,0.0,24.1,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T11:54:00Z,29.6817,-94.9850,0.0,24.1,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T12:42:00Z,29.6817,-94.9850,0.0,24.1,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T12:48:00Z,29.6817,-94.9850,0.0,24.1,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T12:54:00Z,29.6817,-94.9850,0.0,24.1,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T13:42:00Z,29.6817,-94.9850,0.0,24.1,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T13:48:00Z,29.6817,-94.9850,0.0,24.1,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T13:54:00Z,29.6817,-94.9850,0.0,24.1,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T14:42:00Z,29.6817,-94.9850,0.0,24.2,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T14:48:00Z,29.6817,-94.9850,0.0,24.2,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T14:54:00Z,29.6817,-94.9850,0.0,24.2,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T15:42:00Z,29.6817,-94.9850,0.0,24.3,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T15:48:00Z,29.6817,-94.9850,0.0,24.3,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T15:54:00Z,29.6817,-94.9850,0.0,24.3,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T16:42:00Z,29.6817,-94.9850,0.0,24.5,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T16:48:00Z,29.6817,-94.9850,0.0,24.5,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T16:54:00Z,29.6817,-94.9850,0.0,24.5,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T17:42:00Z,29.6817,-94.9850,0.0,24.6,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T17:48:00Z,29.6817,-94.9850,0.0,24.6,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T17:54:00Z,29.6817,-94.9850,0.0,24.6,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T18:42:00Z,29.6817,-94.9850,0.0,24.7,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T18:48:00Z,29.6817,-94.9850,0.0,24.7,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T18:54:00Z,29.6817,-94.9850,0.0,24.7,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T19:42:00Z,29.6817,-94.9850,0.0,24.8,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T19:48:00Z,29.6817,-94.9850,0.0,24.7,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T19:54:00Z,29.6817,-94.9850,0.0,24.7,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T20:42:00Z,29.6817,-94.9850,0.0,24.7,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T20:48:00Z,29.6817,-94.9850,0.0,24.7,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T20:54:00Z,29.6817,-94.9850,0.0,24.7,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T21:42:00Z,29.6817,-94.9850,0.0,24.7,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T21:48:00Z,29.6817,-94.9850,0.0,24.8,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T21:54:00Z,29.6817,-94.9850,0.0,24.8,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T22:42:00Z,29.6817,-94.9850,0.0,24.9,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T22:48:00Z,29.6817,-94.9850,0.0,24.8,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-01T22:54:00Z,29.6817,-94.9850,0.0,24.8,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-02T00:42:00Z,29.6817,-94.9850,0.0,25.1,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-02T00:48:00Z,29.6817,-94.9850,0.0,25.1,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-02T00:54:00Z,29.6817,-94.9850,0.0,25.1,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-02T01:42:00Z,29.6817,-94.9850,0.0,25.0,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-02T01:48:00Z,29.6817,-94.9850,0.0,25.0,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-02T01:54:00Z,29.6817,-94.9850,0.0,25.0,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-02T02:42:00Z,29.6817,-94.9850,0.0,25.1,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-02T02:48:00Z,29.6817,-94.9850,0.0,25.1,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-02T02:54:00Z,29.6817,-94.9850,0.0,25.2,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-02T03:42:00Z,29.6817,-94.9850,0.0,25.2,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-02T03:48:00Z,29.6817,-94.9850,0.0,25.2,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-02T03:54:00Z,29.6817,-94.9850,0.0,25.2,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-02T04:42:00Z,29.6817,-94.9850,0.0,25.2,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-02T04:48:00Z,29.6817,-94.9850,0.0,25.2,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-02T04:54:00Z,29.6817,-94.9850,0.0,25.3,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-02T05:42:00Z,29.6817,-94.9850,0.0,25.3,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-02T05:48:00Z,29.6817,-94.9850,0.0,25.3,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-02T05:54:00Z,29.6817,-94.9850,0.0,25.3,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-02T06:42:00Z,29.6817,-94.9850,0.0,25.3,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-02T06:48:00Z,29.6817,-94.9850,0.0,25.3,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-02T06:54:00Z,29.6817,-94.9850,0.0,25.3,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-02T07:36:00Z,29.6817,-94.9850,0.0,25.2,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-02T07:42:00Z,29.6817,-94.9850,0.0,25.2,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-02T07:48:00Z,29.6817,-94.9850,0.0,25.3,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-02T08:42:00Z,29.6817,-94.9850,0.0,25.2,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-02T08:48:00Z,29.6817,-94.9850,0.0,25.2,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-02T08:54:00Z,29.6817,-94.9850,0.0,25.2,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-02T09:42:00Z,29.6817,-94.9850,0.0,25.2,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-02T09:48:00Z,29.6817,-94.9850,0.0,25.2,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-02T10:42:00Z,29.6817,-94.9850,0.0,25.2,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-02T10:48:00Z,29.6817,-94.9850,0.0,25.2,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-02T10:54:00Z,29.6817,-94.9850,0.0,25.2,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-02T11:42:00Z,29.6817,-94.9850,0.0,25.2,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-02T11:48:00Z,29.6817,-94.9850,0.0,25.2,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-02T11:54:00Z,29.6817,-94.9850,0.0,25.2,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-02T12:42:00Z,29.6817,-94.9850,0.0,25.1,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-02T12:48:00Z,29.6817,-94.9850,0.0,25.1,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-02T12:54:00Z,29.6817,-94.9850,0.0,25.1,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-02T13:42:00Z,29.6817,-94.9850,0.0,25.1,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-02T13:48:00Z,29.6817,-94.9850,0.0,25.1,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-02T13:54:00Z,29.6817,-94.9850,0.0,25.1,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-02T14:42:00Z,29.6817,-94.9850,0.0,25.1,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-02T14:48:00Z,29.6817,-94.9850,0.0,25.1,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-02T14:54:00Z,29.6817,-94.9850,0.0,25.1,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-02T15:42:00Z,29.6817,-94.9850,0.0,25.1,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-02T15:48:00Z,29.6817,-94.9850,0.0,25.1,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-02T15:54:00Z,29.6817,-94.9850,0.0,25.2,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-02T16:42:00Z,29.6817,-94.9850,0.0,25.2,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-02T16:48:00Z,29.6817,-94.9850,0.0,25.2,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-02T16:54:00Z,29.6817,-94.9850,0.0,25.2,2 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-09-02T17:42:00Z,29.6817,-94.9850,0.0,25.3,2 
