owner,sensor,date,latitude,longitude,air_pressure(mBar),qcFlag 
TABS,ioos:station:TABS:X:1,2017-07-01T00:00:00Z,27.0660,-96.3383,1013.39,11111222 
TABS,ioos:station:TABS:X:1,2017-07-01T00:30:00Z,27.0660,-96.3383,1013.32,11111222 
TABS,ioos:station:TABS:X:1,2017-07-01T01:00:00Z,27.0660,-96.3383,1013.53,11111222 
TABS,ioos:station:TABS:X:1,2017-07-01T01:30:00Z,27.0660,-96.3383,1013.4,11111222 
TABS,ioos:station:TABS:X:1,2017-07-01T02:00:00Z,27.0660,-96.3383,1013.9,11111222 
TABS,ioos:station:TABS:X:1,2017-07-01T02:30:00Z,27.0660,-96.3383,1014.06,11111222 
TABS,ioos:station:TABS:X:1,2017-07-01T03:00:00Z,27.0660,-96.3383,1014.13,11111222 
TABS,ioos:station:TABS:X:1,2017-07-01T03:30:00Z,27.0660,-96.3383,1014.53,11111222 
TABS,ioos:station:TABS:X:1,2017-07-01T04:00:00Z,27.0660,-96.3383,1014.48,11111222 
TABS,ioos:station:TABS:X:1,2017-07-01T04:30:00Z,27.0660,-96.3383,1014.39,11111222 
TABS,ioos:station:TABS:X:1,2017-07-01T05:00:00Z,27.0660,-96.3383,1014.78,11111222 
TABS,ioos:station:TABS:X:1,2017-07-01T05:30:00Z,27.0660,-96.3383,1014.86,11111222 
TABS,ioos:station:TABS:X:1,2017-07-01T06:00:00Z,27.0660,-96.3383,1014.93,11111222 
TABS,ioos:station:TABS:X:1,2017-07-01T06:30:00Z,27.0660,-96.3383,1015.07,11111222 
TABS,ioos:station:TABS:X:1,2017-07-01T07:00:00Z,27.0660,-96.3383,1014.5,11111222 
TABS,ioos:station:TABS:X:1,2017-07-01T07:30:00Z,27.0660,-96.3383,1014.46,11111222 
TABS,ioos:station:TABS:X:1,2017-07-01T08:00:00Z,27.0660,-96.3383,1014.22,11111222 
TABS,ioos:station:TABS:X:1,2017-07-01T08:30:00Z,27.0660,-96.3383,1014.38,11111222 
TABS,ioos:station:TABS:X:1,2017-07-01T09:00:00Z,27.0660,-96.3383,1014.32,11111222 
TABS,ioos:station:TABS:X:1,2017-07-01T09:30:00Z,27.0660,-96.3383,1014.62,11111222 
TABS,ioos:station:TABS:X:1,2017-07-01T10:00:00Z,27.0660,-96.3383,1014.81,11111222 
TABS,ioos:station:TABS:X:1,2017-07-01T10:30:00Z,27.0660,-96.3383,1014.9,11111222 
