owner,sensor,date,latitude,longitude,vertical_datum,sea_water_practical_salinity,qcFlag 
TABS,ioos:station:TABS:X:1,2017-06-01T00:00:00Z,27.0660,-96.3383,2.0,34.69,11111222 
TABS,ioos:station:TABS:X:1,2017-06-01T00:30:00Z,27.0660,-96.3383,2.0,34.71,11111222 
TABS,ioos:station:TABS:X:1,2017-06-01T01:00:00Z,27.0660,-96.3383,2.0,34.71,11111222 
TABS,ioos:station:TABS:X:1,2017-06-01T01:30:00Z,27.0660,-96.3383,2.0,34.72,11111222 
TABS,ioos:station:TABS:X:1,2017-06-01T02:00:00Z,27.0660,-96.3383,2.0,34.73,11111222 
TABS,ioos:station:TABS:X:1,2017-06-01T02:30:00Z,27.0660,-96.3383,2.0,34.74,11111222 
TABS,ioos:station:TABS:X:1,2017-06-01T03:00:00Z,27.0660,-96.3383,2.0,34.74,11111222 
TABS,ioos:station:TABS:X:1,2017-06-01T03:30:00Z,27.0660,-96.3383,2.0,34.74,11111222 
TABS,ioos:station:TABS:X:1,2017-06-01T04:00:00Z,27.0660,-96.3383,2.0,34.74,11111222 
TABS,ioos:station:TABS:X:1,2017-06-01T04:30:00Z,27.0660,-96.3383,2.0,34.74,11111222 
TABS,ioos:station:TABS:X:1,2017-06-01T05:00:00Z,27.0660,-96.3383,2.0,34.75,11111222 
TABS,ioos:station:TABS:X:1,2017-06-01T05:30:00Z,27.0660,-96.3383,2.0,34.77,11111222 
TABS,ioos:station:TABS:X:1,2017-06-01T06:00:00Z,27.0660,-96.3383,2.0,34.8,11111222 
TABS,ioos:station:TABS:X:1,2017-06-01T06:30:00Z,27.0660,-96.3383,2.0,34.82,11111222 
TABS,ioos:station:TABS:X:1,2017-06-01T07:00:00Z,27.0660,-96.3383,2.0,34.81,11111222 
TABS,ioos:station:TABS:X:1,2017-06-01T07:30:00Z,27.0660,-96.3383,2.0,34.83,11111222 
TABS,ioos:station:TABS:X:1,2017-06-01T08:00:00Z,27.0660,-96.3383,2.0,34.85,11111222 
TABS,ioos:station:TABS:X:1,2017-06-01T08:30:00Z,27.0660,-96.3383,2.0,34.9,11111222 
TABS,ioos:station:TABS:X:1,2017-06-01T09:00:00Z,27.0660,-96.3383,2.0,34.94,11111222 
TABS,ioos:station:TABS:X:1,2017-06-01T09:30:00Z,27.0660,-96.3383,2.0,34.95,11111222 
TABS,ioos:station:TABS:X:1,2017-06-01T10:00:00Z,27.0660,-96.3383,2.0,34.97,11111222 
TABS,ioos:station:TABS:X:1,2017-06-01T10:30:00Z,27.0660,-96.3383,2.0,35.0,11111222 
TABS,ioos:station:TABS:X:1,2017-06-01T11:00:00Z,27.0660,-96.3383,2.0,35.02,11111222 
TABS,ioos:station:TABS:X:1,2017-06-01T11:30:00Z,27.0660,-96.3383,2.0,35.04,11111222 
TABS,ioos:station:TABS:X:1,2017-06-01T12:00:00Z,27.0660,-96.3383,2.0,35.05,11111222 
TABS,ioos:station:TABS:X:1,2017-06-01T12:30:00Z,27.0660,-96.3383,2.0,35.03,11111222 
TABS,ioos:station:TABS:X:1,2017-06-01T13:00:00Z,27.0660,-96.3383,2.0,35.04,11111222 
TABS,ioos:station:TABS:X:1,2017-06-01T13:30:00Z,27.0660,-96.3383,2.0,35.04,11111222 
TABS,ioos:station:TABS:X:1,2017-06-01T14:00:00Z,27.0660,-96.3383,2.0,35.04,11111222 
TABS,ioos:station:TABS:X:1,2017-06-01T14:30:00Z,27.0660,-96.3383,2.0,35.03,11111222 
TABS,ioos:station:TABS:X:1,2017-06-01T15:00:00Z,27.0660,-96.3383,2.0,35.03,11111222 
TABS,ioos:station:TABS:X:1,2017-06-01T15:30:00Z,27.0660,-96.3383,2.0,35.03,11111222 
TABS,ioos:station:TABS:X:1,2017-06-01T16:00:00Z,27.0660,-96.3383,2.0,35.02,11111222 
TABS,ioos:station:TABS:X:1,2017-06-01T16:30:00Z,27.0660,-96.3383,2.0,35.01,11111222 
TABS,ioos:station:TABS:X:1,2017-06-01T17:00:00Z,27.0660,-96.3383,2.0,35.01,11111222 
TABS,ioos:station:TABS:X:1,2017-06-01T17:30:00Z,27.0660,-96.3383,2.0,35.01,11111222 
TABS,ioos:station:TABS:X:1,2017-06-01T18:00:00Z,27.0660,-96.3383,2.0,35.0,11111222 
TABS,ioos:station:TABS:X:1,2017-06-01T18:30:00Z,27.0660,-96.3383,2.0,34.99,11111222 
TABS,ioos:station:TABS:X:1,2017-06-01T19:00:00Z,27.0660,-96.3383,2.0,34.99,11111222 
TABS,ioos:station:TABS:X:1,2017-06-01T19:30:00Z,27.0660,-96.3383,2.0,34.99,11111222 
TABS,ioos:station:TABS:X:1,2017-06-01T20:00:00Z,27.0660,-96.3383,2.0,35.0,11111222 
TABS,ioos:station:TABS:X:1,2017-06-01T20:30:00Z,27.0660,-96.3383,2.0,34.98,11111222 
TABS,ioos:station:TABS:X:1,2017-06-01T21:00:00Z,27.0660,-96.3383,2.0,34.97,11111222 
TABS,ioos:station:TABS:X:1,2017-06-01T21:30:00Z,27.0660,-96.3383,2.0,34.95,11111222 
TABS,ioos:station:TABS:X:1,2017-06-01T22:00:00Z,27.0660,-96.3383,2.0,34.97,11111222 
TABS,ioos:station:TABS:X:1,2017-06-01T22:30:00Z,27.0660,-96.3383,2.0,34.95,11111222 
TABS,ioos:station:TABS:X:1,2017-06-01T23:00:00Z,27.0660,-96.3383,2.0,34.95,11111222 
TABS,ioos:station:TABS:X:1,2017-06-01T23:30:00Z,27.0660,-96.3383,2.0,34.95,11111222 
TABS,ioos:station:TABS:X:1,2017-06-02T00:00:00Z,27.0660,-96.3383,2.0,34.95,11111222 
TABS,ioos:station:TABS:X:1,2017-06-02T00:30:00Z,27.0660,-96.3383,2.0,34.94,11111222 
TABS,ioos:station:TABS:X:1,2017-06-02T01:00:00Z,27.0660,-96.3383,2.0,34.95,11111222 
TABS,ioos:station:TABS:X:1,2017-06-02T01:30:00Z,27.0660,-96.3383,2.0,34.95,11111222 
TABS,ioos:station:TABS:X:1,2017-06-02T02:00:00Z,27.0660,-96.3383,2.0,34.96,11111222 
TABS,ioos:station:TABS:X:1,2017-06-02T02:30:00Z,27.0660,-96.3383,2.0,34.98,11111222 
TABS,ioos:station:TABS:X:1,2017-06-02T03:00:00Z,27.0660,-96.3383,2.0,34.97,11111222 
TABS,ioos:station:TABS:X:1,2017-06-02T03:30:00Z,27.0660,-96.3383,2.0,34.98,11111222 
TABS,ioos:station:TABS:X:1,2017-06-02T04:00:00Z,27.0660,-96.3383,2.0,35.01,11111222 
TABS,ioos:station:TABS:X:1,2017-06-02T04:30:00Z,27.0660,-96.3383,2.0,35.01,11111222 
TABS,ioos:station:TABS:X:1,2017-06-02T05:00:00Z,27.0660,-96.3383,2.0,35.04,11111222 
TABS,ioos:station:TABS:X:1,2017-06-02T05:30:00Z,27.0660,-96.3383,2.0,35.05,11111222 
TABS,ioos:station:TABS:X:1,2017-06-02T06:00:00Z,27.0660,-96.3383,2.0,35.07,11111222 
TABS,ioos:station:TABS:X:1,2017-06-02T06:30:00Z,27.0660,-96.3383,2.0,35.07,11111222 
TABS,ioos:station:TABS:X:1,2017-06-02T07:00:00Z,27.0660,-96.3383,2.0,35.07,11111222 
TABS,ioos:station:TABS:X:1,2017-06-02T07:30:00Z,27.0660,-96.3383,2.0,35.08,11111222 
TABS,ioos:station:TABS:X:1,2017-06-02T08:00:00Z,27.0660,-96.3383,2.0,35.08,11111222 
TABS,ioos:station:TABS:X:1,2017-06-02T08:30:00Z,27.0660,-96.3383,2.0,35.09,11111222 
TABS,ioos:station:TABS:X:1,2017-06-02T09:00:00Z,27.0660,-96.3383,2.0,35.1,11111222 
TABS,ioos:station:TABS:X:1,2017-06-02T09:30:00Z,27.0660,-96.3383,2.0,35.12,11111222 
TABS,ioos:station:TABS:X:1,2017-06-02T10:00:00Z,27.0660,-96.3383,2.0,35.13,11111222 
TABS,ioos:station:TABS:X:1,2017-06-02T10:30:00Z,27.0660,-96.3383,2.0,35.14,11111222 
TABS,ioos:station:TABS:X:1,2017-06-02T11:00:00Z,27.0660,-96.3383,2.0,35.16,11111222 
TABS,ioos:station:TABS:X:1,2017-06-02T11:30:00Z,27.0660,-96.3383,2.0,35.15,11111222 
TABS,ioos:station:TABS:X:1,2017-06-02T12:00:00Z,27.0660,-96.3383,2.0,35.15,11111222 
TABS,ioos:station:TABS:X:1,2017-06-02T12:30:00Z,27.0660,-96.3383,2.0,35.14,11111222 
TABS,ioos:station:TABS:X:1,2017-06-02T13:00:00Z,27.0660,-96.3383,2.0,35.13,11111222 
TABS,ioos:station:TABS:X:1,2017-06-02T13:30:00Z,27.0660,-96.3383,2.0,35.13,11111222 
TABS,ioos:station:TABS:X:1,2017-06-02T14:00:00Z,27.0660,-96.3383,2.0,35.12,11111222 
TABS,ioos:station:TABS:X:1,2017-06-02T14:30:00Z,27.0660,-96.3383,2.0,35.12,11111222 
TABS,ioos:station:TABS:X:1,2017-06-02T15:00:00Z,27.0660,-96.3383,2.0,35.13,11111222 
TABS,ioos:station:TABS:X:1,2017-06-02T15:30:00Z,27.0660,-96.3383,2.0,35.13,11111222 
TABS,ioos:station:TABS:X:1,2017-06-02T16:00:00Z,27.0660,-96.3383,2.0,35.13,11111222 
TABS,ioos:station:TABS:X:1,2017-06-02T16:30:00Z,27.0660,-96.3383,2.0,35.12,11111222 
TABS,ioos:station:TABS:X:1,2017-06-02T17:00:00Z,27.0660,-96.3383,2.0,35.11,11111222 
TABS,ioos:station:TABS:X:1,2017-06-02T17:30:00Z,27.0660,-96.3383,2.0,35.12,11111222 
TABS,ioos:station:TABS:X:1,2017-06-02T18:00:00Z,27.0660,-96.3383,2.0,35.16,11111222 
TABS,ioos:station:TABS:X:1,2017-06-02T18:30:00Z,27.0660,-96.3383,2.0,35.12,11111222 
TABS,ioos:station:TABS:X:1,2017-06-02T19:00:00Z,27.0660,-96.3383,2.0,35.06,11111222 
TABS,ioos:station:TABS:X:1,2017-06-02T19:30:00Z,27.0660,-96.3383,2.0,35.09,11111222 
TABS,ioos:station:TABS:X:1,2017-06-02T20:00:00Z,27.0660,-96.3383,2.0,35.12,11111222 
TABS,ioos:station:TABS:X:1,2017-06-02T20:30:00Z,27.0660,-96.3383,2.0,35.03,11111222 
