owner,sensor,date,latitude,longitude,vertical_datum,wind_speed,wind_to_direction,wind_speed_of_gust,qcFlag 
TABS,ioos:station:TABS:X:1,2017-06-01T00:00:00Z,27.066,-96.3383,4,8.178000978,154.9706779,9.29,'11111222
TABS,ioos:station:TABS:X:1,2017-06-01T00:30:00Z,27.066,-96.3383,4,8.08566633,153.2450817,9,'11111222
TABS,ioos:station:TABS:X:1,2017-06-01T01:00:00Z,27.066,-96.3383,4,7.68400937,152.5681824,8.67,'11111222
TABS,ioos:station:TABS:X:1,2017-06-01T01:30:00Z,27.066,-96.3383,4,8.130885561,152.7734199,9.17,'11111222
TABS,ioos:station:TABS:X:1,2017-06-01T02:00:00Z,27.066,-96.3383,4,6.620483366,156.6880376,7.32,'11111222
TABS,ioos:station:TABS:X:1,2017-06-01T02:30:00Z,27.066,-96.3383,4,5.462600113,150.6196713,6.25,'11111222
TABS,ioos:station:TABS:X:1,2017-06-01T03:00:00Z,27.066,-96.3383,4,4.551593128,149.2092331,5.22,'11111222
TABS,ioos:station:TABS:X:1,2017-06-01T03:30:00Z,27.066,-96.3383,4,5.448678739,148.5856728,6.4,'11111222
TABS,ioos:station:TABS:X:1,2017-06-01T04:00:00Z,27.066,-96.3383,4,5.761249864,144.3238857,6.46,'11111222
TABS,ioos:station:TABS:X:1,2017-06-01T04:30:00Z,27.066,-96.3383,4,5.798353214,142.4979788,7.25,'11111222
TABS,ioos:station:TABS:X:1,2017-06-01T05:00:00Z,27.066,-96.3383,4,5.481505268,145.1795334,6.43,'11111222
TABS,ioos:station:TABS:X:1,2017-06-01T05:30:00Z,27.066,-96.3383,4,5.899711857,147.0374899,6.76,'11111222
TABS,ioos:station:TABS:X:1,2017-06-01T06:00:00Z,27.066,-96.3383,4,5.350934498,156.3095765,6.27,'11111222
TABS,ioos:station:TABS:X:1,2017-06-01T06:30:00Z,27.066,-96.3383,4,5.286548969,154.2107496,5.91,'11111222
TABS,ioos:station:TABS:X:1,2017-06-01T07:00:00Z,27.066,-96.3383,4,5.050881111,145.6495104,5.69,'11111222
TABS,ioos:station:TABS:X:1,2017-06-01T07:30:00Z,27.066,-96.3383,4,5.211765536,139.2797692,6.3,'11111222
TABS,ioos:station:TABS:X:1,2017-06-01T08:00:00Z,27.066,-96.3383,4,5.487667993,129.8994755,6.3,'11111222
TABS,ioos:station:TABS:X:1,2017-06-01T08:30:00Z,27.066,-96.3383,4,5.922237753,129.0378736,6.76,'11111222
TABS,ioos:station:TABS:X:1,2017-06-01T09:00:00Z,27.066,-96.3383,4,6.079514783,130.3971767,7.55,'11111222
TABS,ioos:station:TABS:X:1,2017-06-01T09:30:00Z,27.066,-96.3383,4,6.627955944,131.9425572,7.77,'11111222
TABS,ioos:station:TABS:X:1,2017-06-01T10:00:00Z,27.066,-96.3383,4,6.866039615,135.1773357,7.73,'11111222
TABS,ioos:station:TABS:X:1,2017-06-01T10:30:00Z,27.066,-96.3383,4,6.137263234,131.1686852,7.05,'11111222
TABS,ioos:station:TABS:X:1,2017-06-01T11:00:00Z,27.066,-96.3383,4,6.111448274,129.2897359,7.23,'11111222
TABS,ioos:station:TABS:X:1,2017-06-01T11:30:00Z,27.066,-96.3383,4,5.614267539,130.9558396,6.55,'11111222
TABS,ioos:station:TABS:X:1,2017-06-01T12:00:00Z,27.066,-96.3383,4,5.654166605,129.5464096,6.76,'11111222
TABS,ioos:station:TABS:X:1,2017-06-01T12:30:00Z,27.066,-96.3383,4,5.622259332,126.3199176,6.66,'11111222
TABS,ioos:station:TABS:X:1,2017-06-01T13:00:00Z,27.066,-96.3383,4,5.832752352,132.3599115,6.87,'11111222
TABS,ioos:station:TABS:X:1,2017-06-01T13:30:00Z,27.066,-96.3383,4,5.816743075,129.6293336,6.94,'11111222
TABS,ioos:station:TABS:X:1,2017-06-01T14:00:00Z,27.066,-96.3383,4,5.53675898,135.3661833,6.37,'11111222
TABS,ioos:station:TABS:X:1,2017-06-01T14:30:00Z,27.066,-96.3383,4,5.133546532,141.7239685,6.1,'11111222
TABS,ioos:station:TABS:X:1,2017-06-01T15:00:00Z,27.066,-96.3383,4,5.131403317,150.5877845,6.22,'11111222
TABS,ioos:station:TABS:X:1,2017-06-01T15:30:00Z,27.066,-96.3383,4,4.903162245,156.3106684,5.96,'11111222
TABS,ioos:station:TABS:X:1,2017-06-01T16:00:00Z,27.066,-96.3383,4,4.966135318,159.1201311,5.6,'11111222
