network,platform,latitude,longitude,date,sea_water_turbidity,qcFlag 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-01T00:45:00Z,22.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-01T00:45:00Z,8.0,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-01T01:45:00Z,29.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-01T01:45:00Z,8.0,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-01T02:45:00Z,32.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-01T02:45:00Z,7.0,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-01T03:45:00Z,24.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-01T03:45:00Z,5.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-01T04:00:00Z,3.47,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-01T04:00:00Z,3.04,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-01T04:00:00Z,5.31,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-01T04:00:00Z,2.08,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-01T04:45:00Z,18.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-01T04:45:00Z,4.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-01T05:00:00Z,4.5,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-01T05:00:00Z,3.79,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-01T05:00:00Z,6.9,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-01T05:00:00Z,2.54,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-01T05:45:00Z,19.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-01T05:45:00Z,4.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-01T06:00:00Z,3.98,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-01T06:00:00Z,3.14,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-01T06:00:00Z,4.8,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-01T06:00:00Z,2.2,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-01T06:45:00Z,19.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-01T06:45:00Z,3.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-01T07:00:00Z,3.85,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-01T07:00:00Z,1.77,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-01T07:00:00Z,5.63,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-01T07:00:00Z,1.88,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-01T07:45:00Z,21.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-01T07:45:00Z,3.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-01T08:00:00Z,3.26,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-01T08:00:00Z,1.97,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-01T08:00:00Z,5.56,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-01T08:00:00Z,1.82,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-01T08:45:00Z,21.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-01T08:45:00Z,3.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-01T09:00:00Z,3.03,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-01T09:00:00Z,2.4,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-01T09:00:00Z,4.78,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-01T09:00:00Z,2.02,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-01T09:45:00Z,24.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-01T09:45:00Z,2.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-01T10:00:00Z,3.49,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-01T10:00:00Z,2.2,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-01T10:00:00Z,5.57,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-01T10:00:00Z,2.36,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-01T10:45:00Z,25.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-01T10:45:00Z,4.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-01T11:00:00Z,2.64,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-01T11:00:00Z,1.97,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-01T11:00:00Z,5.19,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-01T11:00:00Z,2.05,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-01T11:45:00Z,19.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-01T11:45:00Z,4.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-01T12:00:00Z,2.76,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-01T12:00:00Z,1.75,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-01T12:00:00Z,5.43,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-01T12:00:00Z,3.12,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-01T12:45:00Z,27.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-01T12:45:00Z,5.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-01T13:00:00Z,2.99,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-01T13:00:00Z,1.62,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-01T13:00:00Z,4.74,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-01T13:00:00Z,2.28,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-01T13:45:00Z,25.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-01T13:45:00Z,5.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-01T14:00:00Z,3.14,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-01T14:00:00Z,2.52,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-01T14:00:00Z,4.82,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-01T14:00:00Z,2.5,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-01T14:45:00Z,38.0,1111122 
NERRS,ioos:station:NOAA.NERRS:gndbcwq,30.3836,-88.4364,2018-08-01T14:45:00Z,8.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-01T14:45:00Z,4.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-01T15:00:00Z,2.49,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-01T15:00:00Z,2.43,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-01T15:00:00Z,4.8,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-01T15:00:00Z,2.38,1111122 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2018-08-01T15:15:00Z,24.0,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-01T15:45:00Z,25.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-01T15:45:00Z,4.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-01T16:00:00Z,3.29,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-01T16:00:00Z,2.3,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-08-01T16:00:00Z,5.93,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-08-01T16:00:00Z,2.74,1111122 
NERRS,ioos:station:NOAA.NERRS:marmbwq,28.1384,-96.8285,2018-08-01T16:15:00Z,18.0,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-08-01T16:45:00Z,30.0,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-08-01T16:45:00Z,3.0,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-08-01T17:00:00Z,2.97,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-08-01T17:00:00Z,1.74,1111122 
