owner,sensor,date,latitude,longitude,air_pressure(mBar),qcFlag 
TABS,ioos:station:wmo:42043:1,2018-09-01T00:00:00Z,28.9818,-94.9186,1011.75,11111222 
TABS,ioos:station:wmo:42043:1,2018-09-01T00:30:00Z,28.9818,-94.9186,1011.61,11111222 
TABS,ioos:station:wmo:42043:1,2018-09-01T01:00:00Z,28.9818,-94.9186,1011.81,11111222 
TABS,ioos:station:wmo:42043:1,2018-09-01T01:30:00Z,28.9818,-94.9186,1011.74,11111222 
TABS,ioos:station:wmo:42043:1,2018-09-01T02:00:00Z,28.9818,-94.9186,1011.97,11111222 
TABS,ioos:station:wmo:42043:1,2018-09-01T02:30:00Z,28.9818,-94.9186,1012.23,11111222 
TABS,ioos:station:wmo:42043:1,2018-09-01T03:00:00Z,28.9818,-94.9186,1012.49,11111222 
TABS,ioos:station:wmo:42043:1,2018-09-01T03:30:00Z,28.9818,-94.9186,1012.43,11111222 
TABS,ioos:station:wmo:42043:1,2018-09-01T04:00:00Z,28.9818,-94.9186,1012.36,11111222 
TABS,ioos:station:wmo:42043:1,2018-09-01T04:30:00Z,28.9818,-94.9186,1012.4,11111222 
TABS,ioos:station:wmo:42043:1,2018-09-01T05:00:00Z,28.9818,-94.9186,1012.29,11111222 
TABS,ioos:station:wmo:42043:1,2018-09-01T05:30:00Z,28.9818,-94.9186,1012.22,11111222 
TABS,ioos:station:wmo:42043:1,2018-09-01T06:00:00Z,28.9818,-94.9186,1012.31,11111222 
TABS,ioos:station:wmo:42043:1,2018-09-01T06:30:00Z,28.9818,-94.9186,1011.98,11111222 
TABS,ioos:station:wmo:42043:1,2018-09-01T07:00:00Z,28.9818,-94.9186,1011.65,11111222 
TABS,ioos:station:wmo:42043:1,2018-09-01T07:30:00Z,28.9818,-94.9186,1011.49,11111222 
TABS,ioos:station:wmo:42043:1,2018-09-01T08:00:00Z,28.9818,-94.9186,1011.69,11111222 
TABS,ioos:station:wmo:42043:1,2018-09-01T08:30:00Z,28.9818,-94.9186,1011.49,11111222 
TABS,ioos:station:wmo:42043:1,2018-09-01T09:00:00Z,28.9818,-94.9186,1011.51,11111222 
TABS,ioos:station:wmo:42043:1,2018-09-01T09:30:00Z,28.9818,-94.9186,1011.49,11111222 
TABS,ioos:station:wmo:42043:1,2018-09-01T10:00:00Z,28.9818,-94.9186,1011.41,11111222 
TABS,ioos:station:wmo:42043:1,2018-09-01T10:30:00Z,28.9818,-94.9186,1011.52,11111222 
TABS,ioos:station:wmo:42043:1,2018-09-01T11:00:00Z,28.9818,-94.9186,1011.63,11111222 
TABS,ioos:station:wmo:42043:1,2018-09-01T11:30:00Z,28.9818,-94.9186,1011.86,11111222 
TABS,ioos:station:wmo:42043:1,2018-09-01T12:00:00Z,28.9818,-94.9186,1012.16,11111222 
TABS,ioos:station:wmo:42043:1,2018-09-01T12:30:00Z,28.9818,-94.9186,1012.65,11111222 
TABS,ioos:station:wmo:42043:1,2018-09-01T13:00:00Z,28.9818,-94.9186,1012.57,11111222 
TABS,ioos:station:wmo:42043:1,2018-09-01T13:30:00Z,28.9818,-94.9186,1012.61,11111222 
TABS,ioos:station:wmo:42043:1,2018-09-01T14:00:00Z,28.9818,-94.9186,1012.63,11111222 
TABS,ioos:station:wmo:42043:1,2018-09-01T14:30:00Z,28.9818,-94.9186,1012.86,11111222 
TABS,ioos:station:wmo:42043:1,2018-09-01T15:00:00Z,28.9818,-94.9186,1013.26,11111222 
TABS,ioos:station:wmo:42043:1,2018-09-01T15:30:00Z,28.9818,-94.9186,1013.3,11111222 
TABS,ioos:station:wmo:42043:1,2018-09-01T16:00:00Z,28.9818,-94.9186,1013.11,11111222 
TABS,ioos:station:wmo:42043:1,2018-09-01T16:30:00Z,28.9818,-94.9186,1013.27,11111222 
TABS,ioos:station:wmo:42043:1,2018-09-01T17:00:00Z,28.9818,-94.9186,1013.09,11111222 
TABS,ioos:station:wmo:42043:1,2018-09-01T17:30:00Z,28.9818,-94.9186,1013.08,11111222 
TABS,ioos:station:wmo:42043:1,2018-09-01T18:00:00Z,28.9818,-94.9186,1012.85,11111222 
TABS,ioos:station:wmo:42043:1,2018-09-01T18:30:00Z,28.9818,-94.9186,1012.51,11111222 
TABS,ioos:station:wmo:42043:1,2018-09-01T19:00:00Z,28.9818,-94.9186,1012.2,11111222 
