owner,sensor,date,latitude,longitude,vertical_datum,wind_speed,wind_to_direction,wind_speed_of_gust,qcFlag 
TABS,ioos:station:wmo:42043:1,2018-09-01T00:00:00Z,28.9818,-94.9186,4,5.295318687,109.8725503,6.86,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-01T00:30:00Z,28.9818,-94.9186,4,5.417019476,111.2125409,7.01,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-01T01:00:00Z,28.9818,-94.9186,4,5.317527621,109.9006304,6.64,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-01T01:30:00Z,28.9818,-94.9186,4,5.565366116,110.2913297,6.63,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-01T02:00:00Z,28.9818,-94.9186,4,5.256253419,107.6080102,6.45,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-01T02:30:00Z,28.9818,-94.9186,4,4.756153908,112.6294996,5.94,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-01T03:00:00Z,28.9818,-94.9186,4,4.990270534,108.9436397,6.19,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-01T03:30:00Z,28.9818,-94.9186,4,4.642951647,107.4206597,6.12,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-01T04:00:00Z,28.9818,-94.9186,4,4.921392079,104.7143208,6.24,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-01T04:30:00Z,28.9818,-94.9186,4,4.902019992,103.3279141,6.15,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-01T05:00:00Z,28.9818,-94.9186,4,4.936972757,105.3878262,6.34,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-01T05:30:00Z,28.9818,-94.9186,4,4.191193148,119.4400205,5.25,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-01T06:00:00Z,28.9818,-94.9186,4,4.701201974,123.2847835,6.54,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-01T06:30:00Z,28.9818,-94.9186,4,4.546053233,126.5929569,5.41,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-01T07:00:00Z,28.9818,-94.9186,4,3.629944903,132.8792243,4.85,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-01T07:30:00Z,28.9818,-94.9186,4,4.274295264,137.2757668,6.69,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-01T08:00:00Z,28.9818,-94.9186,4,5.044809213,139.7439384,6.18,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-01T08:30:00Z,28.9818,-94.9186,4,4.715135205,145.804685,5.94,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-01T09:00:00Z,28.9818,-94.9186,4,4.339181951,140.3299831,5.81,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-01T09:30:00Z,28.9818,-94.9186,4,4.044317,131.692688,5.08,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-01T10:00:00Z,28.9818,-94.9186,4,4.316688546,137.2534085,5.27,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-01T10:30:00Z,28.9818,-94.9186,4,3.667505965,168.2000863,4.76,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-01T11:00:00Z,28.9818,-94.9186,4,3.449202806,163.6669542,5.39,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-01T11:30:00Z,28.9818,-94.9186,4,5.382230021,161.3633233,7.81,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-01T12:00:00Z,28.9818,-94.9186,4,4.021504694,75.30681258,5.74,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-01T12:30:00Z,28.9818,-94.9186,4,3.575947427,55.02076686,4.52,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-01T13:00:00Z,28.9818,-94.9186,4,1.558011553,68.53966853,2.31,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-01T13:30:00Z,28.9818,-94.9186,4,1.362350909,3.366242333,2.58,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-01T14:00:00Z,28.9818,-94.9186,4,2.119457478,49.01719596,2.96,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-01T14:30:00Z,28.9818,-94.9186,4,2.018539076,12.59014305,2.63,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-01T15:00:00Z,28.9818,-94.9186,4,2.052047758,8.406279781,3.03,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-01T15:30:00Z,28.9818,-94.9186,4,1.701763791,336.4475809,2.51,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-01T16:00:00Z,28.9818,-94.9186,4,1.122719912,340.7579563,1.99,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-01T16:30:00Z,28.9818,-94.9186,4,1.484856895,355.364337,2.44,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-01T17:00:00Z,28.9818,-94.9186,4,1.493452376,339.623402,2.65,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-01T17:30:00Z,28.9818,-94.9186,4,2.359364321,17.51312896,3.69,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-01T18:00:00Z,28.9818,-94.9186,4,1.783395638,56.66601277,2.52,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-01T18:30:00Z,28.9818,-94.9186,4,1.789413312,62.00249719,3.09,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-01T19:00:00Z,28.9818,-94.9186,4,2.182956711,62.14330849,3.47,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-01T19:30:00Z,28.9818,-94.9186,4,3.111687645,71.44821896,4.19,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-01T20:00:00Z,28.9818,-94.9186,4,2.961435463,84.96280815,3.87,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-01T20:30:00Z,28.9818,-94.9186,4,3.671961329,88.1268192,5.26,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-01T21:00:00Z,28.9818,-94.9186,4,4.11170281,99.09618049,5.13,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-01T21:30:00Z,28.9818,-94.9186,4,4.239870281,95.54964282,5.67,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-01T22:00:00Z,28.9818,-94.9186,4,4.110523081,96.98710912,5.23,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-01T22:30:00Z,28.9818,-94.9186,4,4.887882977,98.82677123,6.49,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-01T23:00:00Z,28.9818,-94.9186,4,4.80051039,89.16407681,5.87,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-01T23:30:00Z,28.9818,-94.9186,4,4.926469324,84.05754976,6.47,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-02T00:00:00Z,28.9818,-94.9186,4,5.545385469,95.48482133,6.78,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-02T00:30:00Z,28.9818,-94.9186,4,5.988330318,104.4079226,7.22,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-02T01:00:00Z,28.9818,-94.9186,4,6.083461186,121.6263596,7.79,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-02T01:30:00Z,28.9818,-94.9186,4,5.406375866,122.6909975,6.51,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-02T02:00:00Z,28.9818,-94.9186,4,5.132065861,127.160504,6.85,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-02T02:30:00Z,28.9818,-94.9186,4,5.452815786,119.1978387,6.87,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-02T03:00:00Z,28.9818,-94.9186,4,5.776088642,120.8280111,6.95,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-02T03:30:00Z,28.9818,-94.9186,4,5.841318344,118.9787408,7.15,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-02T04:00:00Z,28.9818,-94.9186,4,4.985709578,135.8942178,6.15,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-02T04:30:00Z,28.9818,-94.9186,4,4.12801405,129.397159,5.52,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-02T05:00:00Z,28.9818,-94.9186,4,4.575904282,128.5232552,5.87,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-02T05:30:00Z,28.9818,-94.9186,4,4.491380634,133.6471269,5.53,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-02T06:00:00Z,28.9818,-94.9186,4,5.743100208,147.8045518,7.1,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-02T06:30:00Z,28.9818,-94.9186,4,5.444970156,155.1295862,6.84,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-02T07:00:00Z,28.9818,-94.9186,4,4.197487344,160.2270666,5.09,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-02T07:30:00Z,28.9818,-94.9186,4,4.188579712,163.2092904,5.36,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-02T08:00:00Z,28.9818,-94.9186,4,4.180107654,180.4114162,5.36,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-02T08:30:00Z,28.9818,-94.9186,4,5.679595056,183.33112,7.06,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-02T09:00:00Z,28.9818,-94.9186,4,4.002923931,218.1010732,5.71,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-02T09:30:00Z,28.9818,-94.9186,4,4.130919994,208.7987838,5.54,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-02T10:00:00Z,28.9818,-94.9186,4,8.131820214,203.0969784,10.17,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-02T10:30:00Z,28.9818,-94.9186,4,6.202781634,223.7590026,7.81,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-02T11:00:00Z,28.9818,-94.9186,4,5.565788354,228.0587957,6.81,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-02T11:30:00Z,28.9818,-94.9186,4,3.671648131,254.0332064,5.11,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-02T12:00:00Z,28.9818,-94.9186,4,4.606006947,256.5671967,6.44,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-02T12:30:00Z,28.9818,-94.9186,4,5.017668781,237.0384407,9.33,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-02T13:00:00Z,28.9818,-94.9186,4,4.518240808,207.983119,7.57,'11111222
TABS,ioos:station:wmo:42043:1,2018-09-02T13:30:00Z,28.9818,-94.9186,4,2.809430547,274.6958852,3.68,'11111222
