owner,sensor,date,latitude,longitude,air_temperature,qcFlag 
TABS,ioos:station:wmo:42044:1,2018-08-12T06:30:00Z,26.1914,-97.0507,24.8,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-12T07:00:00Z,26.1914,-97.0507,25.0,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-12T07:30:00Z,26.1914,-97.0507,25.0,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-12T08:00:00Z,26.1914,-97.0507,25.1,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-12T08:30:00Z,26.1914,-97.0507,25.2,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-12T09:00:00Z,26.1914,-97.0507,25.4,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-12T09:30:00Z,26.1914,-97.0507,25.4,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-12T10:00:00Z,26.1914,-97.0507,25.4,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-12T10:30:00Z,26.1914,-97.0507,25.5,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-12T11:00:00Z,26.1914,-97.0507,25.5,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-12T11:30:00Z,26.1914,-97.0507,25.4,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-12T12:00:00Z,26.1914,-97.0507,25.4,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-12T12:30:00Z,26.1914,-97.0507,25.3,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-12T13:00:00Z,26.1914,-97.0507,25.5,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-12T13:30:00Z,26.1914,-97.0507,25.3,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-12T14:00:00Z,26.1914,-97.0507,25.5,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-12T14:30:00Z,26.1914,-97.0507,25.6,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-12T15:00:00Z,26.1914,-97.0507,25.9,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-12T15:30:00Z,26.1914,-97.0507,25.8,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-12T16:00:00Z,26.1914,-97.0507,25.9,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-12T16:30:00Z,26.1914,-97.0507,25.8,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-12T17:00:00Z,26.1914,-97.0507,26.0,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-12T17:30:00Z,26.1914,-97.0507,26.0,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-12T18:00:00Z,26.1914,-97.0507,26.0,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-12T18:30:00Z,26.1914,-97.0507,26.0,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-12T19:00:00Z,26.1914,-97.0507,26.0,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-12T19:30:00Z,26.1914,-97.0507,26.0,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-12T20:00:00Z,26.1914,-97.0507,26.1,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-12T20:30:00Z,26.1914,-97.0507,26.2,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-12T21:00:00Z,26.1914,-97.0507,26.1,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-12T21:30:00Z,26.1914,-97.0507,23.0,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-12T22:00:00Z,26.1914,-97.0507,24.2,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-12T22:30:00Z,26.1914,-97.0507,24.5,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-12T23:00:00Z,26.1914,-97.0507,25.2,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-12T23:30:00Z,26.1914,-97.0507,25.2,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-13T00:00:00Z,26.1914,-97.0507,25.1,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-13T00:30:00Z,26.1914,-97.0507,24.9,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-13T01:00:00Z,26.1914,-97.0507,24.7,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-13T01:30:00Z,26.1914,-97.0507,24.8,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-13T02:00:00Z,26.1914,-97.0507,25.0,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-13T02:30:00Z,26.1914,-97.0507,25.3,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-13T03:00:00Z,26.1914,-97.0507,25.2,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-13T03:30:00Z,26.1914,-97.0507,25.2,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-13T04:00:00Z,26.1914,-97.0507,25.2,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-13T04:30:00Z,26.1914,-97.0507,25.1,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-13T05:00:00Z,26.1914,-97.0507,25.0,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-13T05:30:00Z,26.1914,-97.0507,25.1,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-13T06:00:00Z,26.1914,-97.0507,25.1,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-13T06:30:00Z,26.1914,-97.0507,24.9,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-13T07:00:00Z,26.1914,-97.0507,24.8,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-13T07:30:00Z,26.1914,-97.0507,24.7,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-13T08:00:00Z,26.1914,-97.0507,24.6,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-13T08:30:00Z,26.1914,-97.0507,24.7,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-13T09:00:00Z,26.1914,-97.0507,24.6,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-13T09:30:00Z,26.1914,-97.0507,24.6,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-13T10:00:00Z,26.1914,-97.0507,24.3,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-13T10:30:00Z,26.1914,-97.0507,24.2,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-13T11:00:00Z,26.1914,-97.0507,24.4,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-13T11:30:00Z,26.1914,-97.0507,24.4,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-13T12:00:00Z,26.1914,-97.0507,24.3,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-13T12:30:00Z,26.1914,-97.0507,24.4,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-13T13:00:00Z,26.1914,-97.0507,24.9,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-13T13:30:00Z,26.1914,-97.0507,25.0,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-13T14:00:00Z,26.1914,-97.0507,25.0,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-13T14:30:00Z,26.1914,-97.0507,25.2,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-13T15:00:00Z,26.1914,-97.0507,25.1,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-13T15:30:00Z,26.1914,-97.0507,25.1,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-13T16:00:00Z,26.1914,-97.0507,25.0,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-13T16:30:00Z,26.1914,-97.0507,25.0,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-13T17:00:00Z,26.1914,-97.0507,24.7,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-13T17:30:00Z,26.1914,-97.0507,24.7,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-13T18:00:00Z,26.1914,-97.0507,24.5,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-13T18:30:00Z,26.1914,-97.0507,24.6,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-13T19:00:00Z,26.1914,-97.0507,24.7,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-13T19:30:00Z,26.1914,-97.0507,24.7,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-13T20:00:00Z,26.1914,-97.0507,24.6,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-13T20:30:00Z,26.1914,-97.0507,24.6,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-13T21:00:00Z,26.1914,-97.0507,24.7,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-13T21:30:00Z,26.1914,-97.0507,24.6,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-13T22:00:00Z,26.1914,-97.0507,24.7,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-13T22:30:00Z,26.1914,-97.0507,24.5,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-13T23:00:00Z,26.1914,-97.0507,24.6,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-13T23:30:00Z,26.1914,-97.0507,24.5,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-14T00:00:00Z,26.1914,-97.0507,24.4,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-14T00:30:00Z,26.1914,-97.0507,24.0,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-14T01:00:00Z,26.1914,-97.0507,23.9,11144222 
TABS,ioos:station:wmo:42044:1,2018-08-14T01:30:00Z,26.1914,-97.0507,23.7,11144222 
