owner,sensor,date,latitude,longitude,vertical_datum,sea_water_temperature,qcFlag 
TABS,ioos:station:wmo:42044:1,2018-08-12T06:30:00Z,26.1914,-97.0507,-2.0,26.5,11111222 
TABS,ioos:station:wmo:42044:1,2018-08-12T07:00:00Z,26.1914,-97.0507,-2.0,26.32,11111222 
TABS,ioos:station:wmo:42044:1,2018-08-12T07:30:00Z,26.1914,-97.0507,-2.0,26.25,11111222 
TABS,ioos:station:wmo:42044:1,2018-08-12T08:00:00Z,26.1914,-97.0507,-2.0,26.14,11111222 
TABS,ioos:station:wmo:42044:1,2018-08-12T08:30:00Z,26.1914,-97.0507,-2.0,26.14,11111222 
TABS,ioos:station:wmo:42044:1,2018-08-12T09:00:00Z,26.1914,-97.0507,-2.0,26.12,11111222 
TABS,ioos:station:wmo:42044:1,2018-08-12T09:30:00Z,26.1914,-97.0507,-2.0,26.19,11111222 
TABS,ioos:station:wmo:42044:1,2018-08-12T10:00:00Z,26.1914,-97.0507,-2.0,26.07,11111222 
TABS,ioos:station:wmo:42044:1,2018-08-12T10:30:00Z,26.1914,-97.0507,-2.0,26.18,11111222 
TABS,ioos:station:wmo:42044:1,2018-08-12T11:00:00Z,26.1914,-97.0507,-2.0,26.14,11111222 
TABS,ioos:station:wmo:42044:1,2018-08-12T11:30:00Z,26.1914,-97.0507,-2.0,26.07,11111222 
TABS,ioos:station:wmo:42044:1,2018-08-12T12:00:00Z,26.1914,-97.0507,-2.0,26.15,11111222 
TABS,ioos:station:wmo:42044:1,2018-08-12T12:30:00Z,26.1914,-97.0507,-2.0,26.01,11111222 
TABS,ioos:station:wmo:42044:1,2018-08-12T13:00:00Z,26.1914,-97.0507,-2.0,26.01,11111222 
TABS,ioos:station:wmo:42044:1,2018-08-12T13:30:00Z,26.1914,-97.0507,-2.0,25.93,11111222 
TABS,ioos:station:wmo:42044:1,2018-08-12T14:00:00Z,26.1914,-97.0507,-2.0,25.93,11111222 
TABS,ioos:station:wmo:42044:1,2018-08-12T14:30:00Z,26.1914,-97.0507,-2.0,26.0,11111222 
TABS,ioos:station:wmo:42044:1,2018-08-12T15:00:00Z,26.1914,-97.0507,-2.0,26.0,11111222 
TABS,ioos:station:wmo:42044:1,2018-08-12T15:30:00Z,26.1914,-97.0507,-2.0,25.96,11111222 
