owner,sensor,date,latitude,longitude,air_pressure(mBar),qcFlag 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T00:42:00Z,29.2675,-91.3839,1014.0,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T00:48:00Z,29.2675,-91.3839,1014.1,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T00:54:00Z,29.2675,-91.3839,1014.1,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T01:42:00Z,29.2675,-91.3839,1013.6,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T01:48:00Z,29.2675,-91.3839,1013.6,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T01:54:00Z,29.2675,-91.3839,1013.7,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T02:42:00Z,29.2675,-91.3839,1013.8,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T02:48:00Z,29.2675,-91.3839,1013.8,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T02:54:00Z,29.2675,-91.3839,1013.9,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T03:42:00Z,29.2675,-91.3839,1014.2,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T03:48:00Z,29.2675,-91.3839,1014.2,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T03:54:00Z,29.2675,-91.3839,1014.2,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T04:42:00Z,29.2675,-91.3839,1014.7,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T04:48:00Z,29.2675,-91.3839,1014.7,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T04:54:00Z,29.2675,-91.3839,1014.7,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T05:42:00Z,29.2675,-91.3839,1014.8,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T05:48:00Z,29.2675,-91.3839,1014.8,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T05:54:00Z,29.2675,-91.3839,1014.7,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T06:42:00Z,29.2675,-91.3839,1014.3,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T06:48:00Z,29.2675,-91.3839,1014.3,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T06:54:00Z,29.2675,-91.3839,1014.3,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T07:42:00Z,29.2675,-91.3839,1013.8,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T07:48:00Z,29.2675,-91.3839,1013.9,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T08:42:00Z,29.2675,-91.3839,1013.6,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T08:48:00Z,29.2675,-91.3839,1013.6,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T08:54:00Z,29.2675,-91.3839,1013.6,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T09:42:00Z,29.2675,-91.3839,1013.9,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T09:48:00Z,29.2675,-91.3839,1013.8,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T09:54:00Z,29.2675,-91.3839,1013.7,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T10:42:00Z,29.2675,-91.3839,1013.4,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T10:48:00Z,29.2675,-91.3839,1013.4,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T10:54:00Z,29.2675,-91.3839,1013.4,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T11:42:00Z,29.2675,-91.3839,1013.6,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T11:48:00Z,29.2675,-91.3839,1013.6,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T11:54:00Z,29.2675,-91.3839,1013.6,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T12:42:00Z,29.2675,-91.3839,1014.5,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T12:48:00Z,29.2675,-91.3839,1014.7,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T12:54:00Z,29.2675,-91.3839,1014.7,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T13:42:00Z,29.2675,-91.3839,1014.6,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T13:48:00Z,29.2675,-91.3839,1014.6,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T13:54:00Z,29.2675,-91.3839,1014.5,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T14:42:00Z,29.2675,-91.3839,1014.8,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T14:48:00Z,29.2675,-91.3839,1014.8,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T14:54:00Z,29.2675,-91.3839,1014.8,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T15:42:00Z,29.2675,-91.3839,1014.7,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T15:48:00Z,29.2675,-91.3839,1014.9,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T15:54:00Z,29.2675,-91.3839,1014.9,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T16:42:00Z,29.2675,-91.3839,1014.7,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T16:48:00Z,29.2675,-91.3839,1014.7,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T16:54:00Z,29.2675,-91.3839,1014.7,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T17:42:00Z,29.2675,-91.3839,1014.3,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T17:48:00Z,29.2675,-91.3839,1014.3,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T17:54:00Z,29.2675,-91.3839,1014.2,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T18:42:00Z,29.2675,-91.3839,1014.0,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T18:48:00Z,29.2675,-91.3839,1013.8,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T18:54:00Z,29.2675,-91.3839,1013.8,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T19:42:00Z,29.2675,-91.3839,1013.5,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T19:48:00Z,29.2675,-91.3839,1013.5,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T19:54:00Z,29.2675,-91.3839,1013.4,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T20:42:00Z,29.2675,-91.3839,1013.0,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T20:48:00Z,29.2675,-91.3839,1013.0,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T20:54:00Z,29.2675,-91.3839,1013.1,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T21:42:00Z,29.2675,-91.3839,1012.7,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T21:48:00Z,29.2675,-91.3839,1012.6,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T21:54:00Z,29.2675,-91.3839,1012.6,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T22:42:00Z,29.2675,-91.3839,1012.9,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T22:48:00Z,29.2675,-91.3839,1012.9,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T22:54:00Z,29.2675,-91.3839,1013.1,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T23:42:00Z,29.2675,-91.3839,1013.4,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T23:48:00Z,29.2675,-91.3839,1013.2,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T23:54:00Z,29.2675,-91.3839,1013.2,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-02T00:42:00Z,29.2675,-91.3839,1013.3,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-02T00:48:00Z,29.2675,-91.3839,1013.3,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-02T00:54:00Z,29.2675,-91.3839,1013.3,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-02T01:42:00Z,29.2675,-91.3839,1013.9,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-02T01:48:00Z,29.2675,-91.3839,1013.9,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-02T01:54:00Z,29.2675,-91.3839,1014.1,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-02T02:42:00Z,29.2675,-91.3839,1014.0,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-02T02:48:00Z,29.2675,-91.3839,1014.1,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-02T02:54:00Z,29.2675,-91.3839,1014.3,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-02T03:42:00Z,29.2675,-91.3839,1014.9,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-02T03:48:00Z,29.2675,-91.3839,1014.9,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-02T03:54:00Z,29.2675,-91.3839,1014.9,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-02T04:42:00Z,29.2675,-91.3839,1014.7,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-02T04:48:00Z,29.2675,-91.3839,1014.6,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-02T04:54:00Z,29.2675,-91.3839,1014.6,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-02T05:42:00Z,29.2675,-91.3839,1014.3,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-02T05:48:00Z,29.2675,-91.3839,1014.4,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-02T05:54:00Z,29.2675,-91.3839,1014.4,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-02T06:42:00Z,29.2675,-91.3839,1014.0,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-02T06:48:00Z,29.2675,-91.3839,1014.0,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-02T06:54:00Z,29.2675,-91.3839,1014.0,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-02T07:42:00Z,29.2675,-91.3839,1013.6,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-02T07:48:00Z,29.2675,-91.3839,1013.6,1111122 
