owner,sensor,date,latitude,longitude,vertical_datum,sea_water_practical_salinity,qcFlag 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T00:42:00Z,29.2675,-91.3839,1.0,1.04,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T00:48:00Z,29.2675,-91.3839,1.0,1.35,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T00:54:00Z,29.2675,-91.3839,1.0,1.23,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T01:42:00Z,29.2675,-91.3839,1.0,1.34,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T01:48:00Z,29.2675,-91.3839,1.0,1.18,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T01:54:00Z,29.2675,-91.3839,1.0,1.33,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T02:42:00Z,29.2675,-91.3839,1.0,1.3,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T02:48:00Z,29.2675,-91.3839,1.0,1.18,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T02:54:00Z,29.2675,-91.3839,1.0,1.17,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T03:42:00Z,29.2675,-91.3839,1.0,0.99,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T03:48:00Z,29.2675,-91.3839,1.0,0.99,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T03:54:00Z,29.2675,-91.3839,1.0,1.0,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T04:42:00Z,29.2675,-91.3839,1.0,0.9,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T04:48:00Z,29.2675,-91.3839,1.0,0.91,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T04:54:00Z,29.2675,-91.3839,1.0,0.91,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T05:42:00Z,29.2675,-91.3839,1.0,0.78,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T05:48:00Z,29.2675,-91.3839,1.0,0.78,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T06:42:00Z,29.2675,-91.3839,1.0,0.59,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T06:48:00Z,29.2675,-91.3839,1.0,0.59,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T06:54:00Z,29.2675,-91.3839,1.0,0.6,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T07:42:00Z,29.2675,-91.3839,1.0,0.51,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T07:48:00Z,29.2675,-91.3839,1.0,0.46,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T08:42:00Z,29.2675,-91.3839,1.0,0.37,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T08:48:00Z,29.2675,-91.3839,1.0,0.32,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T08:54:00Z,29.2675,-91.3839,1.0,0.31,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T09:42:00Z,29.2675,-91.3839,1.0,0.59,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T09:48:00Z,29.2675,-91.3839,1.0,0.89,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T10:42:00Z,29.2675,-91.3839,1.0,1.97,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T10:48:00Z,29.2675,-91.3839,1.0,1.97,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T10:54:00Z,29.2675,-91.3839,1.0,2.33,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T11:42:00Z,29.2675,-91.3839,1.0,4.2,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T11:48:00Z,29.2675,-91.3839,1.0,4.2,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T12:42:00Z,29.2675,-91.3839,1.0,4.58,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T12:48:00Z,29.2675,-91.3839,1.0,6.21,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T13:42:00Z,29.2675,-91.3839,1.0,0.82,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T13:48:00Z,29.2675,-91.3839,1.0,4.2,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T13:54:00Z,29.2675,-91.3839,1.0,0.88,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T14:42:00Z,29.2675,-91.3839,1.0,1.98,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T14:48:00Z,29.2675,-91.3839,1.0,1.98,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T15:42:00Z,29.2675,-91.3839,1.0,1.68,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T15:48:00Z,29.2675,-91.3839,1.0,1.35,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T15:54:00Z,29.2675,-91.3839,1.0,0.77,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T16:42:00Z,29.2675,-91.3839,1.0,1.03,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T16:48:00Z,29.2675,-91.3839,1.0,1.3,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T16:54:00Z,29.2675,-91.3839,1.0,1.3,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T17:42:00Z,29.2675,-91.3839,1.0,0.8,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T17:48:00Z,29.2675,-91.3839,1.0,0.8,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T17:54:00Z,29.2675,-91.3839,1.0,0.63,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T18:42:00Z,29.2675,-91.3839,1.0,0.87,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T18:48:00Z,29.2675,-91.3839,1.0,0.98,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T18:54:00Z,29.2675,-91.3839,1.0,0.91,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T19:42:00Z,29.2675,-91.3839,1.0,1.03,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T19:48:00Z,29.2675,-91.3839,1.0,1.03,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T19:54:00Z,29.2675,-91.3839,1.0,0.9,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T20:42:00Z,29.2675,-91.3839,1.0,1.36,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-08-01T20:48:00Z,29.2675,-91.3839,1.0,1.36,1111122 
