owner,sensor,date,latitude,longitude,vertical_datum,sea_water_practical_salinity,qcFlag 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-09-01T00:42:00Z,29.2675,-91.3839,1.0,6.36,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-09-01T00:48:00Z,29.2675,-91.3839,1.0,6.36,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-09-01T00:54:00Z,29.2675,-91.3839,1.0,6.22,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-09-01T01:42:00Z,29.2675,-91.3839,1.0,5.84,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-09-01T01:48:00Z,29.2675,-91.3839,1.0,5.71,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-09-01T01:54:00Z,29.2675,-91.3839,1.0,5.22,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-09-01T02:42:00Z,29.2675,-91.3839,1.0,5.37,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-09-01T02:48:00Z,29.2675,-91.3839,1.0,5.37,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-09-01T02:54:00Z,29.2675,-91.3839,1.0,5.13,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-09-01T03:42:00Z,29.2675,-91.3839,1.0,5.81,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-09-01T03:48:00Z,29.2675,-91.3839,1.0,5.66,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-09-01T03:54:00Z,29.2675,-91.3839,1.0,5.66,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-09-01T04:42:00Z,29.2675,-91.3839,1.0,6.1,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-09-01T04:48:00Z,29.2675,-91.3839,1.0,6.1,1111122 
NOS,ioos:station:NOAA.NOS.CO-OPS:8764314:1,2018-09-01T05:42:00Z,29.2675,-91.3839,1.0,5.43,1111122 
