owner,sensor,date,latitude,longitude,vertical_datum,wind_speed,wind_to_direction,wind_speed_of_gust,qcFlag 
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2018-08-01T00:42:00Z,29.6817,-94.985,0,2.5,87,3,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2018-08-01T01:42:00Z,29.6817,-94.985,0,2.2,68,2.8,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2018-08-01T02:42:00Z,29.6817,-94.985,0,1.6,88,2.1,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2018-08-01T03:42:00Z,29.6817,-94.985,0,2.1,72,2.9,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2018-08-01T04:42:00Z,29.6817,-94.985,0,1.7,90,2.2,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2018-08-01T05:42:00Z,29.6817,-94.985,0,1.9,98,2.6,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2018-08-01T06:42:00Z,29.6817,-94.985,0,0.9,117,1.7,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2018-08-01T07:42:00Z,29.6817,-94.985,0,1.6,241,2,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2018-08-01T08:42:00Z,29.6817,-94.985,0,2.6,277,3.2,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2018-08-01T09:42:00Z,29.6817,-94.985,0,3.4,279,4,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2018-08-01T10:42:00Z,29.6817,-94.985,0,2.6,274,3.3,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2018-08-01T11:42:00Z,29.6817,-94.985,0,2.1,287,2.7,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2018-08-01T12:42:00Z,29.6817,-94.985,0,2,9,3,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2018-08-01T13:42:00Z,29.6817,-94.985,0,2.4,317,3.3,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2018-08-01T14:42:00Z,29.6817,-94.985,0,2.7,312,3.7,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2018-08-01T15:42:00Z,29.6817,-94.985,0,3.5,317,4.1,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2018-08-01T16:42:00Z,29.6817,-94.985,0,1.9,355,2.7,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2018-08-01T17:42:00Z,29.6817,-94.985,0,4.9,317,6.1,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2018-08-01T18:42:00Z,29.6817,-94.985,0,5,317,6.3,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2018-08-01T19:42:00Z,29.6817,-94.985,0,2.7,338,5.5,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2018-08-01T20:42:00Z,29.6817,-94.985,0,3.1,40,5.3,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2018-08-01T21:42:00Z,29.6817,-94.985,0,1.3,78,2.7,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2018-08-01T22:42:00Z,29.6817,-94.985,0,4.5,11,5.9,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2018-08-01T23:42:00Z,29.6817,-94.985,0,3.4,358,4.8,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2018-08-02T00:42:00Z,29.6817,-94.985,0,3.9,2,4.8,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2018-08-02T01:42:00Z,29.6817,-94.985,0,2.5,71,3.6,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2018-08-02T02:42:00Z,29.6817,-94.985,0,1.6,64,2.1,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2018-08-02T03:42:00Z,29.6817,-94.985,0,1.5,85,2,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2018-08-02T04:42:00Z,29.6817,-94.985,0,1.7,229,2.2,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2018-08-02T05:42:00Z,29.6817,-94.985,0,2.2,234,2.5,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2018-08-02T06:42:00Z,29.6817,-94.985,0,2.4,257,4,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2018-08-02T07:42:00Z,29.6817,-94.985,0,2.7,284,3.6,'1111122
NOS,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2018-08-02T08:42:00Z,29.6817,-94.985,0,3,281,4.3,'1111122
