owner,sensor,date,latitude,longitude,air_pressure(mBar),qcFlag 
DISL,ioos:station:DISL:BSCA:1,2018-08-06T16:00:00Z,30.3288,-87.8293,1020.7,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-06T16:30:00Z,30.3288,-87.8293,1020.7,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-06T17:00:00Z,30.3288,-87.8293,1020.7,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-06T17:30:00Z,30.3288,-87.8293,1020.7,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-06T18:00:00Z,30.3288,-87.8293,1020.7,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-06T18:30:00Z,30.3288,-87.8293,1020.3,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-06T19:00:00Z,30.3288,-87.8293,1020.0,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-06T19:30:00Z,30.3288,-87.8293,1019.6,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-06T20:00:00Z,30.3288,-87.8293,1019.3,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-06T20:09:00Z,30.3288,-87.8293,1019.30339,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-08-06T20:30:00Z,30.3288,-87.8293,1019.0,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-06T21:00:00Z,30.3288,-87.8293,1018.3,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-06T21:30:00Z,30.3288,-87.8293,1018.0,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-06T22:00:00Z,30.3288,-87.8293,1017.6,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-06T22:30:00Z,30.3288,-87.8293,1017.3,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-06T23:00:00Z,30.3288,-87.8293,1017.6,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-06T23:30:00Z,30.3288,-87.8293,1018.0,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-07T00:00:00Z,30.3288,-87.8293,1018.3,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-07T00:30:00Z,30.3288,-87.8293,1018.3,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-07T01:00:00Z,30.3288,-87.8293,1018.6,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-07T01:30:00Z,30.3288,-87.8293,1019.0,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-07T02:00:00Z,30.3288,-87.8293,1019.0,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-07T02:30:00Z,30.3288,-87.8293,1018.6,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-07T03:00:00Z,30.3288,-87.8293,1018.6,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-07T03:30:00Z,30.3288,-87.8293,1019.6,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-07T04:00:00Z,30.3288,-87.8293,1019.6,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-07T04:30:00Z,30.3288,-87.8293,1019.6,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-07T05:00:00Z,30.3288,-87.8293,1019.6,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-07T05:30:00Z,30.3288,-87.8293,1019.0,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-07T06:00:00Z,30.3288,-87.8293,1018.6,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-07T06:30:00Z,30.3288,-87.8293,1018.6,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-07T07:00:00Z,30.3288,-87.8293,1018.6,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-07T07:30:00Z,30.3288,-87.8293,1018.3,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-07T08:00:00Z,30.3288,-87.8293,1018.0,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-07T08:30:00Z,30.3288,-87.8293,1017.3,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-07T09:00:00Z,30.3288,-87.8293,1017.3,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-07T09:30:00Z,30.3288,-87.8293,1017.6,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-07T10:00:00Z,30.3288,-87.8293,1018.0,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-07T10:30:00Z,30.3288,-87.8293,1018.3,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-07T11:00:00Z,30.3288,-87.8293,1019.0,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-07T11:30:00Z,30.3288,-87.8293,1018.6,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-07T12:00:00Z,30.3288,-87.8293,1019.0,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-07T12:30:00Z,30.3288,-87.8293,1019.3,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-07T13:00:00Z,30.3288,-87.8293,1019.6,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-07T13:30:00Z,30.3288,-87.8293,1019.6,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-07T14:00:00Z,30.3288,-87.8293,1020.0,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-07T14:30:00Z,30.3288,-87.8293,1020.0,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-07T15:00:00Z,30.3288,-87.8293,1019.6,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-07T15:30:00Z,30.3288,-87.8293,1019.6,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-07T16:00:00Z,30.3288,-87.8293,1019.6,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-07T16:30:00Z,30.3288,-87.8293,1019.3,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-07T17:00:00Z,30.3288,-87.8293,1019.0,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-07T17:30:00Z,30.3288,-87.8293,1018.6,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-07T18:00:00Z,30.3288,-87.8293,1018.3,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-07T18:30:00Z,30.3288,-87.8293,1018.0,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-07T19:00:00Z,30.3288,-87.8293,1017.6,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-07T19:30:00Z,30.3288,-87.8293,1017.3,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-07T20:00:00Z,30.3288,-87.8293,1017.3,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-07T20:30:00Z,30.3288,-87.8293,1018.0,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-07T21:00:00Z,30.3288,-87.8293,1016.6,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-07T21:30:00Z,30.3288,-87.8293,1016.594278,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-08-07T22:00:00Z,30.3288,-87.8293,1016.6,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-07T22:30:00Z,30.3288,-87.8293,1016.3,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-07T23:00:00Z,30.3288,-87.8293,1016.3,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-07T23:30:00Z,30.3288,-87.8293,1016.3,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-08T00:00:00Z,30.3288,-87.8293,1016.6,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-08T00:30:00Z,30.3288,-87.8293,1016.9,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-08T01:00:00Z,30.3288,-87.8293,1016.9,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-08T01:30:00Z,30.3288,-87.8293,1017.6,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-08T02:00:00Z,30.3288,-87.8293,1018.0,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-08T02:30:00Z,30.3288,-87.8293,1018.3,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-08T03:00:00Z,30.3288,-87.8293,1018.6,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-08T03:30:00Z,30.3288,-87.8293,1018.3,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-08T04:00:00Z,30.3288,-87.8293,1018.0,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-08T04:30:00Z,30.3288,-87.8293,1017.6,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-08T05:00:00Z,30.3288,-87.8293,1017.6,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-08T05:30:00Z,30.3288,-87.8293,1017.6,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-08T06:00:00Z,30.3288,-87.8293,1017.3,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-08T06:30:00Z,30.3288,-87.8293,1016.9,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-08-08T07:00:00Z,30.3288,-87.8293,1016.9,11111222 
