owner,sensor,date,latitude,longitude,vertical_datum,sea_water_practical_salinity,qcFlag 
DISL,ioos:station:DISL:BSCA:1,2018-09-19T20:00:00Z,30.3288,-87.8293,0.0,0.0,1114422 
DISL,ioos:station:DISL:BSCA:1,2018-09-20T14:30:00Z,30.3288,-87.8293,2.036,14.6,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-20T15:00:00Z,30.3288,-87.8293,2.018,14.53,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-20T16:30:00Z,30.3288,-87.8293,1.961,14.73,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-20T17:30:00Z,30.3288,-87.8293,1.884,14.74,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-20T18:00:00Z,30.3288,-87.8293,1.844,14.76,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-20T19:00:00Z,30.3288,-87.8293,1.794,14.79,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-20T20:30:00Z,30.3288,-87.8293,1.709,14.76,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-20T21:00:00Z,30.3288,-87.8293,1.682,14.72,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-20T22:00:00Z,30.3288,-87.8293,1.677,14.71,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-20T23:00:00Z,30.3288,-87.8293,1.681,14.69,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-21T00:30:00Z,30.3288,-87.8293,1.709,14.65,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-21T01:00:00Z,30.3288,-87.8293,1.716,14.63,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-21T02:00:00Z,30.3288,-87.8293,1.766,14.61,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-21T03:00:00Z,30.3288,-87.8293,1.827,14.64,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-21T04:30:00Z,30.3288,-87.8293,1.873,14.62,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-21T05:00:00Z,30.3288,-87.8293,1.893,14.62,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-21T06:00:00Z,30.3288,-87.8293,1.925,14.63,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-21T07:00:00Z,30.3288,-87.8293,1.935,14.64,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-21T08:30:00Z,30.3288,-87.8293,1.97,14.69,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-21T09:30:00Z,30.3288,-87.8293,1.997,14.61,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-21T10:00:00Z,30.3288,-87.8293,2.003,14.58,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-21T11:00:00Z,30.3288,-87.8293,2.025,14.64,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-21T12:30:00Z,30.3288,-87.8293,2.054,14.84,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-21T13:00:00Z,30.3288,-87.8293,2.054,14.59,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-21T14:00:00Z,30.3288,-87.8293,2.043,15.03,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-21T15:00:00Z,30.3288,-87.8293,2.04,14.52,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-21T16:30:00Z,30.3288,-87.8293,2.001,15.34,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-21T17:00:00Z,30.3288,-87.8293,1.992,15.54,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-21T18:30:00Z,30.3288,-87.8293,1.927,15.52,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-21T19:00:00Z,30.3288,-87.8293,1.897,15.31,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-21T20:30:00Z,30.3288,-87.8293,1.821,15.71,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-21T21:00:00Z,30.3288,-87.8293,1.801,15.82,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-21T22:00:00Z,30.3288,-87.8293,1.757,15.6,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-21T23:00:00Z,30.3288,-87.8293,1.741,16.08,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-22T00:30:00Z,30.3288,-87.8293,1.775,16.69,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-22T01:00:00Z,30.3288,-87.8293,1.808,16.82,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-22T02:00:00Z,30.3288,-87.8293,1.832,15.63,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-22T03:00:00Z,30.3288,-87.8293,1.844,17.05,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-22T04:00:00Z,30.3288,-87.8293,1.858,17.98,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-22T05:00:00Z,30.3288,-87.8293,1.893,17.35,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-22T06:00:00Z,30.3288,-87.8293,1.943,18.37,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-22T07:00:00Z,30.3288,-87.8293,1.959,18.46,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-22T08:30:00Z,30.3288,-87.8293,1.957,18.63,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-22T09:00:00Z,30.3288,-87.8293,1.943,18.73,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-22T10:30:00Z,30.3288,-87.8293,1.967,19.01,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-22T11:00:00Z,30.3288,-87.8293,2.0,19.07,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-22T12:30:00Z,30.3288,-87.8293,2.042,19.2,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-22T13:00:00Z,30.3288,-87.8293,2.039,19.24,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-22T14:00:00Z,30.3288,-87.8293,2.047,19.3,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-22T15:00:00Z,30.3288,-87.8293,2.044,19.28,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-22T16:30:00Z,30.3288,-87.8293,2.014,19.43,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-22T17:00:00Z,30.3288,-87.8293,1.992,18.87,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-22T18:00:00Z,30.3288,-87.8293,1.95,18.79,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-22T19:00:00Z,30.3288,-87.8293,1.904,18.95,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-22T20:30:00Z,30.3288,-87.8293,1.835,18.45,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-22T21:00:00Z,30.3288,-87.8293,1.815,18.14,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-22T22:00:00Z,30.3288,-87.8293,1.757,17.9,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-22T23:00:00Z,30.3288,-87.8293,1.729,18.01,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-23T00:00:00Z,30.3288,-87.8293,1.754,18.0,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-23T01:00:00Z,30.3288,-87.8293,1.781,17.83,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-23T02:00:00Z,30.3288,-87.8293,1.812,17.84,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-23T03:00:00Z,30.3288,-87.8293,1.834,17.78,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-23T04:00:00Z,30.3288,-87.8293,1.855,17.74,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-23T05:00:00Z,30.3288,-87.8293,1.873,17.66,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-23T06:00:00Z,30.3288,-87.8293,1.923,17.67,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-23T07:00:00Z,30.3288,-87.8293,1.953,17.6,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-23T08:00:00Z,30.3288,-87.8293,1.955,17.49,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-23T09:00:00Z,30.3288,-87.8293,1.963,18.03,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-23T10:00:00Z,30.3288,-87.8293,1.975,17.84,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-23T11:00:00Z,30.3288,-87.8293,2.011,17.13,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-23T12:30:00Z,30.3288,-87.8293,2.062,16.94,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-23T13:00:00Z,30.3288,-87.8293,2.072,17.24,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-23T14:00:00Z,30.3288,-87.8293,2.085,18.21,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-23T15:00:00Z,30.3288,-87.8293,2.114,17.37,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-23T16:30:00Z,30.3288,-87.8293,2.08,19.71,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-23T17:00:00Z,30.3288,-87.8293,2.063,19.71,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-23T18:00:00Z,30.3288,-87.8293,2.056,19.68,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-23T19:00:00Z,30.3288,-87.8293,2.04,20.54,1111122 
DISL,ioos:station:DISL:BSCA:1,2018-09-23T20:30:00Z,30.3288,-87.8293,1.931,20.31,1111122 
