owner,sensor,date,latitude,longitude,vertical_datum,sea_water_temperature,qcFlag 
DISL,ioos:station:DISL:BSCA:1,2018-09-20T14:30:00Z,30.3288,-87.8293,0.0,31.64,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-20T15:00:00Z,30.3288,-87.8293,0.0,31.61,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-20T16:30:00Z,30.3288,-87.8293,0.0,31.69,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-20T17:30:00Z,30.3288,-87.8293,0.0,31.54,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-20T18:00:00Z,30.3288,-87.8293,0.0,31.54,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-20T19:00:00Z,30.3288,-87.8293,0.0,31.61,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-20T20:30:00Z,30.3288,-87.8293,0.0,32.15,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-20T21:00:00Z,30.3288,-87.8293,0.0,32.4,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-20T22:00:00Z,30.3288,-87.8293,0.0,32.39,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-20T23:00:00Z,30.3288,-87.8293,0.0,32.31,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-21T00:30:00Z,30.3288,-87.8293,0.0,32.12,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-21T01:00:00Z,30.3288,-87.8293,0.0,32.03,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-21T02:00:00Z,30.3288,-87.8293,0.0,31.86,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-21T03:00:00Z,30.3288,-87.8293,0.0,31.83,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-21T04:30:00Z,30.3288,-87.8293,0.0,31.87,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-21T05:00:00Z,30.3288,-87.8293,0.0,31.85,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-21T06:00:00Z,30.3288,-87.8293,0.0,31.79,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-21T07:00:00Z,30.3288,-87.8293,0.0,31.73,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-21T08:30:00Z,30.3288,-87.8293,0.0,31.65,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-21T09:30:00Z,30.3288,-87.8293,0.0,31.48,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-21T10:00:00Z,30.3288,-87.8293,0.0,31.42,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-21T11:00:00Z,30.3288,-87.8293,0.0,31.38,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-21T12:30:00Z,30.3288,-87.8293,0.0,31.31,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-21T13:00:00Z,30.3288,-87.8293,0.0,31.16,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-21T14:00:00Z,30.3288,-87.8293,0.0,31.23,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-21T15:00:00Z,30.3288,-87.8293,0.0,31.05,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-21T16:30:00Z,30.3288,-87.8293,0.0,31.18,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-21T17:00:00Z,30.3288,-87.8293,0.0,31.2,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-21T18:30:00Z,30.3288,-87.8293,0.0,31.19,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-21T19:00:00Z,30.3288,-87.8293,0.0,31.3,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-21T20:30:00Z,30.3288,-87.8293,0.0,31.35,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-21T21:00:00Z,30.3288,-87.8293,0.0,31.35,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-21T22:00:00Z,30.3288,-87.8293,0.0,31.41,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-21T23:00:00Z,30.3288,-87.8293,0.0,31.31,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-22T00:30:00Z,30.3288,-87.8293,0.0,31.27,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-22T01:00:00Z,30.3288,-87.8293,0.0,31.27,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-22T02:00:00Z,30.3288,-87.8293,0.0,31.22,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-22T03:00:00Z,30.3288,-87.8293,0.0,31.13,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-22T04:00:00Z,30.3288,-87.8293,0.0,31.04,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-22T05:00:00Z,30.3288,-87.8293,0.0,30.96,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-22T06:00:00Z,30.3288,-87.8293,0.0,31.02,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-22T07:00:00Z,30.3288,-87.8293,0.0,31.02,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-22T08:30:00Z,30.3288,-87.8293,0.0,31.0,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-22T09:00:00Z,30.3288,-87.8293,0.0,30.99,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-22T10:30:00Z,30.3288,-87.8293,0.0,30.91,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-22T11:00:00Z,30.3288,-87.8293,0.0,30.9,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-22T12:30:00Z,30.3288,-87.8293,0.0,30.87,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-22T13:00:00Z,30.3288,-87.8293,0.0,30.84,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-22T14:00:00Z,30.3288,-87.8293,0.0,30.83,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-22T15:00:00Z,30.3288,-87.8293,0.0,30.79,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-22T16:30:00Z,30.3288,-87.8293,0.0,30.86,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-22T17:00:00Z,30.3288,-87.8293,0.0,30.78,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-22T18:00:00Z,30.3288,-87.8293,0.0,30.85,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-22T19:00:00Z,30.3288,-87.8293,0.0,31.05,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-22T20:30:00Z,30.3288,-87.8293,0.0,31.28,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-22T21:00:00Z,30.3288,-87.8293,0.0,31.39,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-22T22:00:00Z,30.3288,-87.8293,0.0,31.46,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-22T23:00:00Z,30.3288,-87.8293,0.0,31.39,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-23T00:30:00Z,30.3288,-87.8293,0.0,31.19,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-23T01:00:00Z,30.3288,-87.8293,0.0,31.12,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-23T02:00:00Z,30.3288,-87.8293,0.0,31.02,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-23T03:00:00Z,30.3288,-87.8293,0.0,30.89,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-23T04:30:00Z,30.3288,-87.8293,0.0,30.69,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-23T05:00:00Z,30.3288,-87.8293,0.0,30.74,11111222 
DISL,ioos:station:DISL:BSCA:1,2018-09-23T06:00:00Z,30.3288,-87.8293,0.0,30.72,11111222 
