owner,sensor,date,latitude,longitude,vertical_datum,sea_water_temperature,qcFlag 
TABS,ioos:station:TABS:X:1,2018-08-11T17:30:00Z,27.0660,-96.3383,-2.0,29.99,11111222 
TABS,ioos:station:TABS:X:1,2018-08-11T18:00:00Z,27.0660,-96.3383,-2.0,29.96,11111222 
TABS,ioos:station:TABS:X:1,2018-08-11T18:30:00Z,27.0660,-96.3383,-2.0,29.95,11111222 
TABS,ioos:station:TABS:X:1,2018-08-11T19:00:00Z,27.0660,-96.3383,-2.0,29.93,11111222 
TABS,ioos:station:TABS:X:1,2018-08-11T19:30:00Z,27.0660,-96.3383,-2.0,29.89,11111222 
TABS,ioos:station:TABS:X:1,2018-08-11T20:00:00Z,27.0660,-96.3383,-2.0,29.86,11111222 
TABS,ioos:station:TABS:X:1,2018-08-11T20:30:00Z,27.0660,-96.3383,-2.0,29.85,11111222 
TABS,ioos:station:TABS:X:1,2018-08-11T21:00:00Z,27.0660,-96.3383,-2.0,29.85,11111222 
TABS,ioos:station:TABS:X:1,2018-08-11T21:30:00Z,27.0660,-96.3383,-2.0,29.84,11111222 
TABS,ioos:station:TABS:X:1,2018-08-11T22:00:00Z,27.0660,-96.3383,-2.0,29.82,11111222 
TABS,ioos:station:TABS:X:1,2018-08-11T22:30:00Z,27.0660,-96.3383,-2.0,29.81,11111222 
TABS,ioos:station:TABS:X:1,2018-08-11T23:00:00Z,27.0660,-96.3383,-2.0,29.82,11111222 
TABS,ioos:station:TABS:X:1,2018-08-11T23:30:00Z,27.0660,-96.3383,-2.0,29.81,11111222 
TABS,ioos:station:TABS:X:1,2018-08-12T00:00:00Z,27.0660,-96.3383,-2.0,29.8,11111222 
TABS,ioos:station:TABS:X:1,2018-08-12T00:30:00Z,27.0660,-96.3383,-2.0,29.79,11111222 
TABS,ioos:station:TABS:X:1,2018-08-12T01:00:00Z,27.0660,-96.3383,-2.0,29.78,11111222 
TABS,ioos:station:TABS:X:1,2018-08-12T01:30:00Z,27.0660,-96.3383,-2.0,29.77,11111222 
TABS,ioos:station:TABS:X:1,2018-08-12T02:00:00Z,27.0660,-96.3383,-2.0,29.76,11111222 
TABS,ioos:station:TABS:X:1,2018-08-12T02:30:00Z,27.0660,-96.3383,-2.0,29.76,11111222 
TABS,ioos:station:TABS:X:1,2018-08-12T03:00:00Z,27.0660,-96.3383,-2.0,29.75,11111222 
TABS,ioos:station:TABS:X:1,2018-08-12T03:30:00Z,27.0660,-96.3383,-2.0,29.74,11111222 
TABS,ioos:station:TABS:X:1,2018-08-12T04:00:00Z,27.0660,-96.3383,-2.0,29.72,11111222 
TABS,ioos:station:TABS:X:1,2018-08-12T04:30:00Z,27.0660,-96.3383,-2.0,29.72,11111222 
TABS,ioos:station:TABS:X:1,2018-08-12T05:00:00Z,27.0660,-96.3383,-2.0,29.73,11111222 
TABS,ioos:station:TABS:X:1,2018-08-12T05:30:00Z,27.0660,-96.3383,-2.0,29.73,11111222 
TABS,ioos:station:TABS:X:1,2018-08-12T06:00:00Z,27.0660,-96.3383,-2.0,29.71,11111222 
TABS,ioos:station:TABS:X:1,2018-08-12T06:30:00Z,27.0660,-96.3383,-2.0,29.71,11111222 
TABS,ioos:station:TABS:X:1,2018-08-12T07:00:00Z,27.0660,-96.3383,-2.0,29.7,11111222 
TABS,ioos:station:TABS:X:1,2018-08-12T07:30:00Z,27.0660,-96.3383,-2.0,29.69,11111222 
TABS,ioos:station:TABS:X:1,2018-08-12T08:00:00Z,27.0660,-96.3383,-2.0,29.68,11111222 
TABS,ioos:station:TABS:X:1,2018-08-12T08:30:00Z,27.0660,-96.3383,-2.0,29.68,11111222 
TABS,ioos:station:TABS:X:1,2018-08-12T09:00:00Z,27.0660,-96.3383,-2.0,29.68,11111222 
TABS,ioos:station:TABS:X:1,2018-08-12T09:30:00Z,27.0660,-96.3383,-2.0,29.67,11111222 
TABS,ioos:station:TABS:X:1,2018-08-12T10:00:00Z,27.0660,-96.3383,-2.0,29.66,11111222 
TABS,ioos:station:TABS:X:1,2018-08-12T10:30:00Z,27.0660,-96.3383,-2.0,29.65,11111222 
TABS,ioos:station:TABS:X:1,2018-08-12T11:00:00Z,27.0660,-96.3383,-2.0,29.64,11111222 
TABS,ioos:station:TABS:X:1,2018-08-12T11:30:00Z,27.0660,-96.3383,-2.0,29.63,11111222 
TABS,ioos:station:TABS:X:1,2018-08-12T12:00:00Z,27.0660,-96.3383,-2.0,29.62,11111222 
TABS,ioos:station:TABS:X:1,2018-08-12T12:30:00Z,27.0660,-96.3383,-2.0,29.61,11111222 
TABS,ioos:station:TABS:X:1,2018-08-12T13:00:00Z,27.0660,-96.3383,-2.0,29.61,11111222 
TABS,ioos:station:TABS:X:1,2018-08-12T13:30:00Z,27.0660,-96.3383,-2.0,29.6,11111222 
TABS,ioos:station:TABS:X:1,2018-08-12T14:00:00Z,27.0660,-96.3383,-2.0,29.6,11111222 
