owner,sensor,date,latitude,longitude,vertical_datum,sea_water_practical_salinity,qcFlag 
TABS,ioos:station:wmo:42050:1,2018-08-01T00:00:00Z,28.8425,-94.2433,2.0,36.2439,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T00:30:00Z,28.8425,-94.2433,2.0,36.2312,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T01:00:00Z,28.8425,-94.2433,2.0,36.2387,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T01:30:00Z,28.8425,-94.2433,2.0,36.2451,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T02:00:00Z,28.8425,-94.2433,2.0,36.2364,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T02:30:00Z,28.8425,-94.2433,2.0,36.2511,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T03:00:00Z,28.8425,-94.2433,2.0,36.2661,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T03:30:00Z,28.8425,-94.2433,2.0,36.2553,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T04:00:00Z,28.8425,-94.2433,2.0,36.2615,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T04:30:00Z,28.8425,-94.2433,2.0,36.2558,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T05:00:00Z,28.8425,-94.2433,2.0,36.2637,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T05:30:00Z,28.8425,-94.2433,2.0,36.2582,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T06:00:00Z,28.8425,-94.2433,2.0,36.2597,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T06:30:00Z,28.8425,-94.2433,2.0,36.2647,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T07:00:00Z,28.8425,-94.2433,2.0,36.2653,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T07:30:00Z,28.8425,-94.2433,2.0,36.2633,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T08:00:00Z,28.8425,-94.2433,2.0,36.2487,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T08:30:00Z,28.8425,-94.2433,2.0,36.2214,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T09:00:00Z,28.8425,-94.2433,2.0,36.2123,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T09:30:00Z,28.8425,-94.2433,2.0,36.218,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T10:00:00Z,28.8425,-94.2433,2.0,36.2369,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T10:30:00Z,28.8425,-94.2433,2.0,36.2399,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T11:00:00Z,28.8425,-94.2433,2.0,36.2455,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T11:30:00Z,28.8425,-94.2433,2.0,36.2473,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T12:00:00Z,28.8425,-94.2433,2.0,36.2499,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T12:30:00Z,28.8425,-94.2433,2.0,36.2497,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T13:00:00Z,28.8425,-94.2433,2.0,36.2479,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T13:30:00Z,28.8425,-94.2433,2.0,36.2522,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T14:00:00Z,28.8425,-94.2433,2.0,36.253,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T14:30:00Z,28.8425,-94.2433,2.0,36.2568,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T15:00:00Z,28.8425,-94.2433,2.0,36.2597,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T15:30:00Z,28.8425,-94.2433,2.0,36.259,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T16:00:00Z,28.8425,-94.2433,2.0,36.2615,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T16:30:00Z,28.8425,-94.2433,2.0,36.2575,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T17:00:00Z,28.8425,-94.2433,2.0,36.2569,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T17:30:00Z,28.8425,-94.2433,2.0,36.2557,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T18:00:00Z,28.8425,-94.2433,2.0,36.2588,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T18:30:00Z,28.8425,-94.2433,2.0,36.227,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T19:00:00Z,28.8425,-94.2433,2.0,36.2341,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T19:30:00Z,28.8425,-94.2433,2.0,36.1976,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T20:00:00Z,28.8425,-94.2433,2.0,36.1761,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T20:30:00Z,28.8425,-94.2433,2.0,36.165,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T21:00:00Z,28.8425,-94.2433,2.0,36.1791,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T21:30:00Z,28.8425,-94.2433,2.0,36.1769,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T22:00:00Z,28.8425,-94.2433,2.0,36.1769,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T22:30:00Z,28.8425,-94.2433,2.0,36.175,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T23:00:00Z,28.8425,-94.2433,2.0,36.1595,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T23:30:00Z,28.8425,-94.2433,2.0,36.1472,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-02T00:00:00Z,28.8425,-94.2433,2.0,36.1442,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-02T00:30:00Z,28.8425,-94.2433,2.0,36.1512,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-02T01:00:00Z,28.8425,-94.2433,2.0,36.1497,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-02T01:30:00Z,28.8425,-94.2433,2.0,36.0594,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-02T02:00:00Z,28.8425,-94.2433,2.0,36.0353,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-02T02:30:00Z,28.8425,-94.2433,2.0,36.0395,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-02T03:00:00Z,28.8425,-94.2433,2.0,36.0167,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-02T03:30:00Z,28.8425,-94.2433,2.0,36.0091,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-02T04:00:00Z,28.8425,-94.2433,2.0,35.9972,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-02T04:30:00Z,28.8425,-94.2433,2.0,35.9861,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-02T05:00:00Z,28.8425,-94.2433,2.0,35.993,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-02T05:30:00Z,28.8425,-94.2433,2.0,35.9956,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-02T06:00:00Z,28.8425,-94.2433,2.0,36.0026,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-02T06:30:00Z,28.8425,-94.2433,2.0,35.9973,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-02T07:00:00Z,28.8425,-94.2433,2.0,36.0069,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-02T07:30:00Z,28.8425,-94.2433,2.0,36.0102,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-02T08:00:00Z,28.8425,-94.2433,2.0,36.012,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-02T08:30:00Z,28.8425,-94.2433,2.0,36.0158,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-02T09:00:00Z,28.8425,-94.2433,2.0,36.0211,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-02T09:30:00Z,28.8425,-94.2433,2.0,36.0229,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-02T10:00:00Z,28.8425,-94.2433,2.0,36.0331,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-02T10:30:00Z,28.8425,-94.2433,2.0,36.0424,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-02T11:00:00Z,28.8425,-94.2433,2.0,36.0622,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-02T11:30:00Z,28.8425,-94.2433,2.0,36.0563,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-02T12:00:00Z,28.8425,-94.2433,2.0,36.0751,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-02T12:30:00Z,28.8425,-94.2433,2.0,36.0875,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-02T13:00:00Z,28.8425,-94.2433,2.0,36.1026,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-02T13:30:00Z,28.8425,-94.2433,2.0,36.1138,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-02T14:00:00Z,28.8425,-94.2433,2.0,36.1212,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-02T14:30:00Z,28.8425,-94.2433,2.0,36.1333,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-02T15:00:00Z,28.8425,-94.2433,2.0,36.1381,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-02T15:30:00Z,28.8425,-94.2433,2.0,36.1424,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-02T16:00:00Z,28.8425,-94.2433,2.0,36.1484,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-02T16:30:00Z,28.8425,-94.2433,2.0,36.1423,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-02T17:00:00Z,28.8425,-94.2433,2.0,36.1408,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-02T17:30:00Z,28.8425,-94.2433,2.0,36.1396,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-02T18:00:00Z,28.8425,-94.2433,2.0,36.1372,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-02T18:30:00Z,28.8425,-94.2433,2.0,36.1354,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-02T19:00:00Z,28.8425,-94.2433,2.0,36.1239,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-02T19:30:00Z,28.8425,-94.2433,2.0,36.1093,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-02T20:00:00Z,28.8425,-94.2433,2.0,36.1051,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-02T20:30:00Z,28.8425,-94.2433,2.0,36.0946,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-02T21:00:00Z,28.8425,-94.2433,2.0,36.0845,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-02T21:30:00Z,28.8425,-94.2433,2.0,36.0592,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-02T22:00:00Z,28.8425,-94.2433,2.0,36.0544,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-02T22:30:00Z,28.8425,-94.2433,2.0,36.0162,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-02T23:00:00Z,28.8425,-94.2433,2.0,36.019,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-02T23:30:00Z,28.8425,-94.2433,2.0,36.0365,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-03T00:00:00Z,28.8425,-94.2433,2.0,36.0001,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-03T00:30:00Z,28.8425,-94.2433,2.0,36.0053,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-03T01:00:00Z,28.8425,-94.2433,2.0,36.0177,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-03T01:30:00Z,28.8425,-94.2433,2.0,36.0084,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-03T02:00:00Z,28.8425,-94.2433,2.0,36.0191,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-03T02:30:00Z,28.8425,-94.2433,2.0,36.0013,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-03T03:00:00Z,28.8425,-94.2433,2.0,36.0156,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-03T03:30:00Z,28.8425,-94.2433,2.0,36.0222,11111222 
