owner,sensor,date,latitude,longitude,vertical_datum,sea_water_temperature,qcFlag 
TABS,ioos:station:wmo:42050:1,2018-08-01T00:00:00Z,28.8425,-94.2433,-2.0,29.84,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T00:30:00Z,28.8425,-94.2433,-2.0,29.83,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T01:00:00Z,28.8425,-94.2433,-2.0,29.83,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T01:30:00Z,28.8425,-94.2433,-2.0,29.83,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T02:00:00Z,28.8425,-94.2433,-2.0,29.82,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T02:30:00Z,28.8425,-94.2433,-2.0,29.82,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T03:00:00Z,28.8425,-94.2433,-2.0,29.82,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T03:30:00Z,28.8425,-94.2433,-2.0,29.8,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T04:00:00Z,28.8425,-94.2433,-2.0,29.8,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T04:30:00Z,28.8425,-94.2433,-2.0,29.79,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T05:00:00Z,28.8425,-94.2433,-2.0,29.78,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T05:30:00Z,28.8425,-94.2433,-2.0,29.78,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T06:00:00Z,28.8425,-94.2433,-2.0,29.78,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T06:30:00Z,28.8425,-94.2433,-2.0,29.78,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T07:00:00Z,28.8425,-94.2433,-2.0,29.78,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T07:30:00Z,28.8425,-94.2433,-2.0,29.78,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T08:00:00Z,28.8425,-94.2433,-2.0,29.77,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T08:30:00Z,28.8425,-94.2433,-2.0,29.74,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T09:00:00Z,28.8425,-94.2433,-2.0,29.73,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T09:30:00Z,28.8425,-94.2433,-2.0,29.74,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T10:00:00Z,28.8425,-94.2433,-2.0,29.73,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T10:30:00Z,28.8425,-94.2433,-2.0,29.73,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T11:00:00Z,28.8425,-94.2433,-2.0,29.73,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T11:30:00Z,28.8425,-94.2433,-2.0,29.71,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T12:00:00Z,28.8425,-94.2433,-2.0,29.71,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T12:30:00Z,28.8425,-94.2433,-2.0,29.69,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T13:00:00Z,28.8425,-94.2433,-2.0,29.68,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T13:30:00Z,28.8425,-94.2433,-2.0,29.68,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T14:00:00Z,28.8425,-94.2433,-2.0,29.67,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T14:30:00Z,28.8425,-94.2433,-2.0,29.68,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T15:00:00Z,28.8425,-94.2433,-2.0,29.69,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T15:30:00Z,28.8425,-94.2433,-2.0,29.7,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T16:00:00Z,28.8425,-94.2433,-2.0,29.72,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T16:30:00Z,28.8425,-94.2433,-2.0,29.74,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T17:00:00Z,28.8425,-94.2433,-2.0,29.77,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T17:30:00Z,28.8425,-94.2433,-2.0,29.82,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T18:00:00Z,28.8425,-94.2433,-2.0,29.86,11111222 
TABS,ioos:station:wmo:42050:1,2018-08-01T18:30:00Z,28.8425,-94.2433,-2.0,29.9,11111222 
