owner,sensor,date,latitude,longitude,vertical_datum,sea_water_practical_salinity,qcFlag 
TABS,ioos:station:wmo:42050:1,2018-09-01T00:00:00Z,28.8425,-94.2433,2.0,36.1546,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-01T00:30:00Z,28.8425,-94.2433,2.0,36.1539,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-01T01:00:00Z,28.8425,-94.2433,2.0,36.155,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-01T01:30:00Z,28.8425,-94.2433,2.0,36.1482,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-01T02:00:00Z,28.8425,-94.2433,2.0,36.1456,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-01T02:30:00Z,28.8425,-94.2433,2.0,36.147,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-03T15:30:00Z,28.8425,-94.2433,2.0,36.0312,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-03T16:00:00Z,28.8425,-94.2433,2.0,36.0395,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-03T16:30:00Z,28.8425,-94.2433,2.0,36.036,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-03T17:00:00Z,28.8425,-94.2433,2.0,36.0404,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-03T17:30:00Z,28.8425,-94.2433,2.0,36.0398,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-03T18:00:00Z,28.8425,-94.2433,2.0,36.0311,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-03T18:30:00Z,28.8425,-94.2433,2.0,36.0262,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-03T19:00:00Z,28.8425,-94.2433,2.0,36.0088,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-03T19:30:00Z,28.8425,-94.2433,2.0,35.9934,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-03T20:00:00Z,28.8425,-94.2433,2.0,35.9825,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-03T20:30:00Z,28.8425,-94.2433,2.0,35.9694,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-03T21:00:00Z,28.8425,-94.2433,2.0,35.9642,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-03T21:30:00Z,28.8425,-94.2433,2.0,35.9703,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-03T22:00:00Z,28.8425,-94.2433,2.0,35.9828,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-04T09:00:00Z,28.8425,-94.2433,2.0,35.9683,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-04T09:30:00Z,28.8425,-94.2433,2.0,35.966,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-04T10:00:00Z,28.8425,-94.2433,2.0,35.9067,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-04T10:30:00Z,28.8425,-94.2433,2.0,35.9126,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-04T11:00:00Z,28.8425,-94.2433,2.0,35.9354,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-04T11:30:00Z,28.8425,-94.2433,2.0,35.9342,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-04T12:00:00Z,28.8425,-94.2433,2.0,35.9406,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-04T12:30:00Z,28.8425,-94.2433,2.0,35.9463,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-04T13:00:00Z,28.8425,-94.2433,2.0,35.9405,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-04T13:30:00Z,28.8425,-94.2433,2.0,35.9442,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-04T14:00:00Z,28.8425,-94.2433,2.0,35.9431,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-04T14:30:00Z,28.8425,-94.2433,2.0,35.9522,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-04T15:00:00Z,28.8425,-94.2433,2.0,35.961,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-04T15:30:00Z,28.8425,-94.2433,2.0,35.9722,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-04T16:00:00Z,28.8425,-94.2433,2.0,35.9903,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-04T16:30:00Z,28.8425,-94.2433,2.0,35.9891,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-04T17:00:00Z,28.8425,-94.2433,2.0,35.9932,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-04T17:30:00Z,28.8425,-94.2433,2.0,35.9938,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-04T18:00:00Z,28.8425,-94.2433,2.0,35.9823,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-04T18:30:00Z,28.8425,-94.2433,2.0,35.9689,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-04T19:00:00Z,28.8425,-94.2433,2.0,35.8859,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-04T19:30:00Z,28.8425,-94.2433,2.0,35.9315,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-04T20:00:00Z,28.8425,-94.2433,2.0,35.9189,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-04T20:30:00Z,28.8425,-94.2433,2.0,35.8654,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-04T21:00:00Z,28.8425,-94.2433,2.0,35.8814,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-04T21:30:00Z,28.8425,-94.2433,2.0,35.907,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-04T22:00:00Z,28.8425,-94.2433,2.0,35.9474,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-04T22:30:00Z,28.8425,-94.2433,2.0,35.9522,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-04T23:00:00Z,28.8425,-94.2433,2.0,35.9705,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-04T23:30:00Z,28.8425,-94.2433,2.0,35.9832,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-05T00:00:00Z,28.8425,-94.2433,2.0,35.9887,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-05T00:30:00Z,28.8425,-94.2433,2.0,35.9903,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-05T01:00:00Z,28.8425,-94.2433,2.0,35.9822,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-05T01:30:00Z,28.8425,-94.2433,2.0,35.9793,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-05T02:00:00Z,28.8425,-94.2433,2.0,35.9838,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-05T02:30:00Z,28.8425,-94.2433,2.0,35.987,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-05T03:00:00Z,28.8425,-94.2433,2.0,35.9886,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-05T03:30:00Z,28.8425,-94.2433,2.0,35.9862,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-05T04:00:00Z,28.8425,-94.2433,2.0,35.9917,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-05T04:30:00Z,28.8425,-94.2433,2.0,35.9874,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-05T05:00:00Z,28.8425,-94.2433,2.0,35.991,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-05T05:30:00Z,28.8425,-94.2433,2.0,35.9901,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-05T06:00:00Z,28.8425,-94.2433,2.0,35.9906,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-05T06:30:00Z,28.8425,-94.2433,2.0,35.9875,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-05T07:00:00Z,28.8425,-94.2433,2.0,35.9889,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-05T07:30:00Z,28.8425,-94.2433,2.0,35.9864,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-05T08:00:00Z,28.8425,-94.2433,2.0,35.9899,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-05T08:30:00Z,28.8425,-94.2433,2.0,35.9925,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-05T09:00:00Z,28.8425,-94.2433,2.0,35.9956,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-05T09:30:00Z,28.8425,-94.2433,2.0,35.999,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-05T10:00:00Z,28.8425,-94.2433,2.0,35.999,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-05T10:30:00Z,28.8425,-94.2433,2.0,35.9968,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-05T11:00:00Z,28.8425,-94.2433,2.0,35.9995,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-05T11:30:00Z,28.8425,-94.2433,2.0,35.9997,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-05T12:00:00Z,28.8425,-94.2433,2.0,36.0037,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-05T12:30:00Z,28.8425,-94.2433,2.0,36.0008,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-05T13:00:00Z,28.8425,-94.2433,2.0,36.0081,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-05T13:30:00Z,28.8425,-94.2433,2.0,36.0054,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-05T14:00:00Z,28.8425,-94.2433,2.0,36.0024,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-05T14:30:00Z,28.8425,-94.2433,2.0,35.9867,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-05T15:00:00Z,28.8425,-94.2433,2.0,35.9819,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-05T15:30:00Z,28.8425,-94.2433,2.0,35.9753,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-05T16:00:00Z,28.8425,-94.2433,2.0,35.9719,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-05T16:30:00Z,28.8425,-94.2433,2.0,35.9796,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-05T17:00:00Z,28.8425,-94.2433,2.0,35.9419,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-05T17:30:00Z,28.8425,-94.2433,2.0,35.9838,11111222 
TABS,ioos:station:wmo:42050:1,2018-09-05T18:00:00Z,28.8425,-94.2433,2.0,35.9938,11111222 
