owner,sensor,date,latitude,longitude,vertical_datum,sea_water_practical_salinity,qcFlag 
TABS,ioos:station:wmo:42051:1,2018-08-01T00:00:00Z,29.6350,-93.6417,2.0,34.0654,11111222 
TABS,ioos:station:wmo:42051:1,2018-08-01T00:30:00Z,29.6350,-93.6417,2.0,34.0704,11111222 
TABS,ioos:station:wmo:42051:1,2018-08-01T01:00:00Z,29.6350,-93.6417,2.0,34.096,11111222 
TABS,ioos:station:wmo:42051:1,2018-08-01T01:30:00Z,29.6350,-93.6417,2.0,34.0992,11111222 
TABS,ioos:station:wmo:42051:1,2018-08-01T02:00:00Z,29.6350,-93.6417,2.0,34.1117,11111222 
TABS,ioos:station:wmo:42051:1,2018-08-01T02:30:00Z,29.6350,-93.6417,2.0,34.1024,11111222 
TABS,ioos:station:wmo:42051:1,2018-08-01T03:00:00Z,29.6350,-93.6417,2.0,34.1108,11111222 
TABS,ioos:station:wmo:42051:1,2018-08-01T03:30:00Z,29.6350,-93.6417,2.0,34.116,11111222 
TABS,ioos:station:wmo:42051:1,2018-08-01T04:00:00Z,29.6350,-93.6417,2.0,34.1236,11111222 
TABS,ioos:station:wmo:42051:1,2018-08-01T04:30:00Z,29.6350,-93.6417,2.0,34.1216,11111222 
TABS,ioos:station:wmo:42051:1,2018-08-01T05:00:00Z,29.6350,-93.6417,2.0,34.1282,11111222 
TABS,ioos:station:wmo:42051:1,2018-08-01T05:30:00Z,29.6350,-93.6417,2.0,34.1314,11111222 
TABS,ioos:station:wmo:42051:1,2018-08-01T06:00:00Z,29.6350,-93.6417,2.0,34.1325,11111222 
TABS,ioos:station:wmo:42051:1,2018-08-01T06:30:00Z,29.6350,-93.6417,2.0,34.1347,11111222 
TABS,ioos:station:wmo:42051:1,2018-08-01T07:00:00Z,29.6350,-93.6417,2.0,34.1409,11111222 
TABS,ioos:station:wmo:42051:1,2018-08-01T07:30:00Z,29.6350,-93.6417,2.0,34.1478,11111222 
TABS,ioos:station:wmo:42051:1,2018-08-01T08:00:00Z,29.6350,-93.6417,2.0,34.1621,11111222 
TABS,ioos:station:wmo:42051:1,2018-08-01T08:30:00Z,29.6350,-93.6417,2.0,34.1681,11111222 
TABS,ioos:station:wmo:42051:1,2018-08-01T09:00:00Z,29.6350,-93.6417,2.0,34.1881,11111222 
TABS,ioos:station:wmo:42051:1,2018-08-01T09:30:00Z,29.6350,-93.6417,2.0,34.2067,11111222 
TABS,ioos:station:wmo:42051:1,2018-08-01T10:00:00Z,29.6350,-93.6417,2.0,34.2224,11111222 
TABS,ioos:station:wmo:42051:1,2018-08-01T10:30:00Z,29.6350,-93.6417,2.0,34.2304,11111222 
TABS,ioos:station:wmo:42051:1,2018-08-01T11:00:00Z,29.6350,-93.6417,2.0,34.2461,11111222 
TABS,ioos:station:wmo:42051:1,2018-08-01T11:30:00Z,29.6350,-93.6417,2.0,34.2578,11111222 
TABS,ioos:station:wmo:42051:1,2018-08-01T12:00:00Z,29.6350,-93.6417,2.0,34.2306,11111222 
TABS,ioos:station:wmo:42051:1,2018-08-01T12:30:00Z,29.6350,-93.6417,2.0,34.2227,11111222 
TABS,ioos:station:wmo:42051:1,2018-08-01T13:00:00Z,29.6350,-93.6417,2.0,34.2279,11111222 
TABS,ioos:station:wmo:42051:1,2018-08-01T13:30:00Z,29.6350,-93.6417,2.0,34.2248,11111222 
TABS,ioos:station:wmo:42051:1,2018-08-01T14:00:00Z,29.6350,-93.6417,2.0,34.2266,11111222 
TABS,ioos:station:wmo:42051:1,2018-08-01T14:30:00Z,29.6350,-93.6417,2.0,34.2272,11111222 
TABS,ioos:station:wmo:42051:1,2018-08-01T15:00:00Z,29.6350,-93.6417,2.0,34.2176,11111222 
TABS,ioos:station:wmo:42051:1,2018-08-01T15:30:00Z,29.6350,-93.6417,2.0,34.213,11111222 
TABS,ioos:station:wmo:42051:1,2018-08-01T16:00:00Z,29.6350,-93.6417,2.0,34.2076,11111222 
TABS,ioos:station:wmo:42051:1,2018-08-01T16:30:00Z,29.6350,-93.6417,2.0,34.2066,11111222 
TABS,ioos:station:wmo:42051:1,2018-08-01T17:00:00Z,29.6350,-93.6417,2.0,34.2032,11111222 
TABS,ioos:station:wmo:42051:1,2018-08-01T17:30:00Z,29.6350,-93.6417,2.0,34.2038,11111222 
TABS,ioos:station:wmo:42051:1,2018-08-01T18:00:00Z,29.6350,-93.6417,2.0,34.2061,11111222 
TABS,ioos:station:wmo:42051:1,2018-08-01T18:30:00Z,29.6350,-93.6417,2.0,34.2011,11111222 
TABS,ioos:station:wmo:42051:1,2018-08-01T19:00:00Z,29.6350,-93.6417,2.0,34.1823,11111222 
TABS,ioos:station:wmo:42051:1,2018-08-01T19:30:00Z,29.6350,-93.6417,2.0,34.2083,11111222 
TABS,ioos:station:wmo:42051:1,2018-08-01T20:00:00Z,29.6350,-93.6417,2.0,34.1518,11111222 
TABS,ioos:station:wmo:42051:1,2018-08-01T20:30:00Z,29.6350,-93.6417,2.0,34.1715,11111222 
TABS,ioos:station:wmo:42051:1,2018-08-01T21:00:00Z,29.6350,-93.6417,2.0,34.1598,11111222 
TABS,ioos:station:wmo:42051:1,2018-08-01T21:30:00Z,29.6350,-93.6417,2.0,34.1627,11111222 
TABS,ioos:station:wmo:42051:1,2018-08-01T22:00:00Z,29.6350,-93.6417,2.0,34.133,11111222 
TABS,ioos:station:wmo:42051:1,2018-08-01T22:30:00Z,29.6350,-93.6417,2.0,34.1223,11111222 
TABS,ioos:station:wmo:42051:1,2018-08-01T23:00:00Z,29.6350,-93.6417,2.0,34.1811,11111222 
TABS,ioos:station:wmo:42051:1,2018-08-01T23:30:00Z,29.6350,-93.6417,2.0,34.158,11111222 
TABS,ioos:station:wmo:42051:1,2018-08-02T00:00:00Z,29.6350,-93.6417,2.0,34.0954,11111222 
