owner,sensor,date,latitude,longitude,air_pressure(mBar),qcFlag 
NDBC,ioos:station:wmo:42055:1,2018-08-01T00:40:00Z,22.2030,-94.0000,1013.1,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-01T01:20:00Z,22.2030,-94.0000,1013.1,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-01T02:40:00Z,22.2030,-94.0000,1013.8,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-01T03:30:00Z,22.2030,-94.0000,1014.3,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-01T04:40:00Z,22.2030,-94.0000,1014.6,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-01T05:30:00Z,22.2030,-94.0000,1014.2,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-01T06:20:00Z,22.2030,-94.0000,1014.2,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-01T07:30:00Z,22.2030,-94.0000,1014.0,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-01T08:40:00Z,22.2030,-94.0000,1013.7,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-01T09:20:00Z,22.2030,-94.0000,1013.7,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-01T10:30:00Z,22.2030,-94.0000,1013.2,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-01T11:40:00Z,22.2030,-94.0000,1012.9,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-01T12:40:00Z,22.2030,-94.0000,1013.3,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-01T13:40:00Z,22.2030,-94.0000,1013.5,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-01T14:30:00Z,22.2030,-94.0000,1014.5,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-01T15:40:00Z,22.2030,-94.0000,1014.3,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-01T16:10:00Z,22.2030,-94.0000,1014.4,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-01T17:40:00Z,22.2030,-94.0000,1013.5,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-01T18:50:00Z,22.2030,-94.0000,1014.0,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-01T19:10:00Z,22.2030,-94.0000,1014.3,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-01T20:40:00Z,22.2030,-94.0000,1013.4,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-01T21:00:00Z,22.2030,-94.0000,1013.4,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-01T22:30:00Z,22.2030,-94.0000,1012.3,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-01T23:40:00Z,22.2030,-94.0000,1012.8,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-02T00:00:00Z,22.2030,-94.0000,1012.9,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-02T01:20:00Z,22.2030,-94.0000,1012.9,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-02T02:30:00Z,22.2030,-94.0000,1013.8,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-02T03:10:00Z,22.2030,-94.0000,1014.3,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-02T04:30:00Z,22.2030,-94.0000,1014.7,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-02T05:30:00Z,22.2030,-94.0000,1013.8,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-02T06:10:00Z,22.2030,-94.0000,1013.4,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-02T07:00:00Z,22.2030,-94.0000,1012.9,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-02T08:40:00Z,22.2030,-94.0000,1011.9,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-02T09:20:00Z,22.2030,-94.0000,1012.3,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-02T10:40:00Z,22.2030,-94.0000,1012.4,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-02T11:30:00Z,22.2030,-94.0000,1012.8,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-02T12:00:00Z,22.2030,-94.0000,1013.1,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-02T13:50:00Z,22.2030,-94.0000,1013.8,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-02T14:40:00Z,22.2030,-94.0000,1014.3,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-02T15:30:00Z,22.2030,-94.0000,1014.8,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-02T16:50:00Z,22.2030,-94.0000,1014.6,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-02T17:40:00Z,22.2030,-94.0000,1015.1,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-02T18:30:00Z,22.2030,-94.0000,1014.4,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-02T19:40:00Z,22.2030,-94.0000,1014.4,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-02T20:20:00Z,22.2030,-94.0000,1014.6,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-02T21:20:00Z,22.2030,-94.0000,1014.2,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-02T22:40:00Z,22.2030,-94.0000,1013.5,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-02T23:40:00Z,22.2030,-94.0000,1012.8,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-03T00:40:00Z,22.2030,-94.0000,1012.6,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-03T01:30:00Z,22.2030,-94.0000,1012.9,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-03T02:10:00Z,22.2030,-94.0000,1013.2,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-03T03:20:00Z,22.2030,-94.0000,1014.4,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-03T04:40:00Z,22.2030,-94.0000,1014.3,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-03T05:20:00Z,22.2030,-94.0000,1014.3,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-03T06:30:00Z,22.2030,-94.0000,1013.7,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-03T07:40:00Z,22.2030,-94.0000,1013.5,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-03T08:40:00Z,22.2030,-94.0000,1013.3,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-03T09:40:00Z,22.2030,-94.0000,1013.1,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-03T10:30:00Z,22.2030,-94.0000,1013.2,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-03T11:40:00Z,22.2030,-94.0000,1013.4,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-03T12:20:00Z,22.2030,-94.0000,1013.7,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-03T13:40:00Z,22.2030,-94.0000,1014.6,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-03T14:40:00Z,22.2030,-94.0000,1015.7,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-03T15:30:00Z,22.2030,-94.0000,1015.6,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-03T16:30:00Z,22.2030,-94.0000,1016.0,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-03T17:40:00Z,22.2030,-94.0000,1015.6,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-03T18:50:00Z,22.2030,-94.0000,1015.1,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-03T19:30:00Z,22.2030,-94.0000,1014.8,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-03T20:20:00Z,22.2030,-94.0000,1014.9,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-03T21:00:00Z,22.2030,-94.0000,1014.6,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-03T22:40:00Z,22.2030,-94.0000,1014.3,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-03T23:20:00Z,22.2030,-94.0000,1014.2,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-04T00:40:00Z,22.2030,-94.0000,1013.9,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-04T01:30:00Z,22.2030,-94.0000,1014.3,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-04T02:40:00Z,22.2030,-94.0000,1015.3,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-04T03:30:00Z,22.2030,-94.0000,1015.6,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-04T04:30:00Z,22.2030,-94.0000,1015.5,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-04T05:40:00Z,22.2030,-94.0000,1015.2,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-04T06:40:00Z,22.2030,-94.0000,1014.4,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-04T07:40:00Z,22.2030,-94.0000,1013.6,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-04T08:20:00Z,22.2030,-94.0000,1013.0,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-04T09:30:00Z,22.2030,-94.0000,1012.6,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-04T10:30:00Z,22.2030,-94.0000,1012.6,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-04T11:40:00Z,22.2030,-94.0000,1013.2,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-04T12:30:00Z,22.2030,-94.0000,1013.9,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-04T13:40:00Z,22.2030,-94.0000,1014.6,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-04T14:40:00Z,22.2030,-94.0000,1015.0,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-04T15:20:00Z,22.2030,-94.0000,1015.1,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-04T16:40:00Z,22.2030,-94.0000,1015.3,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-04T17:40:00Z,22.2030,-94.0000,1015.0,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-04T18:10:00Z,22.2030,-94.0000,1014.8,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-04T19:40:00Z,22.2030,-94.0000,1014.6,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-04T20:30:00Z,22.2030,-94.0000,1014.6,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-04T21:10:00Z,22.2030,-94.0000,1014.1,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-04T22:40:00Z,22.2030,-94.0000,1014.2,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-04T23:10:00Z,22.2030,-94.0000,1014.1,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-05T00:40:00Z,22.2030,-94.0000,1014.3,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-05T01:40:00Z,22.2030,-94.0000,1014.7,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-05T02:40:00Z,22.2030,-94.0000,1014.8,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-05T03:50:00Z,22.2030,-94.0000,1015.1,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-05T04:40:00Z,22.2030,-94.0000,1015.3,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-05T05:30:00Z,22.2030,-94.0000,1015.0,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-05T06:10:00Z,22.2030,-94.0000,1014.8,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-05T07:40:00Z,22.2030,-94.0000,1014.0,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-05T08:40:00Z,22.2030,-94.0000,1013.8,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-05T09:30:00Z,22.2030,-94.0000,1013.5,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-05T10:30:00Z,22.2030,-94.0000,1013.6,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-05T11:40:00Z,22.2030,-94.0000,1014.2,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-05T12:40:00Z,22.2030,-94.0000,1015.1,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-05T13:10:00Z,22.2030,-94.0000,1015.3,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-05T14:20:00Z,22.2030,-94.0000,1016.2,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-05T15:40:00Z,22.2030,-94.0000,1016.9,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-05T16:40:00Z,22.2030,-94.0000,1017.1,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-05T17:40:00Z,22.2030,-94.0000,1017.0,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-05T18:30:00Z,22.2030,-94.0000,1016.5,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-05T19:40:00Z,22.2030,-94.0000,1016.0,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-05T20:30:00Z,22.2030,-94.0000,1015.8,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-05T21:30:00Z,22.2030,-94.0000,1015.2,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-05T22:40:00Z,22.2030,-94.0000,1015.2,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-05T23:40:00Z,22.2030,-94.0000,1015.3,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-06T00:40:00Z,22.2030,-94.0000,1015.4,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-06T01:40:00Z,22.2030,-94.0000,1016.0,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-06T02:50:00Z,22.2030,-94.0000,1016.5,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-06T03:40:00Z,22.2030,-94.0000,1016.6,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-06T04:30:00Z,22.2030,-94.0000,1016.5,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-06T05:40:00Z,22.2030,-94.0000,1015.9,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-06T06:40:00Z,22.2030,-94.0000,1015.7,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-06T07:30:00Z,22.2030,-94.0000,1015.3,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-06T08:10:00Z,22.2030,-94.0000,1015.0,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-06T09:40:00Z,22.2030,-94.0000,1014.6,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-06T10:30:00Z,22.2030,-94.0000,1014.8,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-06T11:40:00Z,22.2030,-94.0000,1014.9,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-06T12:40:00Z,22.2030,-94.0000,1015.5,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-06T13:10:00Z,22.2030,-94.0000,1015.8,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-06T13:30:00Z,22.2030,-94.0000,1016.1,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-06T15:00:00Z,22.2030,-94.0000,1016.9,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-06T16:40:00Z,22.2030,-94.0000,1016.8,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-06T17:40:00Z,22.2030,-94.0000,1016.6,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-06T18:40:00Z,22.2030,-94.0000,1016.3,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-06T19:40:00Z,22.2030,-94.0000,1015.9,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-06T20:40:00Z,22.2030,-94.0000,1015.5,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-06T21:40:00Z,22.2030,-94.0000,1015.1,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-06T22:40:00Z,22.2030,-94.0000,1014.8,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-06T23:40:00Z,22.2030,-94.0000,1014.2,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-07T00:40:00Z,22.2030,-94.0000,1014.5,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-07T01:30:00Z,22.2030,-94.0000,1015.1,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-07T02:40:00Z,22.2030,-94.0000,1016.1,1111122 
NDBC,ioos:station:wmo:42055:1,2018-08-07T03:40:00Z,22.2030,-94.0000,1016.2,1111122 
