owner,sensor,date,latitude,longitude,air_temperature,qcFlag 
NDBC,ioos:station:wmo:42055:1,2018-09-01T00:40:00Z,22.2030,-94.0000,29.2,1111122 
NDBC,ioos:station:wmo:42055:1,2018-09-01T01:50:00Z,22.2030,-94.0000,29.3,1111122 
NDBC,ioos:station:wmo:42055:1,2018-09-01T02:50:00Z,22.2030,-94.0000,29.1,1111122 
NDBC,ioos:station:wmo:42055:1,2018-09-01T03:40:00Z,22.2030,-94.0000,29.2,1111122 
NDBC,ioos:station:wmo:42055:1,2018-09-01T04:40:00Z,22.2030,-94.0000,29.1,1111122 
NDBC,ioos:station:wmo:42055:1,2018-09-01T05:40:00Z,22.2030,-94.0000,29.0,1111122 
NDBC,ioos:station:wmo:42055:1,2018-09-01T06:40:00Z,22.2030,-94.0000,28.9,1111122 
NDBC,ioos:station:wmo:42055:1,2018-09-01T07:40:00Z,22.2030,-94.0000,28.8,1111122 
NDBC,ioos:station:wmo:42055:1,2018-09-01T08:40:00Z,22.2030,-94.0000,28.8,1111122 
NDBC,ioos:station:wmo:42055:1,2018-09-01T09:40:00Z,22.2030,-94.0000,28.8,1111122 
NDBC,ioos:station:wmo:42055:1,2018-09-01T10:40:00Z,22.2030,-94.0000,28.7,1111122 
NDBC,ioos:station:wmo:42055:1,2018-09-01T11:40:00Z,22.2030,-94.0000,28.8,1111122 
NDBC,ioos:station:wmo:42055:1,2018-09-01T12:50:00Z,22.2030,-94.0000,28.8,1111122 
NDBC,ioos:station:wmo:42055:1,2018-09-01T13:40:00Z,22.2030,-94.0000,28.9,1111122 
NDBC,ioos:station:wmo:42055:1,2018-09-01T14:40:00Z,22.2030,-94.0000,29.0,1111122 
NDBC,ioos:station:wmo:42055:1,2018-09-01T15:40:00Z,22.2030,-94.0000,29.1,1111122 
NDBC,ioos:station:wmo:42055:1,2018-09-01T16:40:00Z,22.2030,-94.0000,29.3,1111122 
NDBC,ioos:station:wmo:42055:1,2018-09-01T17:40:00Z,22.2030,-94.0000,29.4,1111122 
NDBC,ioos:station:wmo:42055:1,2018-09-01T18:50:00Z,22.2030,-94.0000,29.3,1111122 
NDBC,ioos:station:wmo:42055:1,2018-09-01T19:40:00Z,22.2030,-94.0000,29.4,1111122 
NDBC,ioos:station:wmo:42055:1,2018-09-01T20:40:00Z,22.2030,-94.0000,29.4,1111122 
NDBC,ioos:station:wmo:42055:1,2018-09-01T21:50:00Z,22.2030,-94.0000,29.5,1111122 
NDBC,ioos:station:wmo:42055:1,2018-09-01T22:40:00Z,22.2030,-94.0000,29.6,1111122 
NDBC,ioos:station:wmo:42055:1,2018-09-01T23:50:00Z,22.2030,-94.0000,29.5,1111122 
NDBC,ioos:station:wmo:42055:1,2018-09-02T00:40:00Z,22.2030,-94.0000,29.3,1111122 
NDBC,ioos:station:wmo:42055:1,2018-09-02T01:40:00Z,22.2030,-94.0000,29.3,1111122 
NDBC,ioos:station:wmo:42055:1,2018-09-02T02:40:00Z,22.2030,-94.0000,29.4,1111122 
NDBC,ioos:station:wmo:42055:1,2018-09-02T03:40:00Z,22.2030,-94.0000,29.2,1111122 
NDBC,ioos:station:wmo:42055:1,2018-09-02T04:40:00Z,22.2030,-94.0000,29.2,1111122 
NDBC,ioos:station:wmo:42055:1,2018-09-02T05:40:00Z,22.2030,-94.0000,29.0,1111122 
NDBC,ioos:station:wmo:42055:1,2018-09-02T06:40:00Z,22.2030,-94.0000,29.0,1111122 
NDBC,ioos:station:wmo:42055:1,2018-09-02T07:50:00Z,22.2030,-94.0000,28.9,1111122 
NDBC,ioos:station:wmo:42055:1,2018-09-02T08:50:00Z,22.2030,-94.0000,29.0,1111122 
NDBC,ioos:station:wmo:42055:1,2018-09-02T09:40:00Z,22.2030,-94.0000,28.9,1111122 
NDBC,ioos:station:wmo:42055:1,2018-09-02T10:40:00Z,22.2030,-94.0000,28.9,1111122 
NDBC,ioos:station:wmo:42055:1,2018-09-02T11:40:00Z,22.2030,-94.0000,28.9,1111122 
NDBC,ioos:station:wmo:42055:1,2018-09-02T12:40:00Z,22.2030,-94.0000,29.0,1111122 
NDBC,ioos:station:wmo:42055:1,2018-09-02T13:50:00Z,22.2030,-94.0000,29.3,1111122 
NDBC,ioos:station:wmo:42055:1,2018-09-02T14:40:00Z,22.2030,-94.0000,29.4,1111122 
NDBC,ioos:station:wmo:42055:1,2018-09-02T15:50:00Z,22.2030,-94.0000,29.5,1111122 
NDBC,ioos:station:wmo:42055:1,2018-09-02T16:40:00Z,22.2030,-94.0000,29.4,1111122 
NDBC,ioos:station:wmo:42055:1,2018-09-02T17:40:00Z,22.2030,-94.0000,29.4,1111122 
NDBC,ioos:station:wmo:42055:1,2018-09-02T18:40:00Z,22.2030,-94.0000,29.4,1111122 
NDBC,ioos:station:wmo:42055:1,2018-09-02T19:40:00Z,22.2030,-94.0000,29.5,1111122 
NDBC,ioos:station:wmo:42055:1,2018-09-02T20:40:00Z,22.2030,-94.0000,29.5,1111122 
NDBC,ioos:station:wmo:42055:1,2018-09-02T21:40:00Z,22.2030,-94.0000,29.6,1111122 
