network,platform,latitude,longitude,date,air_pressure(mBar),qcFlag 
ADCP,ioos:station:wmo:42361,27.5500,-92.4900,2005-08-01T00:00:00Z,1015.6,11111222 
ADCP,ioos:station:wmo:42362,27.7950,-90.6480,2005-08-01T00:00:00Z,1015.9,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2005-08-01T00:00:00Z,1014.1,11111222 
LUMCON,ioos:station:LUMCON:103,30.1889,-90.1683,2005-08-01T00:00:00Z,9999.0,11144222 
TABS,ioos:station:wmo:42043,28.9818,-94.9186,2005-08-01T00:00:00Z,1014.22,11111222 
TABS,ioos:station:wmo:42044,26.1914,-97.0507,2005-08-01T00:00:00Z,1014.83,11111222 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2005-08-01T00:00:00Z,1017.5,11111222 
TABS,ioos:station:wmo:42046,27.8903,-94.0367,2005-08-01T00:00:00Z,1014.27,11111222 
TABS,ioos:station:wmo:42047,27.8966,-93.5973,2005-08-01T00:00:00Z,9999.0,11144222 
TCOON,ioos:station:TCOON:003,26.8015,-97.4706,2005-08-01T00:00:00Z,1012.5,11111222 
TCOON,ioos:station:TCOON:057,28.4460,-96.3961,2005-08-01T00:00:00Z,9999.0,11144222 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2005-08-01T00:09:00Z,1017.47,11111222 
TABS,ioos:station:wmo:42047,27.8966,-93.5973,2005-08-01T00:09:00Z,1021.09,11111222 
TABS,ioos:station:wmo:42043,28.9818,-94.9186,2005-08-01T00:30:00Z,1014.36,11111222 
TABS,ioos:station:wmo:42044,26.1914,-97.0507,2005-08-01T00:30:00Z,1014.91,11111222 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2005-08-01T00:30:00Z,1017.6,11111222 
TABS,ioos:station:wmo:42046,27.8903,-94.0367,2005-08-01T00:30:00Z,1014.39,11111222 
TABS,ioos:station:wmo:42047,27.8966,-93.5973,2005-08-01T00:30:00Z,9999.0,11144222 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2005-08-01T00:39:00Z,1017.6,11111222 
TABS,ioos:station:wmo:42047,27.8966,-93.5973,2005-08-01T00:39:00Z,1021.15,11111222 
ADCP,ioos:station:wmo:42361,27.5500,-92.4900,2005-08-01T01:00:00Z,1015.9,11111222 
ADCP,ioos:station:wmo:42362,27.7950,-90.6480,2005-08-01T01:00:00Z,1016.3,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2005-08-01T01:00:00Z,1014.5,11111222 
LUMCON,ioos:station:LUMCON:103,30.1889,-90.1683,2005-08-01T01:00:00Z,9999.0,11144222 
TABS,ioos:station:wmo:42043,28.9818,-94.9186,2005-08-01T01:00:00Z,1014.35,11111222 
TABS,ioos:station:wmo:42044,26.1914,-97.0507,2005-08-01T01:00:00Z,1014.99,11111222 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2005-08-01T01:00:00Z,1017.6,11111222 
TABS,ioos:station:wmo:42046,27.8903,-94.0367,2005-08-01T01:00:00Z,1014.4,11111222 
TABS,ioos:station:wmo:42047,27.8966,-93.5973,2005-08-01T01:00:00Z,9999.0,11144222 
TCOON,ioos:station:TCOON:003,26.8015,-97.4706,2005-08-01T01:00:00Z,1012.6,11111222 
TCOON,ioos:station:TCOON:057,28.4460,-96.3961,2005-08-01T01:00:00Z,9999.0,11144222 
TCOON,ioos:station:TCOON:068,27.2970,-97.4049,2005-08-01T01:00:00Z,1013.8,11111222 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2005-08-01T01:09:00Z,1017.6,11111222 
TABS,ioos:station:wmo:42047,27.8966,-93.5973,2005-08-01T01:09:00Z,1021.34,11111222 
TABS,ioos:station:wmo:42043,28.9818,-94.9186,2005-08-01T01:30:00Z,1014.58,11111222 
TABS,ioos:station:wmo:42044,26.1914,-97.0507,2005-08-01T01:30:00Z,1015.26,11111222 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2005-08-01T01:30:00Z,1017.9,11111222 
TABS,ioos:station:wmo:42046,27.8903,-94.0367,2005-08-01T01:30:00Z,1014.77,11111222 
TABS,ioos:station:wmo:42047,27.8966,-93.5973,2005-08-01T01:30:00Z,9999.0,11144222 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2005-08-01T01:39:00Z,1017.85,11111222 
TABS,ioos:station:wmo:42047,27.8966,-93.5973,2005-08-01T01:39:00Z,1021.6,11111222 
ADCP,ioos:station:wmo:42361,27.5500,-92.4900,2005-08-01T02:00:00Z,1016.3,11111222 
ADCP,ioos:station:wmo:42362,27.7950,-90.6480,2005-08-01T02:00:00Z,1017.0,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2005-08-01T02:00:00Z,1015.0,11111222 
LUMCON,ioos:station:LUMCON:103,30.1889,-90.1683,2005-08-01T02:00:00Z,9999.0,11144222 
TABS,ioos:station:wmo:42043,28.9818,-94.9186,2005-08-01T02:00:00Z,1014.77,11111222 
TABS,ioos:station:wmo:42044,26.1914,-97.0507,2005-08-01T02:00:00Z,1015.4,11111222 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2005-08-01T02:00:00Z,1017.9,11111222 
TABS,ioos:station:wmo:42046,27.8903,-94.0367,2005-08-01T02:00:00Z,1014.91,11111222 
TABS,ioos:station:wmo:42047,27.8966,-93.5973,2005-08-01T02:00:00Z,9999.0,11144222 
TCOON,ioos:station:TCOON:003,26.8015,-97.4706,2005-08-01T02:00:00Z,1012.9,11111222 
TCOON,ioos:station:TCOON:057,28.4460,-96.3961,2005-08-01T02:00:00Z,9999.0,11144222 
TCOON,ioos:station:TCOON:068,27.2970,-97.4049,2005-08-01T02:00:00Z,1014.1,11111222 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2005-08-01T02:09:00Z,1017.85,11111222 
TABS,ioos:station:wmo:42047,27.8966,-93.5973,2005-08-01T02:09:00Z,1021.85,11111222 
TABS,ioos:station:wmo:42043,28.9818,-94.9186,2005-08-01T02:30:00Z,1015.27,11111222 
TABS,ioos:station:wmo:42044,26.1914,-97.0507,2005-08-01T02:30:00Z,1015.52,11111222 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2005-08-01T02:30:00Z,1018.0,11111222 
TABS,ioos:station:wmo:42046,27.8903,-94.0367,2005-08-01T02:30:00Z,1015.19,11111222 
TABS,ioos:station:wmo:42047,27.8966,-93.5973,2005-08-01T02:30:00Z,9999.0,11144222 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2005-08-01T02:39:00Z,1017.98,11111222 
TABS,ioos:station:wmo:42047,27.8966,-93.5973,2005-08-01T02:39:00Z,1022.04,11111222 
ADCP,ioos:station:wmo:42361,27.5500,-92.4900,2005-08-01T03:00:00Z,1017.0,11111222 
ADCP,ioos:station:wmo:42362,27.7950,-90.6480,2005-08-01T03:00:00Z,1017.3,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2005-08-01T03:00:00Z,1015.2,11111222 
LUMCON,ioos:station:LUMCON:103,30.1889,-90.1683,2005-08-01T03:00:00Z,9999.0,11144222 
TABS,ioos:station:wmo:42043,28.9818,-94.9186,2005-08-01T03:00:00Z,1015.53,11111222 
TABS,ioos:station:wmo:42044,26.1914,-97.0507,2005-08-01T03:00:00Z,1015.74,11111222 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2005-08-01T03:00:00Z,1018.0,11111222 
TABS,ioos:station:wmo:42046,27.8903,-94.0367,2005-08-01T03:00:00Z,1015.44,11111222 
TABS,ioos:station:wmo:42047,27.8966,-93.5973,2005-08-01T03:00:00Z,9999.0,11144222 
TCOON,ioos:station:TCOON:003,26.8015,-97.4706,2005-08-01T03:00:00Z,1013.2,11111222 
TCOON,ioos:station:TCOON:057,28.4460,-96.3961,2005-08-01T03:00:00Z,9999.0,11144222 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2005-08-01T03:09:00Z,1017.98,11111222 
TABS,ioos:station:wmo:42047,27.8966,-93.5973,2005-08-01T03:09:00Z,1022.29,11111222 
TABS,ioos:station:wmo:42043,28.9818,-94.9186,2005-08-01T03:30:00Z,1015.66,11111222 
TABS,ioos:station:wmo:42044,26.1914,-97.0507,2005-08-01T03:30:00Z,1015.93,11111222 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2005-08-01T03:30:00Z,1018.2,11111222 
TABS,ioos:station:wmo:42046,27.8903,-94.0367,2005-08-01T03:30:00Z,1015.51,11111222 
TABS,ioos:station:wmo:42047,27.8966,-93.5973,2005-08-01T03:30:00Z,9999.0,11144222 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2005-08-01T03:39:00Z,1018.23,11111222 
TABS,ioos:station:wmo:42047,27.8966,-93.5973,2005-08-01T03:39:00Z,1022.36,11111222 
