network,platform,latitude,longitude,date,relative_humidity,qcFlag 
TABS,ioos:station:wmo:42043,28.9818,-94.9186,2005-08-01T00:00:00Z,64.2,22222222 
TABS,ioos:station:wmo:42043,28.9818,-94.9186,2005-08-01T00:00:00Z,64.2,11111222 
TABS,ioos:station:wmo:42044,26.1914,-97.0507,2005-08-01T00:00:00Z,72.0,22222222 
TABS,ioos:station:wmo:42044,26.1914,-97.0507,2005-08-01T00:00:00Z,72.0,11111222 
TABS,ioos:station:wmo:42046,27.8903,-94.0367,2005-08-01T00:00:00Z,-999.0,22222222 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2005-08-01T00:09:00Z,100.0,22222222 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2005-08-01T00:09:00Z,100.0,11111222 
TABS,ioos:station:wmo:42047,27.8966,-93.5973,2005-08-01T00:09:00Z,100.0,22222222 
TABS,ioos:station:wmo:42047,27.8966,-93.5973,2005-08-01T00:09:00Z,100.0,11111222 
TABS,ioos:station:wmo:42043,28.9818,-94.9186,2005-08-01T00:30:00Z,67.3,22222222 
TABS,ioos:station:wmo:42043,28.9818,-94.9186,2005-08-01T00:30:00Z,67.3,11111222 
TABS,ioos:station:wmo:42044,26.1914,-97.0507,2005-08-01T00:30:00Z,70.2,22222222 
TABS,ioos:station:wmo:42044,26.1914,-97.0507,2005-08-01T00:30:00Z,70.2,11111222 
TABS,ioos:station:wmo:42046,27.8903,-94.0367,2005-08-01T00:30:00Z,-999.0,22222222 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2005-08-01T00:39:00Z,100.0,22222222 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2005-08-01T00:39:00Z,100.0,11111222 
TABS,ioos:station:wmo:42047,27.8966,-93.5973,2005-08-01T00:39:00Z,100.0,22222222 
TABS,ioos:station:wmo:42047,27.8966,-93.5973,2005-08-01T00:39:00Z,100.0,11111222 
TABS,ioos:station:wmo:42043,28.9818,-94.9186,2005-08-01T01:00:00Z,67.2,22222222 
TABS,ioos:station:wmo:42043,28.9818,-94.9186,2005-08-01T01:00:00Z,67.2,11111222 
TABS,ioos:station:wmo:42044,26.1914,-97.0507,2005-08-01T01:00:00Z,67.8,22222222 
TABS,ioos:station:wmo:42044,26.1914,-97.0507,2005-08-01T01:00:00Z,67.8,11111222 
TABS,ioos:station:wmo:42046,27.8903,-94.0367,2005-08-01T01:00:00Z,-999.0,22222222 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2005-08-01T01:09:00Z,100.0,22222222 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2005-08-01T01:09:00Z,100.0,11111222 
TABS,ioos:station:wmo:42047,27.8966,-93.5973,2005-08-01T01:09:00Z,100.0,22222222 
TABS,ioos:station:wmo:42047,27.8966,-93.5973,2005-08-01T01:09:00Z,100.0,11111222 
TABS,ioos:station:wmo:42043,28.9818,-94.9186,2005-08-01T01:30:00Z,67.2,22222222 
TABS,ioos:station:wmo:42043,28.9818,-94.9186,2005-08-01T01:30:00Z,67.2,11111222 
TABS,ioos:station:wmo:42044,26.1914,-97.0507,2005-08-01T01:30:00Z,69.3,22222222 
TABS,ioos:station:wmo:42044,26.1914,-97.0507,2005-08-01T01:30:00Z,69.3,11111222 
TABS,ioos:station:wmo:42046,27.8903,-94.0367,2005-08-01T01:30:00Z,-999.0,22222222 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2005-08-01T01:39:00Z,100.0,22222222 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2005-08-01T01:39:00Z,100.0,11111222 
TABS,ioos:station:wmo:42047,27.8966,-93.5973,2005-08-01T01:39:00Z,100.0,22222222 
TABS,ioos:station:wmo:42047,27.8966,-93.5973,2005-08-01T01:39:00Z,100.0,11111222 
TABS,ioos:station:wmo:42043,28.9818,-94.9186,2005-08-01T02:00:00Z,68.0,22222222 
TABS,ioos:station:wmo:42043,28.9818,-94.9186,2005-08-01T02:00:00Z,68.0,11111222 
TABS,ioos:station:wmo:42044,26.1914,-97.0507,2005-08-01T02:00:00Z,68.3,22222222 
TABS,ioos:station:wmo:42044,26.1914,-97.0507,2005-08-01T02:00:00Z,68.3,11111222 
TABS,ioos:station:wmo:42046,27.8903,-94.0367,2005-08-01T02:00:00Z,-999.0,22222222 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2005-08-01T02:09:00Z,100.0,22222222 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2005-08-01T02:09:00Z,100.0,11111222 
TABS,ioos:station:wmo:42047,27.8966,-93.5973,2005-08-01T02:09:00Z,100.0,22222222 
TABS,ioos:station:wmo:42047,27.8966,-93.5973,2005-08-01T02:09:00Z,100.0,11111222 
TABS,ioos:station:wmo:42043,28.9818,-94.9186,2005-08-01T02:30:00Z,68.4,22222222 
TABS,ioos:station:wmo:42043,28.9818,-94.9186,2005-08-01T02:30:00Z,68.4,11111222 
TABS,ioos:station:wmo:42044,26.1914,-97.0507,2005-08-01T02:30:00Z,69.7,22222222 
TABS,ioos:station:wmo:42044,26.1914,-97.0507,2005-08-01T02:30:00Z,69.7,11111222 
TABS,ioos:station:wmo:42046,27.8903,-94.0367,2005-08-01T02:30:00Z,-999.0,22222222 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2005-08-01T02:39:00Z,100.0,22222222 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2005-08-01T02:39:00Z,100.0,11111222 
TABS,ioos:station:wmo:42047,27.8966,-93.5973,2005-08-01T02:39:00Z,100.0,22222222 
TABS,ioos:station:wmo:42047,27.8966,-93.5973,2005-08-01T02:39:00Z,100.0,11111222 
TABS,ioos:station:wmo:42043,28.9818,-94.9186,2005-08-01T03:00:00Z,69.5,22222222 
TABS,ioos:station:wmo:42043,28.9818,-94.9186,2005-08-01T03:00:00Z,69.5,11111222 
TABS,ioos:station:wmo:42044,26.1914,-97.0507,2005-08-01T03:00:00Z,67.2,22222222 
TABS,ioos:station:wmo:42044,26.1914,-97.0507,2005-08-01T03:00:00Z,67.2,11111222 
TABS,ioos:station:wmo:42046,27.8903,-94.0367,2005-08-01T03:00:00Z,-999.0,22222222 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2005-08-01T03:09:00Z,100.0,22222222 
TABS,ioos:station:wmo:42045,26.2168,-96.4998,2005-08-01T03:09:00Z,100.0,11111222 
TABS,ioos:station:wmo:42047,27.8966,-93.5973,2005-08-01T03:09:00Z,100.0,22222222 
TABS,ioos:station:wmo:42047,27.8966,-93.5973,2005-08-01T03:09:00Z,100.0,11111222 
TABS,ioos:station:wmo:42043,28.9818,-94.9186,2005-08-01T03:30:00Z,69.6,22222222 
TABS,ioos:station:wmo:42043,28.9818,-94.9186,2005-08-01T03:30:00Z,69.6,11111222 
TABS,ioos:station:wmo:42044,26.1914,-97.0507,2005-08-01T03:30:00Z,68.5,22222222 
TABS,ioos:station:wmo:42044,26.1914,-97.0507,2005-08-01T03:30:00Z,68.5,11111222 
TABS,ioos:station:wmo:42046,27.8903,-94.0367,2005-08-01T03:30:00Z,-999.0,22222222 
