owner,sensor,date,latitude,longitude,vertical_datum,sea_water_practical_salinity,qcFlag 
DISL,ioos:station:DISL:KATA:1,2019-10-01T00:30:00Z,30.2583,-88.2131,4.351,23.93,11111222 
DISL,ioos:station:DISL:KATA:1,2019-10-01T01:30:00Z,30.2583,-88.2131,4.406,23.89,11111222 
DISL,ioos:station:DISL:KATA:1,2019-10-01T02:30:00Z,30.2583,-88.2131,4.455,23.78,11111222 
DISL,ioos:station:DISL:KATA:1,2019-10-01T03:30:00Z,30.2583,-88.2131,4.484,23.91,11111222 
DISL,ioos:station:DISL:KATA:1,2019-10-01T04:30:00Z,30.2583,-88.2131,4.483,23.89,11111222 
DISL,ioos:station:DISL:KATA:1,2019-10-01T05:30:00Z,30.2583,-88.2131,4.456,23.91,11111222 
DISL,ioos:station:DISL:KATA:1,2019-10-01T06:30:00Z,30.2583,-88.2131,4.41,24.03,11111222 
DISL,ioos:station:DISL:KATA:1,2019-10-01T07:30:00Z,30.2583,-88.2131,4.394,23.99,11111222 
DISL,ioos:station:DISL:KATA:1,2019-10-01T08:30:00Z,30.2583,-88.2131,4.37,24.04,11111222 
DISL,ioos:station:DISL:KATA:1,2019-10-01T09:30:00Z,30.2583,-88.2131,4.303,23.84,11111222 
DISL,ioos:station:DISL:KATA:1,2019-10-01T10:30:00Z,30.2583,-88.2131,4.213,23.76,11111222 
DISL,ioos:station:DISL:KATA:1,2019-10-01T11:30:00Z,30.2583,-88.2131,4.142,23.71,11111222 
DISL,ioos:station:DISL:KATA:1,2019-10-01T12:30:00Z,30.2583,-88.2131,4.094,23.47,11111222 
DISL,ioos:station:DISL:KATA:1,2019-10-01T13:30:00Z,30.2583,-88.2131,4.095,23.51,11111222 
DISL,ioos:station:DISL:KATA:1,2019-10-01T14:30:00Z,30.2583,-88.2131,4.11,23.42,11111222 
DISL,ioos:station:DISL:KATA:1,2019-10-01T15:30:00Z,30.2583,-88.2131,4.12,23.23,11111222 
DISL,ioos:station:DISL:KATA:1,2019-10-01T16:30:00Z,30.2583,-88.2131,4.137,23.07,11111222 
DISL,ioos:station:DISL:KATA:1,2019-10-01T17:30:00Z,30.2583,-88.2131,4.15,23.11,11111222 
DISL,ioos:station:DISL:KATA:1,2019-10-01T18:30:00Z,30.2583,-88.2131,4.187,23.17,11111222 
DISL,ioos:station:DISL:KATA:1,2019-10-01T19:30:00Z,30.2583,-88.2131,4.233,23.24,11111222 
DISL,ioos:station:DISL:KATA:1,2019-10-01T20:30:00Z,30.2583,-88.2131,4.271,23.14,11111222 
DISL,ioos:station:DISL:KATA:1,2019-10-01T21:30:00Z,30.2583,-88.2131,4.303,23.63,11111222 
DISL,ioos:station:DISL:KATA:1,2019-10-01T22:30:00Z,30.2583,-88.2131,4.345,23.69,11111222 
DISL,ioos:station:DISL:KATA:1,2019-10-01T23:30:00Z,30.2583,-88.2131,4.36,23.74,11111222 
DISL,ioos:station:DISL:KATA:1,2019-10-02T00:30:00Z,30.2583,-88.2131,4.392,23.77,11111222 
DISL,ioos:station:DISL:KATA:1,2019-10-02T01:30:00Z,30.2583,-88.2131,4.445,23.92,11111222 
DISL,ioos:station:DISL:KATA:1,2019-10-02T02:30:00Z,30.2583,-88.2131,4.502,24.01,11111222 
DISL,ioos:station:DISL:KATA:1,2019-10-02T03:30:00Z,30.2583,-88.2131,4.567,23.84,11111222 
