owner,sensor,date,latitude,longitude,air_pressure(mBar),qcFlag 
LUMCON,ioos:station:LUMCON:101:1,2005-08-01T00:00:00Z,29.2533,-90.6633,1014.1,11111222 
LUMCON,ioos:station:LUMCON:101:1,2005-08-01T01:00:00Z,29.2533,-90.6633,1014.5,11111222 
LUMCON,ioos:station:LUMCON:101:1,2005-08-01T02:00:00Z,29.2533,-90.6633,1015.0,11111222 
LUMCON,ioos:station:LUMCON:101:1,2005-08-01T03:00:00Z,29.2533,-90.6633,1015.2,11111222 
LUMCON,ioos:station:LUMCON:101:1,2005-08-01T04:00:00Z,29.2533,-90.6633,1015.3,11111222 
LUMCON,ioos:station:LUMCON:101:1,2005-08-01T05:00:00Z,29.2533,-90.6633,1015.0,11111222 
LUMCON,ioos:station:LUMCON:101:1,2005-08-01T06:00:00Z,29.2533,-90.6633,1014.9,11111222 
LUMCON,ioos:station:LUMCON:101:1,2005-08-01T07:00:00Z,29.2533,-90.6633,1014.9,11111222 
LUMCON,ioos:station:LUMCON:101:1,2005-08-01T08:00:00Z,29.2533,-90.6633,1014.5,11111222 
LUMCON,ioos:station:LUMCON:101:1,2005-08-01T09:00:00Z,29.2533,-90.6633,1014.5,11111222 
LUMCON,ioos:station:LUMCON:101:1,2005-08-01T10:00:00Z,29.2533,-90.6633,1014.5,11111222 
LUMCON,ioos:station:LUMCON:101:1,2005-08-01T11:00:00Z,29.2533,-90.6633,1014.9,11111222 
LUMCON,ioos:station:LUMCON:101:1,2005-08-01T12:00:00Z,29.2533,-90.6633,1015.4,11111222 
LUMCON,ioos:station:LUMCON:101:1,2005-08-01T13:00:00Z,29.2533,-90.6633,1016.5,11111222 
LUMCON,ioos:station:LUMCON:101:1,2005-08-01T14:00:00Z,29.2533,-90.6633,1017.4,11111222 
LUMCON,ioos:station:LUMCON:101:1,2005-08-01T15:00:00Z,29.2533,-90.6633,1017.3,11111222 
LUMCON,ioos:station:LUMCON:101:1,2005-08-01T16:00:00Z,29.2533,-90.6633,1017.5,11111222 
LUMCON,ioos:station:LUMCON:101:1,2005-08-01T17:00:00Z,29.2533,-90.6633,1017.5,11111222 
LUMCON,ioos:station:LUMCON:101:1,2005-08-01T18:00:00Z,29.2533,-90.6633,1017.3,11111222 
LUMCON,ioos:station:LUMCON:101:1,2005-08-01T19:00:00Z,29.2533,-90.6633,1016.3,11111222 
LUMCON,ioos:station:LUMCON:101:1,2005-08-01T20:00:00Z,29.2533,-90.6633,1015.4,11111222 
LUMCON,ioos:station:LUMCON:101:1,2005-08-01T21:00:00Z,29.2533,-90.6633,1014.7,11111222 
