owner,sensor,date,latitude,longitude,vertical_datum,sea_water_practical_salinity,qcFlag 
DISL,ioos:station:DISL:BSCA:1,2019-06-01T00:00:00Z,30.3288,-87.8293,2.4,2.1,11111222
DISL,ioos:station:DISL:BSCA:1,2019-06-01T00:30:00Z,30.3288,-87.8293,2.373,2.03,11111222
DISL,ioos:station:DISL:BSCA:1,2019-06-01T01:00:00Z,30.3288,-87.8293,2.4,2,11111222
DISL,ioos:station:DISL:BSCA:1,2019-06-01T01:30:00Z,30.3288,-87.8293,2.391,2.01,11111222
DISL,ioos:station:DISL:BSCA:1,2019-06-01T02:00:00Z,30.3288,-87.8293,2.4,2,11111222
DISL,ioos:station:DISL:BSCA:1,2019-06-01T02:30:00Z,30.3288,-87.8293,2.426,2.02,11111222
DISL,ioos:station:DISL:BSCA:1,2019-06-01T03:00:00Z,30.3288,-87.8293,2.5,2,11111222
DISL,ioos:station:DISL:BSCA:1,2019-06-01T03:30:00Z,30.3288,-87.8293,2.455,2.02,11111222
DISL,ioos:station:DISL:BSCA:1,2019-06-01T04:00:00Z,30.3288,-87.8293,2.5,2,11111222
DISL,ioos:station:DISL:BSCA:1,2019-06-01T04:30:00Z,30.3288,-87.8293,2.481,1.99,11111222
DISL,ioos:station:DISL:BSCA:1,2019-06-01T05:00:00Z,30.3288,-87.8293,2.5,2,11111222
DISL,ioos:station:DISL:BSCA:1,2019-06-01T05:30:00Z,30.3288,-87.8293,2.503,1.99,11111222
DISL,ioos:station:DISL:BSCA:1,2019-06-01T06:00:00Z,30.3288,-87.8293,2.5,2,11111222
DISL,ioos:station:DISL:BSCA:1,2019-06-01T06:30:00Z,30.3288,-87.8293,2.517,1.97,11111222
DISL,ioos:station:DISL:BSCA:1,2019-06-01T07:00:00Z,30.3288,-87.8293,2.5,2,11111222
DISL,ioos:station:DISL:BSCA:1,2019-06-01T07:30:00Z,30.3288,-87.8293,2.542,1.97,11111222
DISL,ioos:station:DISL:BSCA:1,2019-06-01T08:00:00Z,30.3288,-87.8293,2.6,2,11111222
DISL,ioos:station:DISL:BSCA:1,2019-06-01T08:30:00Z,30.3288,-87.8293,2.574,1.98,11111222
DISL,ioos:station:DISL:BSCA:1,2019-06-01T09:00:00Z,30.3288,-87.8293,2.6,2,11111222
DISL,ioos:station:DISL:BSCA:1,2019-06-01T09:30:00Z,30.3288,-87.8293,2.582,1.98,11111222
DISL,ioos:station:DISL:BSCA:1,2019-06-01T10:00:00Z,30.3288,-87.8293,2.5,2,11111222
DISL,ioos:station:DISL:BSCA:1,2019-06-01T10:30:00Z,30.3288,-87.8293,2.542,1.99,11111222
DISL,ioos:station:DISL:BSCA:1,2019-06-01T11:00:00Z,30.3288,-87.8293,2.6,2,11111222
DISL,ioos:station:DISL:BSCA:1,2019-06-01T11:30:00Z,30.3288,-87.8293,2.583,2,11111222
DISL,ioos:station:DISL:BSCA:1,2019-06-01T12:00:00Z,30.3288,-87.8293,2.6,2,11111222
DISL,ioos:station:DISL:BSCA:1,2019-06-01T12:30:00Z,30.3288,-87.8293,2.649,1.98,11111222
DISL,ioos:station:DISL:BSCA:1,2019-06-01T13:00:00Z,30.3288,-87.8293,2.7,2,11111222
DISL,ioos:station:DISL:BSCA:1,2019-06-01T13:30:00Z,30.3288,-87.8293,2.701,1.98,11111222
DISL,ioos:station:DISL:BSCA:1,2019-06-01T14:00:00Z,30.3288,-87.8293,2.7,2,11111222
DISL,ioos:station:DISL:BSCA:1,2019-06-01T14:30:00Z,30.3288,-87.8293,2.711,1.98,11111222
DISL,ioos:station:DISL:BSCA:1,2019-06-01T15:00:00Z,30.3288,-87.8293,2.7,2,11111222
DISL,ioos:station:DISL:BSCA:1,2019-06-01T15:30:00Z,30.3288,-87.8293,2.681,1.98,11111222
DISL,ioos:station:DISL:BSCA:1,2019-06-01T16:00:00Z,30.3288,-87.8293,2.7,2,11111222
DISL,ioos:station:DISL:BSCA:1,2019-06-01T16:30:00Z,30.3288,-87.8293,2.652,1.97,11111222
DISL,ioos:station:DISL:BSCA:1,2019-06-01T17:00:00Z,30.3288,-87.8293,2.6,2,11111222
DISL,ioos:station:DISL:BSCA:1,2019-06-01T17:30:00Z,30.3288,-87.8293,2.62,1.98,11111222
DISL,ioos:station:DISL:BSCA:1,2019-06-01T18:00:00Z,30.3288,-87.8293,2.6,2,11111222
DISL,ioos:station:DISL:BSCA:1,2019-06-01T18:30:00Z,30.3288,-87.8293,2.554,2.03,11111222
DISL,ioos:station:DISL:BSCA:1,2019-06-01T19:00:00Z,30.3288,-87.8293,2.5,2,11111222
DISL,ioos:station:DISL:BSCA:1,2019-06-01T19:30:00Z,30.3288,-87.8293,2.512,2.06,11111222
DISL,ioos:station:DISL:BSCA:1,2019-06-01T20:00:00Z,30.3288,-87.8293,2.5,2.1,11111222
DISL,ioos:station:DISL:BSCA:1,2019-06-01T20:30:00Z,30.3288,-87.8293,2.432,2.07,11111222
DISL,ioos:station:DISL:BSCA:1,2019-06-01T21:00:00Z,30.3288,-87.8293,2.4,2.1,11111222
DISL,ioos:station:DISL:BSCA:1,2019-06-01T21:30:00Z,30.3288,-87.8293,2.372,2.04,11111222
DISL,ioos:station:DISL:BSCA:1,2019-06-01T22:00:00Z,30.3288,-87.8293,2.3,2,11111222
DISL,ioos:station:DISL:BSCA:1,2019-06-01T22:30:00Z,30.3288,-87.8293,2.339,2,11111222
DISL,ioos:station:DISL:BSCA:1,2019-06-01T23:00:00Z,30.3288,-87.8293,2.3,2,11111222
DISL,ioos:station:DISL:BSCA:1,2019-06-01T23:30:00Z,30.3288,-87.8293,2.238,2.05,11111222
DISL,ioos:station:DISL:BSCA:1,2019-06-02T00:00:00Z,30.3288,-87.8293,2.2,2,11111222
