,sensor,date,latitude,longitude,air_pressure(mBar),air_temperature,sea_water_practical_salinity,sea_water_temperature,wind_speed
0,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01 00:00:00+00:00,29.6817,-94.985,1014.8,29.4,10.09,29.8,3.3
1,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01 00:36:00+00:00,29.6817,-94.985,1014.7,29.3,9.82,29.7,4.1
2,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01 00:42:00+00:00,29.6817,-94.985,1014.7,29.4,9.8,29.7,5.0
3,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01 00:48:00+00:00,29.6817,-94.985,1014.7,29.3,9.8,29.8,5.3
4,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01 00:54:00+00:00,29.6817,-94.985,1014.8,29.1,9.71,29.6,3.7
5,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01 01:00:00+00:00,29.6817,-94.985,1014.8,29.2,9.53,29.6,2.6
6,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01 01:36:00+00:00,29.6817,-94.985,1014.5,28.9,9.61,29.6,2.5
7,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01 01:42:00+00:00,29.6817,-94.985,1014.4,29.0,9.59,29.6,2.5
8,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01 01:48:00+00:00,29.6817,-94.985,1014.3,29.0,9.57,29.6,4.0
9,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01 01:54:00+00:00,29.6817,-94.985,1014.2,29.0,9.45,29.6,3.5
10,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01 02:00:00+00:00,29.6817,-94.985,1014.2,28.7,9.42,29.5,2.3
11,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01 02:36:00+00:00,29.6817,-94.985,1014.1,28.7,9.38,29.5,1.0
12,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01 02:42:00+00:00,29.6817,-94.985,1014.2,28.7,9.39,29.5,2.3
13,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01 02:48:00+00:00,29.6817,-94.985,1014.2,28.7,9.44,29.4,2.7
14,ioos:station:NOAA.NOS.CO-OPS:8770613:1,2017-07-01 02:54:00+00:00,29.6817,-94.985,1014.3,28.7,9.41,29.5,3.8
