,sensor,date,latitude,longitude,air_pressure(mBar),air_temperature,sea_water_practical_salinity,sea_water_temperature,wind_speed
0,ioos:station:TABS:X:1,2017-08-01 00:00:00+00:00,27.066,-96.3383,1013.75,29.6,36.2,30.45,4.220011848
1,ioos:station:TABS:X:1,2017-08-01 00:30:00+00:00,27.066,-96.3383,1013.92,29.4,36.17,30.29,4.697201294
2,ioos:station:TABS:X:1,2017-08-01 01:00:00+00:00,27.066,-96.3383,1013.99,29.2,36.17,30.14,4.851030818
3,ioos:station:TABS:X:1,2017-08-01 01:30:00+00:00,27.066,-96.3383,1013.84,29.0,36.18,30.05,5.0554228310000004
4,ioos:station:TABS:X:1,2017-08-01 02:00:00+00:00,27.066,-96.3383,1014.05,29.3,36.18,29.98,4.818339963000001
5,ioos:station:TABS:X:1,2017-08-01 02:30:00+00:00,27.066,-96.3383,1014.09,29.1,36.18,29.94,4.698191141000001
6,ioos:station:TABS:X:1,2017-08-01 03:00:00+00:00,27.066,-96.3383,1014.32,28.8,36.18,29.89,4.042301325
7,ioos:station:TABS:X:1,2017-08-01 03:30:00+00:00,27.066,-96.3383,1014.45,29.1,36.17,29.88,4.0443169999999995
8,ioos:station:TABS:X:1,2017-08-01 04:00:00+00:00,27.066,-96.3383,1014.67,28.8,36.17,29.87,3.929287467
9,ioos:station:TABS:X:1,2017-08-01 04:30:00+00:00,27.066,-96.3383,1014.71,29.0,36.15,29.84,3.9850345039999997
10,ioos:station:TABS:X:1,2017-08-01 05:00:00+00:00,27.066,-96.3383,1014.42,29.1,36.15,29.84,3.68620401
11,ioos:station:TABS:X:1,2017-08-01 05:30:00+00:00,27.066,-96.3383,1014.14,28.8,36.16,29.84,4.058866837
12,ioos:station:TABS:X:1,2017-08-01 06:00:00+00:00,27.066,-96.3383,1013.99,28.6,36.16,29.83,3.649780815
13,ioos:station:TABS:X:1,2017-08-01 06:30:00+00:00,27.066,-96.3383,1013.86,28.7,36.15,29.83,3.38
14,ioos:station:TABS:X:1,2017-08-01 07:00:00+00:00,27.066,-96.3383,1013.57,28.7,36.17,29.81,3.3255676210000003
15,ioos:station:TABS:X:1,2017-08-01 07:30:00+00:00,27.066,-96.3383,1013.47,28.4,36.17,29.8,3.3767588010000003
16,ioos:station:TABS:X:1,2017-08-01 08:00:00+00:00,27.066,-96.3383,1013.63,28.6,36.21,29.81,3.270290507
17,ioos:station:TABS:X:1,2017-08-01 08:30:00+00:00,27.066,-96.3383,1013.74,28.6,36.21,29.81,2.640927867
18,ioos:station:TABS:X:1,2017-08-01 09:00:00+00:00,27.066,-96.3383,1013.77,28.4,36.22,29.8,2.7865749589999997
19,ioos:station:TABS:X:1,2017-08-01 09:30:00+00:00,27.066,-96.3383,1013.8,28.6,36.22,29.82,1.8083417819999998
20,ioos:station:TABS:X:1,2017-08-01 10:00:00+00:00,27.066,-96.3383,1013.65,28.5,36.21,29.84,1.5383757669999998
21,ioos:station:TABS:X:1,2017-08-01 10:30:00+00:00,27.066,-96.3383,1013.61,28.6,36.21,29.82,0.78517514
22,ioos:station:TABS:X:1,2017-08-01 11:00:00+00:00,27.066,-96.3383,1013.84,28.5,36.21,29.81,1.7831432919999999
23,ioos:station:TABS:X:1,2017-08-01 11:30:00+00:00,27.066,-96.3383,1013.98,28.5,36.21,29.83,1.230447073
24,ioos:station:TABS:X:1,2017-08-01 12:00:00+00:00,27.066,-96.3383,1014.3,28.5,36.21,29.81,1.2687395320000001
25,ioos:station:TABS:X:1,2017-08-01 12:30:00+00:00,27.066,-96.3383,1014.45,29.1,36.2,29.8,1.2201639229999999
26,ioos:station:TABS:X:1,2017-08-01 13:00:00+00:00,27.066,-96.3383,1014.66,29.5,36.19,29.77,0.975909832
27,ioos:station:TABS:X:1,2017-08-01 13:30:00+00:00,27.066,-96.3383,1014.8,29.4,36.13,29.78,1.4276203980000002
28,ioos:station:TABS:X:1,2017-08-01 14:00:00+00:00,27.066,-96.3383,1014.93,29.9,36.11,29.81,0.654599114
29,ioos:station:TABS:X:1,2017-08-01 14:30:00+00:00,27.066,-96.3383,1014.93,29.6,36.1,29.84,1.222497444
30,ioos:station:TABS:X:1,2017-08-01 15:00:00+00:00,27.066,-96.3383,1015.14,29.2,36.1,29.86,1.398463442
31,ioos:station:TABS:X:1,2017-08-01 15:30:00+00:00,27.066,-96.3383,1015.22,29.1,36.08,29.81,1.1940268
32,ioos:station:TABS:X:1,2017-08-01 16:00:00+00:00,27.066,-96.3383,1015.29,29.8,36.1,29.78,1.0507616290000001
33,ioos:station:TABS:X:1,2017-08-01 16:30:00+00:00,27.066,-96.3383,1015.29,29.7,36.13,29.91,1.0623088059999999
34,ioos:station:TABS:X:1,2017-08-01 17:00:00+00:00,27.066,-96.3383,1015.23,29.6,36.14,29.91,0.5403702429999999
35,ioos:station:TABS:X:1,2017-08-01 17:30:00+00:00,27.066,-96.3383,1014.85,29.4,36.14,29.92,1.208139065
36,ioos:station:TABS:X:1,2017-08-01 18:00:00+00:00,27.066,-96.3383,1014.73,29.9,36.17,29.99,0.362215406
37,ioos:station:TABS:X:1,2017-08-01 18:30:00+00:00,27.066,-96.3383,1014.5,29.9,36.17,30.0,0.393192065
38,ioos:station:TABS:X:1,2017-08-01 19:00:00+00:00,27.066,-96.3383,1014.26,29.5,36.17,30.01,1.28351081
39,ioos:station:TABS:X:1,2017-08-01 19:30:00+00:00,27.066,-96.3383,1014.06,28.7,36.14,30.04,4.194210295
40,ioos:station:TABS:X:1,2017-08-01 20:00:00+00:00,27.066,-96.3383,1013.88,29.2,36.14,30.11,3.111301978
41,ioos:station:TABS:X:1,2017-08-01 20:30:00+00:00,27.066,-96.3383,1013.71,29.4,36.19,30.27,2.784690288
42,ioos:station:TABS:X:1,2017-08-01 21:00:00+00:00,27.066,-96.3383,1013.7,29.1,36.11,30.4,2.8490349239999997
43,ioos:station:TABS:X:1,2017-08-01 21:30:00+00:00,27.066,-96.3383,1013.65,29.6,36.11,30.53,3.1771685510000003
44,ioos:station:TABS:X:1,2017-08-01 22:00:00+00:00,27.066,-96.3383,1013.42,29.6,36.05,30.5,3.702769234
45,ioos:station:TABS:X:1,2017-08-01 22:30:00+00:00,27.066,-96.3383,1013.33,29.7,36.03,30.58,4.070110564
46,ioos:station:TABS:X:1,2017-08-01 23:00:00+00:00,27.066,-96.3383,1013.19,29.7,36.04,30.5,4.332262688
47,ioos:station:TABS:X:1,2017-08-01 23:30:00+00:00,27.066,-96.3383,1013.3,29.8,36.04,30.36,5.27539572
48,ioos:station:TABS:X:1,2017-08-02 00:00:00+00:00,27.066,-96.3383,1013.29,29.8,36.04,30.34,5.262860439
49,ioos:station:TABS:X:1,2017-08-02 00:30:00+00:00,27.066,-96.3383,1013.34,29.3,36.04,30.26,4.880163932
50,ioos:station:TABS:X:1,2017-08-02 01:00:00+00:00,27.066,-96.3383,1013.53,29.2,36.04,30.27,5.531084885
51,ioos:station:TABS:X:1,2017-08-02 01:30:00+00:00,27.066,-96.3383,1013.67,29.5,36.06,30.31,5.82508369
52,ioos:station:TABS:X:1,2017-08-02 02:00:00+00:00,27.066,-96.3383,1013.91,29.2,36.06,30.28,5.8101376920000005
53,ioos:station:TABS:X:1,2017-08-02 02:30:00+00:00,27.066,-96.3383,1014.18,29.1,36.09,30.23,6.3593789
54,ioos:station:TABS:X:1,2017-08-02 03:00:00+00:00,27.066,-96.3383,1014.2,29.4,36.1,30.27,5.028419235
55,ioos:station:TABS:X:1,2017-08-02 03:30:00+00:00,27.066,-96.3383,1014.23,28.8,36.12,30.3,5.26711496
56,ioos:station:TABS:X:1,2017-08-02 04:00:00+00:00,27.066,-96.3383,1014.37,29.2,36.12,30.31,4.634414742
57,ioos:station:TABS:X:1,2017-08-02 04:30:00+00:00,27.066,-96.3383,1014.5,29.0,36.13,30.26,4.370686445
58,ioos:station:TABS:X:1,2017-08-02 05:00:00+00:00,27.066,-96.3383,1014.73,29.1,36.13,30.18,4.02236249
59,ioos:station:TABS:X:1,2017-08-02 05:30:00+00:00,27.066,-96.3383,1014.83,29.1,36.14,30.1,3.9731347830000003
60,ioos:station:TABS:X:1,2017-08-02 06:00:00+00:00,27.066,-96.3383,1014.58,29.0,36.15,30.04,3.955047408
61,ioos:station:TABS:X:1,2017-08-02 06:30:00+00:00,27.066,-96.3383,1014.51,29.0,36.15,30.07,4.716948166
62,ioos:station:TABS:X:1,2017-08-02 07:00:00+00:00,27.066,-96.3383,1014.55,28.7,36.17,30.11,4.778336531
63,ioos:station:TABS:X:1,2017-08-02 07:30:00+00:00,27.066,-96.3383,1014.38,28.7,36.16,30.11,5.082214083999999
64,ioos:station:TABS:X:1,2017-08-02 08:00:00+00:00,27.066,-96.3383,1014.22,28.9,36.16,30.13,4.58704698
65,ioos:station:TABS:X:1,2017-08-02 08:30:00+00:00,27.066,-96.3383,1014.1,28.9,36.16,30.13,4.822115718
66,ioos:station:TABS:X:1,2017-08-02 09:00:00+00:00,27.066,-96.3383,1013.96,29.3,36.18,30.13,5.743343974
67,ioos:station:TABS:X:1,2017-08-02 09:30:00+00:00,27.066,-96.3383,1014.05,28.9,36.19,30.13,5.2938927080000004
68,ioos:station:TABS:X:1,2017-08-02 10:00:00+00:00,27.066,-96.3383,1014.17,28.9,36.19,30.1,4.720169488
69,ioos:station:TABS:X:1,2017-08-02 10:30:00+00:00,27.066,-96.3383,1014.35,28.9,36.19,30.14,5.132056118
70,ioos:station:TABS:X:1,2017-08-02 11:00:00+00:00,27.066,-96.3383,1014.59,28.9,36.2,30.14,4.909175083
71,ioos:station:TABS:X:1,2017-08-02 11:30:00+00:00,27.066,-96.3383,1014.58,29.1,36.2,30.12,3.413971295
72,ioos:station:TABS:X:1,2017-08-02 12:00:00+00:00,27.066,-96.3383,1014.6,28.8,36.21,30.09,3.433904483
73,ioos:station:TABS:X:1,2017-08-02 12:30:00+00:00,27.066,-96.3383,1014.8,28.8,36.21,30.04,4.280770959
74,ioos:station:TABS:X:1,2017-08-02 13:00:00+00:00,27.066,-96.3383,1014.77,29.6,36.21,30.02,3.97292084
75,ioos:station:TABS:X:1,2017-08-02 13:30:00+00:00,27.066,-96.3383,1015.11,29.1,36.21,30.01,4.036000496000001
76,ioos:station:TABS:X:1,2017-08-02 14:00:00+00:00,27.066,-96.3383,1015.36,29.2,36.21,30.01,4.727451745
77,ioos:station:TABS:X:1,2017-08-02 14:30:00+00:00,27.066,-96.3383,1015.34,29.2,36.21,30.01,4.154635965
78,ioos:station:TABS:X:1,2017-08-02 15:00:00+00:00,27.066,-96.3383,1015.53,29.2,36.21,29.98,3.3942303989999996
79,ioos:station:TABS:X:1,2017-08-02 15:30:00+00:00,27.066,-96.3383,1015.62,29.2,36.21,30.0,3.0193542360000003
80,ioos:station:TABS:X:1,2017-08-02 16:00:00+00:00,27.066,-96.3383,1015.66,28.9,36.21,30.01,3.706008635
81,ioos:station:TABS:X:1,2017-08-02 16:30:00+00:00,27.066,-96.3383,1015.57,29.3,36.21,30.01,2.9399319719999997
82,ioos:station:TABS:X:1,2017-08-02 17:00:00+00:00,27.066,-96.3383,1015.49,29.3,36.21,30.03,3.4464619539999997
83,ioos:station:TABS:X:1,2017-08-02 17:30:00+00:00,27.066,-96.3383,1015.54,29.3,36.24,30.09,3.011610865
84,ioos:station:TABS:X:1,2017-08-02 18:00:00+00:00,27.066,-96.3383,1015.34,29.4,36.19,30.11,3.166591227
85,ioos:station:TABS:X:1,2017-08-02 18:30:00+00:00,27.066,-96.3383,1015.19,29.4,36.23,30.17,2.988795744
86,ioos:station:TABS:X:1,2017-08-02 19:00:00+00:00,27.066,-96.3383,1014.68,29.4,36.22,30.26,2.078942039
87,ioos:station:TABS:X:1,2017-08-02 19:30:00+00:00,27.066,-96.3383,1014.2,29.4,36.26,30.32,1.858413302
88,ioos:station:TABS:X:1,2017-08-02 20:00:00+00:00,27.066,-96.3383,1013.98,29.8,36.26,30.32,0.757429865
89,ioos:station:TABS:X:1,2017-08-02 20:30:00+00:00,27.066,-96.3383,1013.74,29.9,36.3,30.3,0.626258732
90,ioos:station:TABS:X:1,2017-08-02 21:00:00+00:00,27.066,-96.3383,1013.68,29.8,36.3,30.32,0.908019824
91,ioos:station:TABS:X:1,2017-08-02 21:30:00+00:00,27.066,-96.3383,1013.34,29.9,36.34,30.38,1.328796448
92,ioos:station:TABS:X:1,2017-08-02 22:00:00+00:00,27.066,-96.3383,1013.16,29.7,36.3,30.47,2.2643321309999997
93,ioos:station:TABS:X:1,2017-08-02 22:30:00+00:00,27.066,-96.3383,1013.08,29.9,36.44,30.52,3.1286578589999996
94,ioos:station:TABS:X:1,2017-08-02 23:00:00+00:00,27.066,-96.3383,1013.06,29.7,36.34,30.9,3.27
95,ioos:station:TABS:X:1,2017-08-02 23:30:00+00:00,27.066,-96.3383,1013.28,30.0,36.36,31.17,3.107571399
96,ioos:station:TABS:X:1,2017-08-03 00:00:00+00:00,27.066,-96.3383,1013.2,29.8,36.36,31.0,3.7678906569999997
97,ioos:station:TABS:X:1,2017-08-03 00:30:00+00:00,27.066,-96.3383,1013.61,30.1,36.31,30.62,4.790334018
98,ioos:station:TABS:X:1,2017-08-03 01:00:00+00:00,27.066,-96.3383,1013.42,29.7,36.31,30.47,5.348794257
99,ioos:station:TABS:X:1,2017-08-03 01:30:00+00:00,27.066,-96.3383,1013.65,29.7,36.3,30.34,5.594658167
100,ioos:station:TABS:X:1,2017-08-03 02:00:00+00:00,27.066,-96.3383,1013.69,29.9,36.31,30.32,5.768266637000001
101,ioos:station:TABS:X:1,2017-08-03 02:30:00+00:00,27.066,-96.3383,1013.76,29.6,36.32,30.36,6.018454951
102,ioos:station:TABS:X:1,2017-08-03 03:00:00+00:00,27.066,-96.3383,1014.09,29.6,36.32,30.36,5.6585245429999995
103,ioos:station:TABS:X:1,2017-08-03 03:30:00+00:00,27.066,-96.3383,1014.6,29.5,36.31,30.25,5.155385534
104,ioos:station:TABS:X:1,2017-08-03 04:00:00+00:00,27.066,-96.3383,1014.89,29.8,36.31,30.24,5.515151856
105,ioos:station:TABS:X:1,2017-08-03 04:30:00+00:00,27.066,-96.3383,1015.03,29.5,36.3,30.22,6.093775513
106,ioos:station:TABS:X:1,2017-08-03 05:00:00+00:00,27.066,-96.3383,1015.25,29.6,36.28,30.22,6.096564606
107,ioos:station:TABS:X:1,2017-08-03 05:30:00+00:00,27.066,-96.3383,1015.45,29.7,36.26,30.16,5.529267582999999
108,ioos:station:TABS:X:1,2017-08-03 06:00:00+00:00,27.066,-96.3383,1015.4,29.5,36.26,30.16,5.764529469
109,ioos:station:TABS:X:1,2017-08-03 06:30:00+00:00,27.066,-96.3383,1015.35,29.8,36.25,30.1,5.713186501
