date,sensor,latitude,longitude,air_pressure(mBar),air_temperature,sea_water_practical_salinity,sea_water_temperature,wind_speed
2017-09-01 00:00:00+00:00,ioos:station:TABS:X:1,27.066,-96.3383,1012.36,28.7,36.43,27.96,0.0
2017-09-01 00:30:00+00:00,ioos:station:TABS:X:1,27.066,-96.3383,1012.53,28.4,36.38,27.96,0.0
2017-09-01 01:00:00+00:00,ioos:station:TABS:X:1,27.066,-96.3383,1012.66,28.2,36.34,27.79,0.0
2017-09-01 01:30:00+00:00,ioos:station:TABS:X:1,27.066,-96.3383,1013.18,28.1,36.34,27.66,0.0
2017-09-01 02:00:00+00:00,ioos:station:TABS:X:1,27.066,-96.3383,1013.4,28.1,36.34,27.46,0.0
2017-09-01 02:30:00+00:00,ioos:station:TABS:X:1,27.066,-96.3383,1013.76,28.0,36.33,27.24,0.0
2017-09-01 03:00:00+00:00,ioos:station:TABS:X:1,27.066,-96.3383,1014.09,27.9,36.32,27.2,0.0
2017-09-01 03:30:00+00:00,ioos:station:TABS:X:1,27.066,-96.3383,1014.34,27.9,36.32,27.07,0.0
2017-09-01 04:00:00+00:00,ioos:station:TABS:X:1,27.066,-96.3383,1014.51,27.9,36.33,27.13,0.0
2017-09-01 04:30:00+00:00,ioos:station:TABS:X:1,27.066,-96.3383,1014.4,27.7,36.33,27.06,0.0
2017-09-01 05:00:00+00:00,ioos:station:TABS:X:1,27.066,-96.3383,1014.58,27.6,36.35,27.05,0.0
2017-09-01 05:30:00+00:00,ioos:station:TABS:X:1,27.066,-96.3383,1014.56,27.4,36.34,27.02,0.0
2017-09-01 06:00:00+00:00,ioos:station:TABS:X:1,27.066,-96.3383,1014.35,27.3,36.36,27.0,0.0
2017-09-01 06:30:00+00:00,ioos:station:TABS:X:1,27.066,-96.3383,1014.42,27.4,36.36,27.01,0.0
2017-09-01 07:00:00+00:00,ioos:station:TABS:X:1,27.066,-96.3383,1014.31,27.3,36.36,26.95,0.0
2017-09-01 07:30:00+00:00,ioos:station:TABS:X:1,27.066,-96.3383,1014.22,27.3,36.35,26.83,0.0
