,sensor,date,latitude,longitude,air_pressure(mBar),air_temperature,sea_water_practical_salinity,sea_water_temperature,wind_speed
0,ioos:station:wmo:42047:1,2018-08-01 00:00:00+00:00,27.8966,-93.5973,1013.43,26.6,36.39,30.15,3.506165997
1,ioos:station:wmo:42047:1,2018-08-01 00:30:00+00:00,27.8966,-93.5973,1013.39,26.7,36.4,30.13,2.8984133589999996
2,ioos:station:wmo:42047:1,2018-08-01 01:00:00+00:00,27.8966,-93.5973,1013.8,27.0,36.41,30.11,2.010024875
3,ioos:station:wmo:42047:1,2018-08-01 01:30:00+00:00,27.8966,-93.5973,1014.1,27.0,36.42,30.07,1.417356695
4,ioos:station:wmo:42047:1,2018-08-01 02:00:00+00:00,27.8966,-93.5973,1013.97,27.1,36.43,30.02,1.1772000679999999
5,ioos:station:wmo:42047:1,2018-08-01 02:30:00+00:00,27.8966,-93.5973,1013.77,27.1,36.44,29.98,1.558011553
6,ioos:station:wmo:42047:1,2018-08-01 03:00:00+00:00,27.8966,-93.5973,1013.98,27.2,36.44,29.96,1.121605991
7,ioos:station:wmo:42047:1,2018-08-01 03:30:00+00:00,27.8966,-93.5973,1014.43,27.3,36.44,29.96,1.046374694
8,ioos:station:wmo:42047:1,2018-08-01 04:00:00+00:00,27.8966,-93.5973,1014.33,27.3,36.44,29.96,0.841486779
9,ioos:station:wmo:42047:1,2018-08-01 04:30:00+00:00,27.8966,-93.5973,1014.29,27.2,36.44,29.95,1.7376133059999999
10,ioos:station:wmo:42047:1,2018-08-01 05:00:00+00:00,27.8966,-93.5973,1014.42,27.3,36.45,29.91,1.6013119619999998
11,ioos:station:wmo:42047:1,2018-08-01 05:30:00+00:00,27.8966,-93.5973,1014.46,27.1,36.45,29.89,1.032375901
12,ioos:station:wmo:42047:1,2018-08-01 06:00:00+00:00,27.8966,-93.5973,1014.6,27.1,36.45,29.87,1.130176977
13,ioos:station:wmo:42047:1,2018-08-01 06:30:00+00:00,27.8966,-93.5973,1014.66,27.1,36.44,29.86,0.771038261
14,ioos:station:wmo:42047:1,2018-08-01 07:00:00+00:00,27.8966,-93.5973,1014.52,27.0,36.44,29.85,0.919347595
15,ioos:station:wmo:42047:1,2018-08-01 07:30:00+00:00,27.8966,-93.5973,1014.21,27.3,36.45,29.86,0.09486833
16,ioos:station:wmo:42047:1,2018-08-01 08:00:00+00:00,27.8966,-93.5973,1014.14,27.2,36.45,29.86,0.425440948
17,ioos:station:wmo:42047:1,2018-08-01 08:30:00+00:00,27.8966,-93.5973,1014.06,27.1,36.46,29.87,1.207476708
18,ioos:station:wmo:42047:1,2018-08-01 09:00:00+00:00,27.8966,-93.5973,1014.22,27.1,36.47,29.87,1.465127981
19,ioos:station:wmo:42047:1,2018-08-01 09:30:00+00:00,27.8966,-93.5973,1013.98,27.3,36.47,29.87,3.298802813
20,ioos:station:wmo:42047:1,2018-08-01 10:00:00+00:00,27.8966,-93.5973,1013.84,26.9,36.47,29.87,2.362794955
21,ioos:station:wmo:42047:1,2018-08-01 10:30:00+00:00,27.8966,-93.5973,1013.9,27.0,36.47,29.89,3.20576044
22,ioos:station:wmo:42047:1,2018-08-01 11:00:00+00:00,27.8966,-93.5973,1013.45,27.1,36.47,29.9,3.608462276
23,ioos:station:wmo:42047:1,2018-08-01 11:30:00+00:00,27.8966,-93.5973,1013.62,26.9,36.47,29.92,4.336000461
24,ioos:station:wmo:42047:1,2018-08-01 12:00:00+00:00,27.8966,-93.5973,1013.91,27.1,36.47,29.94,4.586294801
25,ioos:station:wmo:42047:1,2018-08-01 12:30:00+00:00,27.8966,-93.5973,1014.12,27.2,36.47,29.95,4.578394915
26,ioos:station:wmo:42047:1,2018-08-01 13:00:00+00:00,27.8966,-93.5973,1014.0,27.6,36.47,29.98,4.90139776
27,ioos:station:wmo:42047:1,2018-08-01 13:30:00+00:00,27.8966,-93.5973,1014.49,27.4,36.47,30.0,4.989919839
28,ioos:station:wmo:42047:1,2018-08-01 14:00:00+00:00,27.8966,-93.5973,1014.76,27.6,36.47,30.03,5.3074475969999995
