,date,sensor,latitude,longitude,air_pressure(mBar),air_temperature,sea_water_practical_salinity,sea_water_temperature,wind_speed
0,2017-06-01 00:50:00+00:00,wmo_42019_1,27.907,-95.353,1013.9,24.4,,27,6
1,2017-06-01 01:50:00+00:00,wmo_42019_1,27.907,-95.353,1013.4,25.1,,27,2
2,2017-06-01 02:50:00+00:00,wmo_42019_1,27.907,-95.353,1014.5,25.5,,27,2
3,2017-06-01 03:50:00+00:00,wmo_42019_1,27.907,-95.353,1015.6,25.6,,27,3
4,2017-06-01 04:50:00+00:00,wmo_42019_1,27.907,-95.353,1015.3,25.6,,27,4
5,2017-06-01 05:50:00+00:00,wmo_42019_1,27.907,-95.353,1014.9,25.6,,27.1,6
6,2017-06-01 06:50:00+00:00,wmo_42019_1,27.907,-95.353,1014.8,25.6,,26.8,5
7,2017-06-01 07:50:00+00:00,wmo_42019_1,27.907,-95.353,1014.8,25.6,,26.5,4
8,2017-06-01 08:50:00+00:00,wmo_42019_1,27.907,-95.353,1014.2,26,,26.3,6
9,2017-06-01 09:50:00+00:00,wmo_42019_1,27.907,-95.353,1013.8,26,,26.4,7
10,2017-06-01 10:50:00+00:00,wmo_42019_1,27.907,-95.353,1013.9,26,,26.5,6
11,2017-06-01 11:50:00+00:00,wmo_42019_1,27.907,-95.353,1014.2,26.2,,26.5,7
12,2017-06-01 12:50:00+00:00,wmo_42019_1,27.907,-95.353,1014.5,26.2,,26.6,7
13,2017-06-01 13:50:00+00:00,wmo_42019_1,27.907,-95.353,1014.9,26.4,,26.8,7
14,2017-06-01 14:50:00+00:00,wmo_42019_1,27.907,-95.353,1015.1,26,,26.8,5
15,2017-06-01 15:50:00+00:00,wmo_42019_1,27.907,-95.353,1014.7,25.5,,26.8,4
16,2017-06-01 16:50:00+00:00,wmo_42019_1,27.907,-95.353,1014.8,26.4,,26.9,5
17,2017-06-01 17:50:00+00:00,wmo_42019_1,27.907,-95.353,1014.6,26.2,,26.9,6
18,2017-06-01 18:50:00+00:00,wmo_42019_1,27.907,-95.353,1014.4,26.3,,27,5
19,2017-06-01 19:50:00+00:00,wmo_42019_1,27.907,-95.353,1013.8,26.4,,27.1,4
20,2017-06-01 20:50:00+00:00,wmo_42019_1,27.907,-95.353,1012.8,26.6,,27.1,5
21,2017-06-01 21:50:00+00:00,wmo_42019_1,27.907,-95.353,1012.5,26.9,,27.1,4
22,2017-06-01 22:50:00+00:00,wmo_42019_1,27.907,-95.353,1012.1,26.9,,27.1,5
23,2017-06-01 23:50:00+00:00,wmo_42019_1,27.907,-95.353,1011.6,26.8,,27.2,6
24,2017-06-02 00:50:00+00:00,wmo_42019_1,27.907,-95.353,1011.7,26.7,,27,5
25,2017-06-02 01:50:00+00:00,wmo_42019_1,27.907,-95.353,1011.9,26.7,,27,6
26,2017-06-02 02:50:00+00:00,wmo_42019_1,27.907,-95.353,1012.2,26.5,,26.4,6
27,2017-06-02 03:50:00+00:00,wmo_42019_1,27.907,-95.353,1012.5,26.5,,26.5,5
